Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,8,1.347,0.0,0.0,1
0.00,0.02,1536,1023,512,512,8,104,0.910,0.02,0.0,1
0.00,0.0,1536,1536,512,1024,104,536,1.056,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,536,1112,1.115,0.0,0.0,1
0.00,0.0,2560,480,0,3584,1112,1495,4.652,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2119,1.151,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2119,2703,1.752,0.0,0.0,1
0.00,0.0,4608,1504,990,6144,2703,3127,3.997,0.0,0.0,0
0.00,0.0,5632,4062,2048,6144,3127,3671,2.042,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3671,4671,2.832,0.0,0.0,1
0.00,0.0,9216,6624,4064,6144,4671,5527,3.760,0.0,0.0,1
0.01,0.0,9216,4064,3481,10240,5527,5895,7.962,0.0,0.0,0
0.00,0.0,10240,8601,4480,10240,5895,7871,4.318,0.0,0.0,1
0.01,0.0,12800,9600,2688,12800,7871,12391,5.548,0.0,0.0,1
0.01,0.02,12800,2688,2099,19968,12391,12516,11.139,0.02,0.0,0
0.00,0.0,12800,9267,3744,19968,12516,14660,4.875,0.0,0.0,1
0.01,0.0,15360,10912,3776,19968,14660,18420,5.097,0.0,0.0,1
0.01,0.03,15360,3776,2165,29184,18420,19825,13.050,0.03,0.0,0
0.01,0.0,15872,11893,5600,29184,19825,22041,6.124,0.0,0.0,1
0.01,0.0,19456,15328,5088,29184,22041,27649,6.689,0.0,0.0,1
0.02,0.02,19456,5088,2983,40960,27649,29044,22.292,0.02,0.0,0
0.01,0.02,19968,15783,7168,40960,29044,36764,11.023,0.02,0.0,1
0.03,0.05,19968,7168,3065,55808,36764,40720,25.310,0.05,0.0,0
0.01,0.0,23040,15865,11232,55808,40720,45440,12.134,0.0,0.0,1
0.01,0.02,26624,23008,11840,56832,45440,56816,14.006,0.02,0.0,1
0.04,0.08,26624,11840,10724,76288,56816,56559,40.191,0.08,0.0,0
0.02,0.0,29696,22500,11808,76288,56559,67471,15.109,0.0,0.0,1
0.04,0.09,29696,11808,3056,99328,67471,75970,38.848,0.09,0.0,0
0.01,0.0,30720,12882,12864,99328,75970,75970,11.925,0.0,0.0,1
0.02,0.02,29184,26176,18912,99328,75970,83258,17.256,0.02,0.0,1
0.01,0.0,34816,29152,19584,99328,83258,93034,14.345,0.0,0.0,1
0.06,0.22,34816,19584,11300,125440,93034,98879,61.722,0.22,0.0,0
0.02,0.05,38400,21540,18240,125440,98879,102303,17.619,0.03,0.02,1
0.02,0.02,39424,29504,28160,125440,102303,103607,15.087,0.02,0.0,1
0.02,0.06,45568,39424,22464,125440,103607,120871,21.294,0.06,0.0,1
0.07,0.17,45568,22464,17758,156160,120871,125086,65.990,0.17,0.0,0
0.02,0.07,47104,30046,21408,156160,125086,133982,20.348,0.05,0.02,1
0.02,0.06,48640,33696,24640,156160,133982,143142,18.183,0.06,0.0,1
0.08,0.25,48640,24640,11230,189440,143142,156130,81.196,0.23,0.02,0
0.03,0.06,50176,24030,18048,189440,164322,170490,24.265,0.06,0.0,1
0.02,0.05,47104,30848,30848,189440,170490,170490,17.673,0.05,0.0,1
0.02,0.06,50688,42112,36896,189440,170490,175754,21.645,0.06,0.0,1
0.11,0.29000000000000004,50688,36896,18890,222208,175754,189341,106.873,0.27,0.02,0
0.02,0.06,55808,30154,22816,222208,189341,196901,24.899,0.06,0.0,1
0.02,0.06,56832,36128,36096,222208,196901,196901,19.820,0.06,0.0,1
0.03,0.08,56832,49408,43008,222208,196901,203437,25.789,0.06,0.02,1
0.03,0.06,62464,52736,47648,222208,203437,208581,25.204,0.06,0.0,1
0.03,0.08,68096,57376,32768,233984,208581,233501,29.850,0.08,0.0,1
0.13,0.39,69120,32768,31651,273408,233501,233764,125.679,0.39,0.0,0
0.04,0.08,70144,43939,21888,273408,233764,256292,35.937,0.06,0.02,1
0.12,0.42,16896,21888,4363,320000,256292,273307,120.429,0.42,0.0,0
0.02,0.06,68608,16651,12352,320000,273307,277763,23.709,0.06,0.0,1
0.01,0.02,40448,26176,26176,320000,277763,277763,14.695,0.02,0.0,1
0.02,0.08,66048,40000,39968,320000,277763,277763,20.625,0.06,0.02,1
0.03,0.06,68608,53280,53312,320000,277763,277763,26.284,0.06,0.0,1
0.04,0.1,71680,66624,54336,320000,277763,290227,34.890,0.08,0.02,1
0.17,0.53,71680,63552,41881,366592,306611,319568,171.888,0.53,0.0,0
0.04,0.12,77824,51097,40192,366592,319568,330776,44.171,0.12,0.0,1
0.03,0.06,77312,49408,39040,366592,330776,341248,27.721,0.06,0.0,1
0.03,0.12,77824,49792,39136,366592,341248,352104,24.470,0.12,0.0,1
0.15,0.5,77824,39136,24148,416256,352104,366392,150.755,0.5,0.0,0
0.04,0.16,74240,34900,24480,416256,366392,377056,41.507,0.16,0.0,1
0.02,0.06,42496,36768,29728,416256,377056,384240,19.642,0.06,0.0,1
0.02,0.06,72704,42016,35360,416256,384240,390960,22.162,0.06,0.0,1
0.03,0.08,74240,49696,38976,416256,390960,401864,27.175,0.08,0.0,1
0.18,0.61,74240,38976,23994,466432,401864,416077,179.432,0.61,0.0,0
0.04,0.13,72704,38330,23232,466432,416077,431493,40.553,0.08,0.05,1
0.02,0.08,74240,39104,30304,466432,431493,440485,21.453,0.06,0.02,1
0.03,0.06,69120,46176,31840,466432,440485,455029,25.994,0.06,0.0,1
0.17,0.61,71680,31840,19932,521728,455029,466126,170.143,0.61,0.0,0
0.05,0.14,74240,40412,30432,521728,466126,476398,48.309,0.14,0.0,1
0.03,0.06,70144,50912,50912,521728,476398,476398,28.909,0.06,0.0,1
0.04,0.14,75264,68832,57344,521728,476398,487974,38.246,0.14,0.0,1
0.04,0.12,86528,75264,49728,521728,487974,513926,41.364,0.12,0.0,1
0.22,0.83,86528,49728,41370,584704,513926,521371,219.338,0.83,0.0,0
0.06,0.19,88064,60314,45376,584704,521371,536691,58.283,0.19,0.0,1
0.03,0.08,87040,64320,52992,584704,536691,548171,34.035,0.06,0.02,1
0.04,0.12,89600,71424,56416,584704,548171,563427,38.853,0.12,0.0,1
0.23,0.8300000000000001,89600,56416,34759,651776,563427,584204,229.030,0.8,0.03,0
0.06,0.16,87552,53191,41888,651776,584204,595788,57.733,0.16,0.0,1
0.03,0.11,91136,62368,62368,651776,595788,595788,33.730,0.11,0.0,1
0.05,0.14,91136,82848,70592,651776,595788,608268,46.600,0.14,0.0,1
0.05,0.14,97792,86464,75360,651776,608268,619532,46.120,0.14,0.0,1
0.08,0.18,97792,91232,91232,683008,652300,683004,82.639,0.16,0.02,1
0.34,1.12,107008,91232,43444,683008,683004,682881,340.212,1.12,0.0,0
0.26,0.94,107008,61364,61334,683008,682881,682881,256.568,0.94,0.0,0
0.26,0.94,107008,61364,61363,683008,682881,682881,257.565,0.94,0.0,0
0.24,0.9,107008,61364,61364,683008,682881,682881,244.398,0.88,0.02,0
0.24,0.8,107008,61364,61364,683008,682886,682886,236.867,0.8,0.0,0
0.26,0.94,107008,61364,61364,683008,682890,682890,256.588,0.94,0.0,0
0.25,0.94,107008,61364,61364,683008,682895,682895,251.194,0.94,0.0,0
0.26,0.98,107008,61364,61364,683008,682900,682900,256.779,0.98,0.0,0
0.24,0.86,107008,61364,61364,683008,682904,682904,242.558,0.86,0.0,0
0.26,0.98,107008,61364,61364,683008,682909,682909,264.473,0.98,0.0,0
0.22,0.88,107008,61364,61364,683008,682914,682914,223.979,0.88,0.0,0
0.22,0.78,107008,61364,61364,683008,682918,682918,222.582,0.78,0.0,0
0.28,1.02,107008,61364,61364,683008,682923,682923,281.593,1.02,0.0,0
0.24,0.83,107008,61364,61364,683008,682928,682928,239.936,0.83,0.0,0
0.23,0.88,107008,61364,61364,683008,682932,682932,223.999,0.88,0.0,0
0.22,0.81,107008,61364,61364,683008,682937,682937,224.889,0.81,0.0,0
0.25,0.86,107008,61364,61364,683008,682942,682942,249.136,0.84,0.02,0
0.28,1.02,107008,61364,61364,683008,682946,682946,276.884,1.02,0.0,0
0.26,0.91,107008,61364,61364,683008,682951,682951,265.154,0.89,0.02,0
0.25,0.9400000000000001,107008,61364,61364,683008,682956,682956,254.978,0.92,0.02,0
0.24,0.88,107008,61364,61364,683008,682960,682960,236.621,0.88,0.0,0
0.23,0.88,107008,61364,61364,683008,682965,682965,232.299,0.88,0.0,0
0.25,0.91,107008,61364,61364,683008,682970,682970,253.116,0.91,0.0,0
0.26,0.98,107008,61364,61364,683008,682974,682974,263.400,0.98,0.0,0
0.24,0.91,107008,61364,61364,683008,682979,682979,244.296,0.91,0.0,0
0.26,0.94,107008,61364,61364,683008,682984,682984,255.948,0.94,0.0,0
0.23,0.89,107008,61364,61364,683008,682988,682988,227.701,0.89,0.0,0
0.23,0.77,107008,61364,61364,683008,682993,682993,230.525,0.77,0.0,0
0.26,0.94,107008,61364,61364,683008,682998,682998,260.618,0.94,0.0,0
0.24,0.91,107008,61364,61364,683008,683002,683002,244.498,0.89,0.02,0
0.24,0.94,107008,61364,61364,683008,683007,683007,241.441,0.94,0.0,0
0.25,0.89,107008,61364,61364,683008,683007,683007,246.386,0.89,0.0,0
0.32,1.21,107008,61364,61364,683008,683007,683003,322.767,1.19,0.02,0
0.26,0.94,107008,61364,61364,683008,683007,683007,257.583,0.94,0.0,0
0.24,0.91,107008,61364,61364,683008,683007,683007,236.175,0.91,0.0,0
0.25,0.91,107008,61364,61364,683008,683007,683007,244.523,0.91,0.0,0
0.30,1.07,107008,61364,61364,683008,683007,683006,297.886,1.05,0.02,0
