Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,16,1.327,0.0,0.0,1
0.00,0.0,1536,1023,512,512,16,104,0.815,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,104,548,1.022,0.0,0.0,1
0.00,0.0,2048,512,0,2560,548,980,4.684,0.0,0.0,0
0.00,0.0,2560,1536,480,2560,980,1316,0.907,0.0,0.0,1
0.00,0.0,2048,2527,480,2560,1316,2396,1.181,0.0,0.0,1
0.00,0.0,2048,480,479,5632,2396,2325,3.700,0.0,0.0,0
0.00,0.0,3072,2015,1312,5632,2325,2325,1.103,0.0,0.0,1
0.00,0.0,4096,2847,2016,5632,2325,2373,1.714,0.0,0.0,1
0.00,0.0,4608,4064,2528,5632,2373,2917,2.191,0.0,0.0,1
0.00,0.0,5632,4576,3040,5632,2917,3469,2.753,0.0,0.0,1
0.00,0.0,6656,5600,3648,5632,3469,4237,3.299,0.0,0.0,1
0.00,0.0,7680,6208,3712,5632,4237,5509,2.934,0.0,0.0,1
0.01,0.0,7680,3712,3681,10240,5509,5391,7.119,0.0,0.0,0
0.00,0.0,8192,6753,2944,10240,5391,7807,3.655,0.0,0.0,1
0.00,0.0,8704,6016,1888,10752,7807,10751,3.330,0.0,0.0,1
0.01,0.02,9216,1888,1824,17408,10751,10394,9.031,0.02,0.0,0
0.01,0.0,9728,6944,2656,17408,10394,12258,4.541,0.0,0.0,1
0.00,0.0,11776,7776,2720,17408,12258,14930,3.959,0.0,0.0,1
0.01,0.0,11776,2720,84,26112,14930,17385,10.698,0.0,0.0,0
0.00,0.0,11776,7252,3776,26112,17385,17489,3.251,0.0,0.0,1
0.01,0.0,14336,10944,4288,26112,17489,21257,5.975,0.0,0.0,1
0.01,0.0,14848,13504,4800,26112,21257,25521,6.071,0.0,0.0,1
0.02,0.0,14848,4800,3741,37376,25521,25876,18.072,0.0,0.0,0
0.01,0.0,14848,12957,6144,37376,25876,31212,7.895,0.0,0.0,1
0.01,0.0,17920,13774,7488,37888,31212,37460,7.522,0.0,0.0,1
0.02,0.03,17920,7488,6940,52224,37460,37755,23.524,0.03,0.0,0
0.01,0.0,15872,15644,9696,52224,37755,45883,10.566,0.0,0.0,1
0.03,0.02,15872,9696,479,69632,45883,51873,29.743,0.02,0.0,0
0.01,0.0,20480,6623,6176,69632,51873,52377,6.787,0.0,0.0,1
0.01,0.02,19968,12320,12320,69632,52377,52377,7.108,0.02,0.0,1
0.01,0.02,21504,18464,15360,69632,52377,55457,8.624,0.02,0.0,1
0.01,0.02,27136,21504,11200,69632,55457,65985,10.931,0.02,0.0,1
0.03,0.08,27136,11200,7519,90112,65985,69284,33.775,0.08,0.0,0
0.01,0.0,27136,15199,7712,90112,69284,76932,11.723,0.0,0.0,1
0.05,0.08,27136,15392,4071,113152,81028,90080,48.425,0.08,0.0,0
0.01,0.02,25600,11751,7712,113152,90080,94232,10.926,0.02,0.0,1
0.01,0.0,26624,16928,16928,113152,94232,94232,9.189,0.0,0.0,1
0.02,0.02,25600,26144,19968,113152,94232,100440,14.341,0.02,0.0,1
0.01,0.02,30720,25600,12160,114176,100440,114104,13.569,0.02,0.0,1
0.05,0.09,30720,12160,12083,140800,114104,113691,48.826,0.09,0.0,0
0.02,0.0,30720,17715,5664,140800,113691,125979,14.800,0.0,0.0,1
0.05,0.08,31232,5664,0,162304,125979,131376,48.868,0.08,0.0,0
0.01,0.0,30720,7168,7232,162304,131376,131376,4.614,0.0,0.0,1
0.01,0.0,31744,15936,15936,162304,131376,131376,8.812,0.0,0.0,1
0.01,0.02,30720,24640,24064,162304,131376,131880,13.093,0.02,0.0,1
0.02,0.03,34304,30720,15168,162304,131880,147672,16.800,0.03,0.0,1
0.07,0.19,34304,15168,262,197632,147672,162215,72.176,0.19,0.0,0
0.02,0.02,34304,6918,6976,197632,162215,162239,14.849,0.02,0.0,1
0.01,0.0,34816,14656,14624,197632,162239,162239,8.900,0.0,0.0,1
0.01,0.02,33280,22304,22304,197632,170431,170431,15.516,0.02,0.0,1
0.01,0.02,35328,28960,28672,197632,170431,170639,14.346,0.02,0.0,1
0.02,0.06,37888,35328,28512,197632,170639,177639,17.494,0.06,0.0,1
0.02,0.02,40960,33120,25472,197632,177639,185351,15.924,0.02,0.0,1
0.10,0.25,40960,25472,9020,232960,185351,197307,100.108,0.23,0.02,0
