Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,40,1.736,0.0,0.0,1
0.00,0.0,1536,1023,496,512,40,108,0.754,0.0,0.0,1
0.00,0.0,1536,1520,512,1024,108,540,0.864,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,540,1116,0.960,0.0,0.0,1
0.00,0.0,2560,480,0,3584,1116,1495,4.248,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2127,1.015,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2127,2727,1.428,0.0,0.0,1
0.01,0.0,4608,1504,990,6144,2727,3127,5.153,0.0,0.0,0
0.00,0.0,5632,4062,2048,6144,3127,3687,1.892,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3687,4703,2.886,0.0,0.0,1
0.00,0.0,8704,6624,4064,6144,4703,5559,4.148,0.0,0.0,1
0.01,0.0,8704,4064,3544,10240,5559,5832,8.361,0.0,0.0,0
0.00,0.0,9728,8012,3936,10240,5832,7904,3.567,0.0,0.0,1
0.00,0.0,12288,8544,2720,12288,7904,11800,4.469,0.0,0.0,1
0.01,0.0,12288,2720,1949,19456,11800,12087,10.316,0.0,0.0,0
0.00,0.0,12288,8605,3552,19456,12087,14087,3.957,0.0,0.0,1
0.01,0.0,14848,10208,3520,19456,14087,17567,4.374,0.0,0.0,1
0.01,0.0,14848,3520,1901,28160,17567,18972,11.773,0.0,0.0,0
0.00,0.0,14848,11117,5376,28160,18972,20924,4.442,0.0,0.0,1
0.01,0.0,18432,14592,4864,28160,20924,26276,5.748,0.0,0.0,1
0.02,0.0,18432,4864,2717,38912,26276,27662,19.276,0.0,0.0,0
0.01,0.0,18944,14493,7168,38912,27662,34230,8.438,0.0,0.0,1
0.02,0.02,18944,7168,2554,53248,34230,38719,17.832,0.02,0.0,0
0.01,0.0,22016,14330,10720,53248,38719,42479,11.180,0.0,0.0,1
0.01,0.02,25088,21984,11360,53760,42479,53255,11.879,0.02,0.0,1
0.03,0.09,25088,11360,9701,72192,53255,53530,34.068,0.09,0.0,0
0.01,0.02,28160,20965,11360,72192,53530,63386,13.075,0.02,0.0,1
0.03,0.11,28160,11360,2544,94208,63386,71918,31.650,0.11,0.0,0
0.01,0.0,29184,15344,15456,94208,71918,71918,10.559,0.0,0.0,1
0.02,0.02,27648,28256,18912,94208,71918,81294,16.364,0.0,0.02,1
0.01,0.02,34304,27616,16352,94208,81294,92798,13.086,0.02,0.0,1
0.05,0.09,34304,16352,13192,120320,92798,93441,51.724,0.09,0.0,0
0.01,0.0,36864,21896,16096,120320,93441,99433,14.630,0.0,0.0,1
0.01,0.03,37376,26336,26304,120320,99433,99433,13.108,0.03,0.0,1
0.02,0.05,38912,36544,29248,120320,99433,106817,16.619,0.03,0.02,1
0.02,0.02,43520,36928,17984,126464,106817,125993,17.420,0.02,0.0,1
0.07,0.22,43520,17984,17345,158208,125993,126025,71.800,0.22,0.0,0
0.02,0.08,42496,25025,7744,158208,126025,143649,18.145,0.05,0.03,1
0.06,0.2,43520,7744,0,188416,143649,151020,54.549,0.2,0.0,0
0.01,0.0,41984,9216,9280,188416,151020,151020,5.805,0.0,0.0,1
0.01,0.02,43520,20032,20032,188416,151020,151020,10.248,0.02,0.0,1
0.02,0.06,41472,30784,30816,188416,159212,159212,20.339,0.06,0.0,1
0.02,0.02,46080,39008,37888,188416,159212,160252,18.188,0.02,0.0,1
0.02,0.02,53248,46080,26496,188416,160252,180132,22.015,0.02,0.0,1
0.09,0.38,53248,26496,14122,228864,180132,187946,90.479,0.38,0.0,0
0.02,0.1,27136,23338,17600,228864,187946,193898,20.287,0.08,0.02,1
0.01,0.0,51200,26816,22848,228864,193898,197874,13.716,0.0,0.0,1
0.02,0.0,52224,33600,29216,228864,197874,202338,15.946,0.0,0.0,1
0.02,0.09,52736,39968,21600,228864,202338,221002,19.156,0.09,0.0,1
0.09,0.41000000000000003,54272,21600,13267,271360,221002,228616,92.974,0.39,0.02,0
0.02,0.09,55808,27603,14432,271360,228616,242104,22.839,0.09,0.0,1
0.02,0.02,53760,28768,14432,271360,242104,256656,16.098,0.02,0.0,1
0.10,0.45,55296,14432,0,317952,256656,270492,98.031,0.45,0.0,0
0.01,0.02,55296,16384,16448,317952,270492,270492,10.472,0.02,0.0,1
0.02,0.02,56320,34880,34944,317952,270492,270492,17.637,0.02,0.0,1
0.03,0.08,52736,53376,41984,317952,270492,281924,29.196,0.05,0.03,1
0.03,0.11,62464,52736,26432,317952,281924,308676,25.062,0.09,0.02,1
0.12,0.66,62464,26432,16588,371712,308676,317778,123.358,0.64,0.02,0
0.03,0.1,59392,27340,17984,371712,317778,327418,26.405,0.08,0.02,1
0.02,0.16,60928,30272,30240,371712,343802,343802,24.285,0.16,0.0,1
0.02,0.08,58368,42528,42560,371712,343802,343802,20.781,0.08,0.0,1
0.02,0.09,62464,52288,52288,371712,343802,343802,23.708,0.09,0.0,1
0.03,0.08,64512,62016,54816,371712,343802,351034,29.523,0.08,0.0,1
0.17,0.74,64512,54816,25507,422400,351034,371681,172.608,0.72,0.02,0
0.03,0.06,25088,30115,20448,422400,371681,381601,30.893,0.06,0.0,1
0.01,0.02,67584,25056,18336,422400,381601,388425,12.925,0.02,0.0,1
0.01,0.0,69120,23968,14848,422400,388425,397609,12.721,0.0,0.0,1
0.01,0.02,68096,20480,11360,422400,397609,406929,11.415,0.02,0.0,1
0.15,0.67,68608,11360,0,468480,406929,417541,151.690,0.67,0.0,0
0.01,0.0,68608,6656,6688,468480,417541,417541,5.218,0.0,0.0,1
0.01,0.0,22528,14368,14400,468480,417541,417541,8.976,0.0,0.0,1
0.01,0.0,62976,22080,15424,468480,417541,424277,12.228,0.0,0.0,1
0.01,0.0,25600,24128,16416,468480,424277,432061,13.558,0.0,0.0,1
0.01,0.0,59904,25120,17504,468480,432061,439845,14.019,0.0,0.0,1
0.02,0.0,29696,27744,19008,468480,439845,448661,15.615,0.0,0.0,1
0.02,0.0,55808,29248,20544,468480,448661,457477,17.656,0.0,0.0,1
0.16,0.77,57344,20544,9175,519168,457477,468042,162.981,0.77,0.0,0
0.03,0.11,59904,22487,13408,519168,468042,477378,34.252,0.11,0.0,1
0.02,0.04,59392,26720,26688,519168,477378,477378,16.450,0.02,0.02,1
0.02,0.08,59904,41536,28256,519168,477378,490882,22.467,0.08,0.0,1
0.02,0.11,61440,43104,29792,519168,490882,504378,23.127,0.11,0.0,1
0.18,0.89,61440,29792,14305,576512,504378,519108,179.355,0.89,0.0,0
0.04,0.18,61952,30177,23456,576512,519108,526116,37.693,0.16,0.02,1
0.02,0.09,57856,39328,39328,576512,526116,526116,20.647,0.09,0.0,1
0.03,0.11,61952,53152,48128,576512,526116,531084,26.822,0.11,0.0,1
0.03,0.1,70144,61952,40896,576512,531084,552564,31.568,0.08,0.02,1
0.03,0.11,72192,54208,39328,576512,552564,567604,27.738,0.11,0.0,1
0.20,1.08,72192,39328,29952,641024,567604,576007,202.684,1.08,0.0,0
0.04,0.19,70144,43264,23616,641024,576007,596095,43.641,0.16,0.03,1
0.02,0.09,43520,38464,28256,641024,596095,606463,23.919,0.09,0.0,1
0.02,0.09,67584,43104,29760,641024,606463,619959,24.854,0.09,0.0,1
0.22,1.22,69632,29760,8166,711680,619959,640700,217.291,1.22,0.0,0
0.04,0.19,71680,27110,22912,711680,640700,645060,42.999,0.19,0.0,1
0.02,0.11,70144,41856,41856,711680,645060,645060,23.347,0.11,0.0,1
0.03,0.09,72704,60288,54272,711680,645060,651124,31.861,0.09,0.0,1
0.05,0.28,78848,72704,52832,711680,683892,704148,53.419,0.25,0.03,1
0.31,1.61,78848,52832,28579,788992,704148,711297,307.863,1.61,0.0,0
0.05,0.27,83456,44451,44640,788992,711297,711297,50.582,0.27,0.0,1
0.03,0.11,79872,60512,60480,788992,711297,711297,29.995,0.11,0.0,1
0.03,0.2,85504,72256,72288,788992,711297,711297,34.513,0.2,0.0,1
0.04,0.19,88576,84064,73760,788992,711297,721673,43.080,0.19,0.0,1
0.04,0.18,96256,79392,60992,788992,721673,740273,38.438,0.16,0.02,1
0.03,0.19,94720,66624,34880,788992,740273,772417,33.707,0.17,0.02,1
0.27,1.36,96256,34880,17324,879104,772417,788927,270.494,1.34,0.02,0
0.04,0.19,98304,26028,14048,879104,788927,801215,44.151,0.19,0.0,1
0.02,0.02,99840,22752,17472,879104,801215,806559,15.489,0.02,0.0,1
0.02,0.03,100352,27712,10336,879104,806559,824183,18.182,0.03,0.0,1
0.01,0.02,99840,20576,10368,879104,824183,834567,13.985,0.02,0.0,1
0.02,0.02,100864,22144,11872,879104,834567,844951,17.073,0.02,0.0,1
0.02,0.02,96768,23648,11872,879104,844951,856887,16.645,0.02,0.0,1
0.29,1.56,98816,11872,0,957952,856887,867507,288.344,1.53,0.03,0
0.01,0.02,93696,13312,13408,957952,867507,867507,13.242,0.02,0.0,1
0.02,0.04,43520,28256,28256,957952,867507,867507,16.678,0.02,0.02,1
0.02,0.09,93184,43104,43104,957952,867507,867507,23.288,0.09,0.0,1
0.03,0.09,93696,58976,45664,957952,867507,881003,31.218,0.09,0.0,1
0.03,0.11,95744,61536,46688,957952,881003,896059,31.631,0.09,0.02,1
0.03,0.13,96768,63584,48768,957952,896059,911123,33.516,0.11,0.02,1
0.04,0.19,91136,65664,33920,957952,911123,943291,35.273,0.16,0.03,1
0.32,1.69,93696,33920,17892,1024000,943291,957944,317.156,1.67,0.02,0
0.06,0.29000000000000004,98304,39908,22080,1024000,957944,976096,63.187,0.27,0.02,1
0.03,0.09,94720,44096,22144,1024000,976096,998432,26.861,0.09,0.0,1
0.34,1.94,96768,22144,0,1024000,998432,1019803,335.873,1.94,0.0,0
0.33,1.78,96768,24576,20452,1024000,1019803,1023894,325.955,1.78,0.0,0
0.33,1.81,96768,24576,24569,1024000,1023894,1023894,333.427,1.78,0.03,0
0.34,1.84,96768,24576,24575,1024000,1023894,1023894,341.477,1.84,0.0,0
0.32,1.73,96768,24575,24575,1024000,1023894,1023894,322.644,1.7,0.03,0
0.34,1.85,96768,24575,24575,1024000,1023898,1023898,342.387,1.83,0.02,0
0.34,1.72,96768,24575,24575,1024000,1023903,1023903,337.583,1.72,0.0,0
0.33,1.81,96768,24575,24575,1024000,1023908,1023908,329.520,1.81,0.0,0
0.34,1.94,96768,24575,24575,1024000,1023912,1023912,342.579,1.94,0.0,0
0.31,1.81,96768,24575,24575,1024000,1023917,1023917,312.330,1.81,0.0,0
0.33,1.84,96768,24575,24575,1024000,1023922,1023922,332.345,1.84,0.0,0
0.34,1.86,96768,24575,24575,1024000,1023926,1023926,335.368,1.86,0.0,0
0.33,1.67,96768,24575,24575,1024000,1023931,1023931,331.236,1.67,0.0,0
0.34,1.86,96768,24575,24575,1024000,1023936,1023936,342.732,1.86,0.0,0
0.33,1.88,96768,24575,24575,1024000,1023940,1023940,329.725,1.88,0.0,0
0.34,1.88,96768,24575,24575,1024000,1023945,1023945,335.879,1.88,0.0,0
0.33,1.78,96768,24575,24575,1024000,1023950,1023950,334.739,1.78,0.0,0
0.33,1.78,96768,24575,24575,1024000,1023954,1023954,326.890,1.78,0.0,0
0.33,1.78,96768,24575,24575,1024000,1023959,1023959,328.395,1.78,0.0,0
0.33,1.92,96768,24575,24575,1024000,1023964,1023964,330.402,1.89,0.03,0
0.34,1.84,96768,24575,24575,1024000,1023968,1023968,336.954,1.84,0.0,0
0.35,1.78,96768,24575,24575,1024000,1023973,1023973,350.782,1.78,0.0,0
0.33,1.8,96768,24575,24575,1024000,1023978,1023978,333.004,1.78,0.02,0
0.33,1.81,96768,24575,24575,1024000,1023982,1023982,333.657,1.81,0.0,0
0.35,1.83,96768,24575,24575,1024000,1023987,1023987,344.268,1.83,0.0,0
0.34,1.88,96768,24575,24575,1024000,1023992,1023992,337.418,1.88,0.0,0
0.33,1.73,96768,24575,24575,1024000,1023996,1023996,326.196,1.73,0.0,0
0.34,1.77,96768,24575,24575,1024000,1023999,1023999,340.378,1.77,0.0,0
0.50,2.66,96768,24575,24575,1024000,1023999,1023995,494.108,2.64,0.02,0
0.35,1.88,96768,24575,24575,1024000,1023997,1023997,345.846,1.88,0.0,0
0.32,1.88,96768,24575,24575,1024000,1023999,1023999,319.703,1.88,0.0,0
0.34,1.81,96768,24575,24575,1024000,1023999,1023999,343.764,1.81,0.0,0
0.49,2.67,96768,24576,24576,1024000,1024000,1023998,491.250,2.62,0.05,0
0.51,2.84,96768,24576,24576,1024000,1023999,1023998,508.386,2.84,0.0,0
