Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,48,1.804,0.0,0.0,1
0.00,0.0,1536,1023,496,512,48,144,0.820,0.0,0.0,1
0.00,0.0,1536,1520,496,1024,144,552,1.055,0.0,0.0,1
0.00,0.0,2560,1520,512,1536,552,1096,1.115,0.0,0.0,1
0.01,0.0,2560,512,0,3584,1096,1495,4.383,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2191,1.148,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2191,2719,1.804,0.0,0.0,1
0.01,0.0,4608,1504,970,6144,2719,3147,5.150,0.0,0.0,0
0.00,0.02,5632,4042,2016,6144,3147,3723,2.176,0.02,0.0,1
0.00,0.0,6656,5600,3040,6144,3723,4587,2.530,0.0,0.0,1
0.00,0.0,7680,6624,3552,6144,4587,5979,3.166,0.0,0.0,1
0.01,0.0,7680,3552,3541,10752,5979,5835,8.312,0.0,0.0,0
0.00,0.0,9216,7637,3776,10752,5835,7867,3.992,0.0,0.0,1
0.00,0.0,10240,7872,2496,11776,7867,11603,3.871,0.0,0.0,1
0.01,0.02,10752,2496,1845,18944,11603,11737,10.222,0.02,0.0,0
0.00,0.0,11264,7989,3264,18944,11737,13633,3.545,0.0,0.0,1
0.01,0.0,13312,9408,3296,18944,13633,16849,4.799,0.0,0.0,1
0.01,0.02,13312,3296,1126,27648,16849,18765,11.329,0.02,0.0,0
0.01,0.0,13824,9318,4832,27648,18765,19949,5.469,0.0,0.0,1
0.01,0.0,17408,13024,4384,27648,19949,24773,6.579,0.0,0.0,1
0.02,0.02,17408,4384,1164,37888,24773,27172,18.653,0.02,0.0,0
0.01,0.0,17408,12428,5952,37888,27172,28388,6.308,0.0,0.0,1
0.01,0.02,17408,17216,7168,37888,28388,37740,9.851,0.02,0.0,1
0.03,0.0,17408,7168,7153,51712,37740,37542,24.433,0.0,0.0,0
0.01,0.02,22016,17393,10368,51712,37542,44838,10.927,0.0,0.02,1
0.03,0.02,22016,10368,2545,68608,44838,51341,27.040,0.02,0.0,0
0.01,0.04,24576,12785,10336,68608,51341,53949,8.629,0.02,0.02,1
0.01,0.0,25600,21600,14336,68608,53949,61205,10.960,0.0,0.0,1
0.03,0.09,25600,14336,7150,87552,61205,68178,32.065,0.09,0.0,0
0.01,0.02,32768,18414,11360,87552,68178,75458,12.080,0.02,0.0,1
0.01,0.02,33280,24672,19936,87552,75458,80178,13.558,0.02,0.0,1
0.04,0.12,33280,19936,10697,108544,80178,87104,43.272,0.12,0.0,0
0.02,0.02,40960,24009,13408,108544,87104,97960,15.946,0.02,0.0,1
0.05,0.11,40960,13408,2552,134144,97960,108531,45.770,0.11,0.0,0
0.01,0.02,40960,18424,18528,134144,108531,108531,13.834,0.02,0.0,1
0.02,0.11,37888,34400,26624,134144,108531,116331,19.342,0.09,0.02,1
0.02,0.11,45056,37888,22944,134144,116331,131619,21.141,0.08,0.03,1
0.07,0.3,45056,22944,20212,164864,131619,133785,69.416,0.3,0.0,0
0.02,0.11,44032,31476,31616,164864,133785,133785,22.376,0.06,0.05,1
0.02,0.09,48640,40320,39936,164864,133785,134097,19.731,0.09,0.0,1
0.03,0.11,55808,48640,28544,164864,142289,162737,29.467,0.11,0.0,1
0.10,0.38,55808,28544,22226,201728,162737,164445,96.379,0.36,0.02,0
0.02,0.06,56832,31442,22880,201728,164445,173317,24.158,0.06,0.0,1
0.02,0.1,54784,32096,32064,201728,173317,173317,17.042,0.08,0.02,1
0.02,0.13,56832,40768,34208,201728,173317,180013,20.283,0.11,0.02,1
0.02,0.09,57856,42912,26720,201728,180013,196373,20.979,0.09,0.0,1
0.09,0.47,59392,26720,20915,241664,196373,201479,91.772,0.47,0.0,0
0.02,0.11,60928,32691,18432,241664,201479,216103,23.195,0.09,0.02,1
0.02,0.02,57856,30208,23648,241664,216103,222743,15.768,0.02,0.0,1
0.09,0.42,59392,23648,4577,284160,222743,241299,88.213,0.42,0.0,0
0.02,0.09,60928,19937,17408,284160,241299,244019,20.639,0.09,0.0,1
0.02,0.03,59904,32768,32736,284160,244019,244019,17.771,0.03,0.0,1
0.02,0.11,61440,48608,45568,284160,244019,247043,24.148,0.09,0.02,1
0.03,0.12,66560,61440,45600,284160,247043,263219,29.430,0.12,0.0,1
0.11,0.5900000000000001,66560,45600,24455,329728,263219,283765,109.624,0.56,0.03,0
0.03,0.13,71168,37767,30592,329728,283765,291213,29.200,0.11,0.02,1
0.02,0.11,70656,43904,36448,329728,291213,298773,21.979,0.09,0.02,1
0.03,0.12,71168,51296,41632,329728,298773,308629,25.190,0.12,0.0,1
0.17,0.74,71168,56480,42916,375808,325013,329699,167.678,0.72,0.02,0
0.04,0.13,70144,42946,29792,375808,329699,343203,36.495,0.11,0.02,1
0.03,0.08,72704,46688,46752,375808,343203,343203,25.458,0.08,0.0,1
0.03,0.11,74240,63648,50304,375808,343203,356707,31.535,0.09,0.02,1
0.15,0.7,74240,50304,30671,425984,356707,375682,154.182,0.7,0.0,0
0.04,0.19,78336,45519,37408,425984,375682,384106,37.280,0.17,0.02,1
0.03,0.12,74752,52256,52288,425984,384106,384106,25.236,0.12,0.0,1
0.03,0.12,78848,65088,63840,425984,384106,385354,31.904,0.12,0.0,1
0.04,0.19,84992,76640,55392,425984,385354,406826,42.893,0.17,0.02,1
0.17,0.9,84992,55392,35743,481792,406826,425772,168.834,0.88,0.02,0
0.04,0.22,88064,47519,28448,481792,425772,445244,41.393,0.22,0.0,1
0.02,0.09,82944,40224,31776,481792,445244,453836,21.044,0.06,0.03,1
0.02,0.09,50688,45088,36992,481792,453836,462060,22.812,0.09,0.0,1
0.17,1.07,50688,36992,16848,541184,462060,481443,171.958,1.05,0.02,0
0.04,0.2,83456,30160,19040,541184,481443,492827,38.492,0.17,0.03,1
0.02,0.11,49152,33888,33920,541184,492827,492827,19.123,0.11,0.0,1
0.02,0.12,82432,48768,43104,541184,492827,498547,25.087,0.12,0.0,1
0.03,0.12,82944,60000,46720,541184,498547,512051,30.079,0.12,0.0,1
0.03,0.12,84992,63616,48736,541184,512051,527107,30.896,0.12,0.0,1
0.20,1.19,84992,48736,34230,604160,527107,540694,200.038,1.16,0.03,0
0.05,0.24,86016,52150,30976,604160,540694,562326,49.828,0.22,0.02,1
0.03,0.09,81408,48896,35968,604160,562326,575446,27.469,0.09,0.0,1
0.03,0.13999999999999999,83968,55936,38016,604160,575446,593622,32.700,0.12,0.02,1
0.21,1.31,83968,38016,26582,675840,593622,604058,207.861,1.31,0.0,0
0.05,0.25,79872,46550,34304,675840,604058,616642,49.099,0.23,0.02,1
0.03,0.12,81920,56320,56416,675840,616642,616642,29.846,0.12,0.0,1
0.04,0.19,77312,78432,64512,675840,616642,630578,41.077,0.19,0.0,1
0.31,1.84,77312,77312,48024,750080,663346,675668,308.283,1.84,0.0,0
0.06,0.34,51712,60824,38496,750080,675668,698508,55.560,0.34,0.0,1
0.03,0.11,88576,51296,51264,750080,698508,698508,25.735,0.11,0.0,1
0.03,0.12,88576,65600,51616,750080,698508,712644,32.105,0.12,0.0,1
0.03,0.13,89088,65952,54368,750080,712644,724428,32.080,0.11,0.02,1
0.04,0.24,59904,69728,44160,750592,724428,750356,34.840,0.22,0.02,1
0.28,1.58,59904,44160,42908,834560,750356,750255,278.718,1.53,0.05,0
0.06,0.33,87552,58268,30528,834560,750255,778543,56.843,0.31,0.02,1
0.03,0.13,88576,47424,32384,834560,778543,793823,25.715,0.11,0.02,1
0.03,0.12,87040,49280,33920,834560,793823,809391,26.631,0.12,0.0,1
0.28,1.75,88576,33920,7672,926208,809391,834545,283.400,1.72,0.03,0
0.05,0.25,90112,28152,25920,926208,834545,836993,49.587,0.22,0.03,1
0.02,0.12,91136,46400,46400,926208,836993,836993,25.674,0.12,0.0,1
0.03,0.23,91648,68928,68928,926208,836993,836993,34.618,0.2,0.03,1
0.05,0.23,87552,91456,76800,926208,836993,851745,45.306,0.2,0.03,1
0.04,0.23,61440,87552,50272,926208,851745,889633,41.915,0.23,0.0,1
0.03,0.12,99328,61024,21632,929792,889633,929537,31.707,0.12,0.0,1
0.33,2.07,99328,21632,19910,1041408,929537,929638,333.248,2.05,0.02,0
0.06,0.31,99840,31686,11872,1041408,929638,949878,55.964,0.25,0.06,1
0.02,0.02,102400,23648,11904,1041408,949878,961822,16.893,0.02,0.0,1
0.02,0.02,102912,24704,12896,1041408,961822,973766,17.107,0.02,0.0,1
0.02,0.02,101888,25696,12864,1041408,973766,986742,16.727,0.02,0.0,1
0.02,0.03,102912,27200,14464,1041408,986742,999726,18.999,0.03,0.0,1
0.02,0.03,98816,28800,14432,1041408,999726,1014270,18.798,0.03,0.0,1
0.39,2.19,100864,14432,0,1136640,1014270,1027173,394.081,2.14,0.05,0
0.02,0.02,95744,16384,16512,1136640,1027173,1027173,14.447,0.02,0.0,1
0.02,0.13,52736,34432,34400,1136640,1027173,1027173,21.375,0.11,0.02,1
0.03,0.11,94208,52320,52384,1136640,1027173,1027173,30.272,0.11,0.0,1
0.04,0.2,97792,68768,68736,1136640,1027173,1027173,35.834,0.2,0.0,1
0.05,0.2,101376,85120,68736,1136640,1027173,1043789,44.988,0.2,0.0,1
0.04,0.22,108544,80000,62080,1136640,1043789,1061957,42.355,0.22,0.0,1
