Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,480,512,0,8,2.092,0.0,0.0,1
0.00,0.0,1536,991,512,512,8,80,1.301,0.0,0.0,1
0.00,0.0,1536,1536,512,512,80,496,1.826,0.0,0.0,1
0.01,0.0,1536,512,511,2048,496,469,4.423,0.0,0.0,0
0.00,0.0,2560,1535,480,2048,469,1030,2.340,0.0,0.0,1
0.00,0.0,2560,2528,480,2560,1030,2102,2.231,0.0,0.0,1
0.01,0.0,4096,480,0,6144,2102,2542,5.812,0.0,0.0,0
0.00,0.0,5120,3072,1664,6144,2542,2542,2.513,0.0,0.0,1
0.00,0.0,5632,4736,2016,6144,2542,3766,4.229,0.0,0.0,1
0.00,0.0,6656,5600,3040,6144,3766,4606,5.115,0.0,0.0,1
0.01,0.0,9216,6624,4064,6144,4606,5446,5.354,0.0,0.0,1
0.02,0.04,9216,4064,3545,10752,5446,5820,17.709,0.02,0.02,0
0.01,0.02,10240,8665,5088,10752,5820,6940,6.772,0.02,0.0,1
0.01,0.02,12800,10208,6464,10752,6940,8236,8.123,0.02,0.0,1
0.01,0.0,13824,12608,5824,12288,8236,12108,7.226,0.0,0.0,1
0.02,0.0,13824,5824,5780,18944,12108,11997,20.422,0.0,0.0,0
0.01,0.02,15360,11924,3200,18944,11997,17877,9.108,0.0,0.02,1
0.02,0.02,16384,3200,2148,28672,17877,18800,19.101,0.02,0.0,0
0.01,0.0,17408,11876,5568,28672,18800,20992,10.100,0.0,0.0,1
0.01,0.0,21504,15296,5088,28672,20992,26600,11.652,0.0,0.0,1
0.04,0.03,21504,5088,2474,40448,26600,28515,36.962,0.03,0.0,0
0.02,0.03,21504,15786,8192,40448,28515,34251,18.417,0.03,0.0,1
0.04,0.05,21504,8192,2044,54784,34251,40283,39.357,0.05,0.0,0
0.02,0.02,25088,15356,11744,54784,40283,43955,19.653,0.02,0.0,1
0.02,0.02,28160,25056,13344,56320,43955,55843,24.051,0.02,0.0,1
0.07,0.11,28160,13344,11748,75264,55843,56121,71.111,0.09,0.02,0
0.03,0.03,31744,25060,13344,75264,56121,68065,28.998,0.03,0.0,1
0.05,0.06,31744,13344,6122,98304,68065,75024,53.940,0.06,0.0,0
0.02,0.06,33280,20970,18400,98304,75024,77648,18.782,0.06,0.0,1
0.03,0.05,38912,33248,14880,98304,77648,96256,30.330,0.03,0.02,1
0.10,0.16,38912,14880,10726,127488,96256,98013,98.501,0.16,0.0,0
0.03,0.04,39936,27110,16448,127488,98013,108917,32.099,0.02,0.02,1
0.04,0.07,36864,32832,24576,127488,108917,117229,35.004,0.02,0.05,1
0.12,0.16,36864,24576,14308,159232,117229,127140,119.923,0.16,0.0,0
0.03,0.03,44032,26596,12288,159232,127140,141684,35.169,0.03,0.0,1
0.12,0.17,44032,12288,0,190464,141684,153704,124.433,0.17,0.0,0
0.02,0.03,44544,14336,14336,190464,153704,153704,17.221,0.03,0.0,1
0.04,0.06,41472,28672,28704,190464,161896,161896,35.114,0.06,0.0,1
0.04,0.05,45568,40992,33280,190464,161896,169688,38.918,0.02,0.03,1
0.04,0.05,51200,45568,35104,190464,169688,180328,36.138,0.05,0.0,1
0.18,0.28,51200,35104,20696,228352,180328,190234,176.261,0.28,0.0,0
0.03,0.06,55808,30424,22432,228352,190234,198410,33.276,0.06,0.0,1
0.02,0.03,53248,32160,32160,228352,198410,198410,18.664,0.03,0.0,1
0.02,0.03,55808,40864,40864,228352,198410,198410,21.906,0.03,0.0,1
0.03,0.04,57344,49568,43808,228352,198410,204202,29.141,0.02,0.02,1
0.03,0.04,62464,49440,32736,228352,204202,221146,28.423,0.02,0.02,1
0.15,0.25,62464,32736,24971,269312,221146,228294,148.320,0.23,0.02,0
0.04,0.06,60416,30603,16544,269312,228294,242638,37.565,0.06,0.0,1
0.02,0.0,23552,23200,16608,269312,242638,249302,15.782,0.0,0.0,1
0.02,0.03,59392,23264,13312,269312,249302,259382,16.417,0.03,0.0,1
0.16,0.29000000000000004,60416,13312,3031,313344,259382,269088,156.228,0.27,0.02,0
0.03,0.06,61440,12247,9248,313344,269088,272176,33.186,0.06,0.0,1
0.01,0.0,57344,18464,18432,313344,272176,272176,13.656,0.0,0.0,1
0.02,0.03,30720,29184,19968,313344,272176,281520,20.718,0.03,0.0,1
0.02,0.03,54272,30720,21536,313344,281520,290856,21.531,0.03,0.0,1
0.03,0.06,56832,34336,23552,313344,290856,301752,24.435,0.06,0.0,1
0.20,0.39,56832,23552,11734,359424,301752,312962,198.576,0.39,0.0,0
0.05,0.06,52736,24534,19232,359424,312962,318386,45.836,0.06,0.0,1
0.02,0.03,55296,33568,33568,359424,318386,318386,22.359,0.03,0.0,1
0.05,0.06,54784,47904,41472,359424,334770,341282,48.061,0.06,0.0,1
0.03,0.03,59904,52736,48640,359424,341282,345426,31.977,0.03,0.0,1
0.24,0.42,59904,48640,26570,405504,345426,358928,240.534,0.42,0.0,0
0.05,0.1,64512,37834,24256,405504,358928,372768,53.606,0.08,0.02,1
0.02,0.03,67072,37056,37088,405504,372768,372768,22.464,0.03,0.0,1
0.03,0.03,67072,49888,42432,405504,372768,380296,30.305,0.03,0.0,1
0.03,0.03,69632,54208,48672,405504,380296,385936,31.523,0.03,0.0,1
0.04,0.05,74752,60448,36352,410624,385936,410312,38.732,0.05,0.0,1
0.25,0.45,75264,36352,35236,466432,410312,410526,250.387,0.45,0.0,0
0.07,0.12,75776,49572,25856,466432,410526,434678,65.020,0.12,0.0,1
0.03,0.03,70656,40192,28704,466432,434678,446342,27.828,0.03,0.0,1
0.27,0.52,72704,28704,8161,529920,446342,466203,270.755,0.52,0.0,0
0.06,0.09,75264,26593,22816,529920,466203,470107,60.431,0.09,0.0,1
0.03,0.03,74752,41248,41248,529920,470107,470107,28.537,0.03,0.0,1
0.04,0.06,76288,60192,57344,529920,470107,472963,37.933,0.06,0.0,1
0.05,0.1,82432,76288,54560,529920,472963,495027,50.333,0.08,0.02,1
0.04,0.06,87040,71456,53728,529920,495027,513011,43.584,0.06,0.0,1
0.32,0.59,87040,53728,36214,601600,513011,529649,317.758,0.59,0.0,0
0.08,0.12,87552,53110,41536,601600,529649,541505,76.810,0.12,0.0,1
0.04,0.07,90112,60480,48000,601600,541505,554153,38.707,0.05,0.02,1
0.04,0.06,90112,66944,54816,601600,554153,566449,44.353,0.06,0.0,1
