Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,72,1.683,0.0,0.0,1
0.00,0.0,1536,1023,512,512,72,128,1.058,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,128,560,1.010,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,560,1160,1.083,0.0,0.0,1
0.00,0.0,2560,480,0,3584,1160,1495,4.517,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2143,1.324,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2143,2743,1.569,0.0,0.0,1
0.00,0.0,4608,1504,989,6144,2743,3127,4.644,0.0,0.0,0
0.00,0.0,5632,4061,2048,6144,3127,3703,2.038,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3703,4743,2.922,0.0,0.0,1
0.00,0.0,8704,6624,4064,6144,4743,5591,3.313,0.0,0.0,1
0.01,0.0,8704,4064,3544,10240,5591,5832,8.219,0.0,0.0,0
0.00,0.0,9728,8012,3968,10240,5832,7928,4.012,0.0,0.0,1
0.00,0.02,12288,8576,2752,12288,7928,11832,3.882,0.02,0.0,1
0.01,0.0,12288,2752,1981,19456,11832,12055,10.222,0.0,0.0,0
0.00,0.0,12288,8637,3552,19456,12055,14103,4.038,0.0,0.0,1
0.00,0.0,14848,10208,3584,19456,14103,17583,3.910,0.0,0.0,1
0.01,0.02,14848,3584,1901,28160,17583,18971,10.449,0.02,0.0,0
0.00,0.0,14848,11117,5408,28160,18971,20923,4.246,0.0,0.0,1
0.01,0.02,18432,14624,4896,28160,20923,26283,5.399,0.02,0.0,1
0.02,0.02,18432,4896,2717,38912,26283,27662,15.752,0.0,0.02,0
0.01,0.02,18944,14493,7168,38912,27662,30870,6.625,0.02,0.0,1
0.01,0.0,19456,18944,9184,40960,30870,40862,14.882,0.0,0.0,1
0.03,0.02,19456,9184,8080,55808,40862,40589,28.575,0.02,0.0,0
0.01,0.02,24576,18320,10368,55808,40589,48789,10.361,0.02,0.0,1
0.03,0.02,24576,10368,3561,73728,48789,55312,26.006,0.02,0.0,0
0.01,0.02,26624,13801,10368,73728,55312,58944,9.455,0.02,0.0,1
0.01,0.0,27648,21632,16384,73728,58944,64128,10.859,0.0,0.0,1
0.01,0.02,32768,24922,8576,80896,64128,80760,12.590,0.02,0.0,1
0.04,0.14,33792,8576,7900,104448,80760,80827,36.013,0.14,0.0,0
0.01,0.0,34816,22748,14976,104448,80827,88883,15.385,0.0,0.0,1
0.02,0.02,38400,29824,14976,104448,88883,103915,17.466,0.02,0.0,1
0.06,0.25,38400,14976,12263,132608,103915,104062,55.854,0.23,0.02,0
0.02,0.12,39424,29159,17024,132608,104062,116518,18.437,0.12,0.0,1
0.05,0.33,39424,17024,1027,163840,116518,132162,51.190,0.31,0.02,0
0.01,0.02,41984,17923,18048,163840,132162,132162,15.202,0.02,0.0,1
0.02,0.13,43520,35968,25600,163840,132162,142562,19.070,0.11,0.02,1
0.03,0.02,49152,43520,33728,163840,142562,152642,28.531,0.02,0.0,1
0.08,0.41,49152,33728,18203,197632,152642,163544,76.817,0.41,0.0,0
0.02,0.08,54272,33563,33760,197632,163544,163544,22.654,0.08,0.0,1
0.02,0.14,51712,49120,43520,197632,163544,169088,23.128,0.08,0.06,1
0.02,0.13999999999999999,60928,51712,35360,197632,169088,185768,23.968,0.12,0.02,1
0.09,0.54,60928,35360,23382,234496,185768,197180,89.116,0.52,0.02,0
0.03,0.13,60928,31574,13728,234496,197180,215404,24.435,0.11,0.02,1
0.08,0.47000000000000003,62976,13728,0,271360,215404,228723,83.201,0.45,0.02,0
0.01,0.0,61440,9728,9888,271360,228723,228723,7.017,0.0,0.0,1
0.01,0.02,32768,21152,21088,271360,228723,228723,11.820,0.02,0.0,1
0.02,0.02,60416,32352,32352,271360,228723,228723,16.370,0.02,0.0,1
0.02,0.12,61952,43616,43584,271360,228723,228723,21.032,0.12,0.0,1
0.03,0.13,68608,54848,54848,271360,228723,228723,26.371,0.11,0.02,1
0.03,0.14,69120,67136,46208,271360,228723,249979,31.319,0.14,0.0,1
0.10,0.8,69120,46208,24493,316928,249979,271119,104.066,0.77,0.03,0
0.03,0.13999999999999999,71168,36781,25344,316928,271119,282911,28.667,0.12,0.02,1
0.02,0.11,71168,39680,26688,316928,282911,295983,20.625,0.11,0.0,1
0.11,0.67,71168,26688,5610,341504,295983,316560,109.347,0.64,0.03,0
0.02,0.14,73216,19946,14464,341504,316560,322280,24.017,0.14,0.0,1
0.11,0.66,73216,14464,0,341504,322280,336472,104.757,0.66,0.0,0
0.11,0.77,73216,16384,11752,341504,336472,341071,107.839,0.77,0.0,0
0.09,0.63,73216,12079,11848,341504,341071,341071,87.801,0.61,0.02,0
0.16,1.05,73216,11848,11848,341504,341071,341067,162.454,1.02,0.03,0
