Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,448,512,0,0,1.723,0.0,0.0,1
0.00,0.0,1536,959,496,512,0,104,1.920,0.0,0.0,1
0.00,0.0,1536,1520,512,512,104,496,2.010,0.0,0.0,1
0.00,0.0,1536,512,511,2048,496,469,4.645,0.0,0.0,0
0.00,0.0,2560,1535,480,2048,469,1029,2.319,0.0,0.0,1
0.00,0.0,2560,2528,480,2560,1029,2093,2.847,0.0,0.0,1
0.01,0.0,4096,480,0,6144,2093,2542,5.759,0.0,0.0,0
0.00,0.0,5120,3072,1664,6144,2542,2542,2.899,0.0,0.0,1
0.01,0.0,5632,4736,2016,6144,2542,3774,5.625,0.0,0.0,1
0.01,0.0,6656,5600,3040,6144,3774,4606,6.561,0.0,0.0,1
0.01,0.0,9216,6624,4064,6144,4606,5446,6.097,0.0,0.0,1
0.02,0.0,9216,4064,3545,10752,5446,5831,17.358,0.0,0.0,0
0.01,0.0,10240,8665,4928,10752,5831,7111,8.054,0.0,0.0,1
0.01,0.0,12800,10048,5536,10752,7111,9175,9.390,0.0,0.0,1
0.02,0.0,12800,5536,3961,16896,9175,10654,22.547,0.0,0.0,0
0.01,0.0,13312,10617,3424,16896,10654,14678,9.623,0.0,0.0,1
0.02,0.0,13312,3424,1368,25088,14678,16660,24.203,0.0,0.0,0
0.01,0.0,14848,8024,3456,25088,16660,18052,8.202,0.0,0.0,1
0.01,0.0,15360,12160,5024,25088,18052,21540,11.071,0.0,0.0,1
0.03,0.02,15360,5024,901,35840,21540,25039,35.567,0.02,0.0,0
0.01,0.0,18944,9605,4512,35840,25039,25959,11.863,0.0,0.0,1
0.01,0.0,18944,16288,7168,35840,25959,29447,13.008,0.0,0.0,1
0.03,0.02,20480,18944,9696,38912,29447,38663,25.544,0.0,0.02,1
0.06,0.05,20480,9696,9681,52224,38663,37417,59.049,0.05,0.0,0
0.03,0.02,25600,20433,10752,52224,37417,47225,26.472,0.02,0.0,1
0.07,0.06,25600,10752,5610,70656,47225,52208,67.634,0.06,0.0,0
0.03,0.02,28672,16362,10752,70656,52208,57912,26.879,0.02,0.0,1
0.03,0.02,29184,23552,16384,70656,57912,65160,26.778,0.02,0.0,1
0.09,0.08,29184,16384,10731,91648,65160,70572,93.694,0.08,0.0,0
0.04,0.04,36864,23531,12800,91648,70572,81476,35.925,0.02,0.02,1
0.11,0.08,36864,12800,508,116736,81476,91527,111.757,0.08,0.0,0
0.03,0.02,37376,15356,15360,116736,91527,91527,31.180,0.02,0.0,1
0.03,0.04,34816,30208,23552,116736,91527,98271,34.218,0.02,0.02,1
