Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,24,1.638,0.0,0.0,1
0.00,0.0,1536,1023,512,512,24,100,0.795,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,100,548,1.198,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,548,1116,1.040,0.0,0.0,1
0.00,0.0,2560,480,0,3584,1116,1495,5.144,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2119,1.389,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2119,2703,1.801,0.0,0.0,1
0.00,0.0,4608,1504,990,6144,2703,3123,4.768,0.0,0.0,0
0.00,0.0,5632,4062,2048,6144,3123,3675,2.125,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3675,4683,2.800,0.0,0.0,1
0.00,0.02,8704,6624,4064,6144,4683,5539,3.592,0.02,0.0,1
0.01,0.0,8704,4064,3481,10240,5539,5884,9.130,0.0,0.0,0
0.00,0.0,9728,8035,3936,10240,5884,7884,4.102,0.0,0.0,1
0.00,0.0,11264,8544,2688,12288,7884,11804,4.807,0.0,0.0,1
0.01,0.0,11776,2688,1949,19456,11804,12087,10.918,0.0,0.0,0
0.00,0.0,12288,9117,3776,19456,12087,14095,4.236,0.0,0.0,1
0.01,0.02,15360,10944,3808,19456,14095,17839,5.078,0.0,0.02,1
0.01,0.0,15360,3808,2168,28160,17839,19234,12.677,0.0,0.0,0
0.01,0.02,15360,11896,5568,28160,19234,21466,5.790,0.02,0.0,1
0.01,0.0,19456,15296,5120,28160,21466,27090,7.689,0.0,0.0,1
0.02,0.0,19456,5120,3493,39424,27090,27947,22.965,0.0,0.0,0
0.01,0.0,19968,16293,7168,39424,27947,35675,10.863,0.0,0.0,1
0.02,0.0,19968,7168,3576,54272,35675,39117,23.537,0.0,0.0,0
0.01,0.02,23040,16376,11232,54272,39117,44357,11.747,0.02,0.0,1
0.02,0.02,26624,23008,11872,55808,44357,55733,15.384,0.02,0.0,1
0.04,0.06,26624,11872,10724,75264,55733,55468,38.334,0.06,0.0,0
0.01,0.02,29696,22500,11872,75264,55468,66364,14.730,0.02,0.0,1
0.03,0.08,29696,11872,3058,98304,66364,74879,32.012,0.08,0.0,0
0.01,0.0,30720,13946,13952,98304,74879,74879,11.264,0.0,0.0,1
