Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,480,512,0,8,1.362,0.0,0.0,1
0.00,0.0,1024,991,512,512,8,80,0.848,0.0,0.0,1
0.00,0.0,1024,1024,512,512,80,232,0.902,0.0,0.0,1
0.00,0.0,1024,1024,512,512,232,488,1.020,0.0,0.0,1
0.00,0.0,1024,512,507,512,488,458,2.747,0.0,0.0,0
0.00,0.0,1024,1019,757,512,458,458,3.673,0.0,0.0,0
0.00,0.0,1024,1011,878,512,458,457,3.639,0.0,0.0,0
0.00,0.0,1024,1008,941,512,457,457,3.605,0.0,0.0,0
0.00,0.0,1024,1008,972,512,457,457,3.413,0.0,0.0,0
0.00,0.0,1024,1008,988,512,457,457,3.337,0.0,0.0,0
0.00,0.0,1024,1008,996,512,457,457,3.426,0.0,0.0,0
0.00,0.0,1024,1008,1001,512,457,457,3.568,0.0,0.0,0
0.00,0.0,1024,1008,1004,512,457,457,4.128,0.0,0.0,0
0.00,0.0,1024,1008,1006,512,457,457,3.399,0.0,0.0,0
0.00,0.0,1024,1008,1006,512,457,457,4.009,0.0,0.0,0
0.00,0.0,1024,1008,1007,512,457,457,3.480,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,457,457,3.248,0.0,0.0,0
0.00,0.02,1024,1008,1008,512,457,457,3.159,0.02,0.0,0
0.00,0.0,1024,1008,1008,512,457,457,3.223,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,463,460,3.063,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,460,460,3.158,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,465,463,2.898,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,468,466,2.763,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,471,469,2.739,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,474,471,2.791,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,477,474,2.991,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,480,477,3.010,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,482,480,3.096,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,485,483,2.843,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,488,485,2.892,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,491,488,2.820,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,494,491,2.822,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,496,494,2.810,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,499,497,2.832,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,502,499,2.820,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,505,502,2.896,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,508,505,2.861,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,510,508,2.821,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,510,2.826,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,511,3.035,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,511,2.877,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,511,2.789,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,511,2.974,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,511,2.788,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,512,510,2.859,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,511,508,2.861,0.0,0.0,0
0.00,0.0,1024,1008,1008,512,509,509,2.662,0.0,0.0,0
