Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,448,512,0,0,2.255,0.0,0.0,1
0.00,0.0,1536,959,496,512,0,96,1.767,0.0,0.0,1
0.00,0.0,1536,1520,512,512,96,488,2.042,0.0,0.0,1
0.01,0.0,1536,512,511,2048,488,469,4.661,0.0,0.0,0
0.00,0.0,2560,1535,480,2048,469,1029,2.118,0.0,0.0,1
0.00,0.0,2560,2528,480,2560,1029,2093,3.134,0.0,0.0,1
0.01,0.0,4096,480,0,6144,2093,2542,6.384,0.0,0.0,0
0.00,0.0,5120,3072,1664,6144,2542,2542,3.101,0.0,0.0,1
0.00,0.0,5632,4736,2016,6144,2542,3766,4.314,0.0,0.0,1
0.01,0.02,6656,5600,3040,6144,3766,4598,6.201,0.02,0.0,1
0.01,0.0,9216,6624,4064,6144,4598,5430,6.812,0.0,0.0,1
0.02,0.0,9216,4064,3545,10752,5430,5820,15.652,0.0,0.0,0
0.01,0.0,10240,8665,5088,10752,5820,6940,8.237,0.0,0.0,1
0.01,0.0,12800,10208,6400,10752,6940,8268,10.279,0.0,0.0,1
0.01,0.02,13824,12544,5792,12288,8268,12092,12.566,0.02,0.0,1
0.02,0.0,13824,5792,5760,18944,12092,11997,25.670,0.0,0.0,0
0.01,0.0,16384,11904,3200,18944,11997,17853,11.644,0.0,0.0,1
0.03,0.0,16896,3200,2146,28672,17853,18779,27.006,0.0,0.0,0
0.01,0.0,17408,11874,5536,28672,18779,20963,11.622,0.0,0.0,1
0.02,0.0,21504,15264,5056,28672,20963,26563,16.241,0.0,0.0,1
0.04,0.02,21504,5056,2471,40448,26563,28490,42.233,0.02,0.0,0
0.02,0.0,21504,15783,8000,40448,28490,31002,16.112,0.0,0.0,1
0.03,0.02,22016,21312,9696,43008,31002,42778,29.620,0.02,0.0,1
0.07,0.03,22016,9696,9681,57856,42778,41524,67.749,0.03,0.0,0
0.03,0.02,27648,21969,12288,57856,41524,51332,27.746,0.02,0.0,1
0.08,0.05,27648,12288,5613,77312,51332,57848,79.222,0.05,0.0,0
0.03,0.02,30720,17901,12288,77312,57848,63552,30.307,0.02,0.0,1
0.04,0.03,31744,25526,17920,77312,63552,71056,36.960,0.03,0.0,1
0.11,0.09,31744,17920,11753,98816,71056,76975,108.530,0.09,0.0,0
0.04,0.05,39936,25577,13824,98816,76975,88919,43.614,0.05,0.0,1
0.12,0.09,40448,13824,2039,123904,88919,98441,122.511,0.09,0.0,0
0.03,0.03,40960,18935,18944,123904,98441,98441,32.633,0.03,0.0,1
0.04,0.04,37888,35840,26112,123904,98441,108313,42.557,0.02,0.02,1
0.04,0.03,46080,37888,22560,123904,108313,123865,39.443,0.03,0.0,1
0.17,0.12,46080,22560,22500,154624,123865,123454,171.743,0.12,0.0,0
0.05,0.02,48128,34276,23552,154624,123454,134390,52.939,0.02,0.0,1
0.04,0.03,49664,35840,35840,154624,134390,134390,35.175,0.03,0.0,1
0.23,0.19,49664,48128,32168,187392,142582,154142,232.956,0.19,0.0,0
0.07,0.05,53248,44456,34208,187392,154142,164590,66.557,0.03,0.02,1
0.04,0.05,57344,44960,44960,187392,164590,164590,38.948,0.05,0.0,1
