Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,32,1.710,0.0,0.0,1
0.00,0.0,1536,1023,512,512,32,96,1.005,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,96,544,1.304,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,544,1120,1.710,0.0,0.0,1
0.01,0.0,2560,480,0,3584,1120,1495,4.994,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2127,1.256,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2127,2703,1.726,0.0,0.0,1
0.01,0.0,4608,1504,990,6144,2703,3123,5.547,0.0,0.0,0
0.00,0.0,5632,4062,2048,6144,3123,3667,2.399,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3667,4683,3.062,0.0,0.0,1
0.00,0.0,8704,6624,4064,6144,4683,5539,3.796,0.0,0.0,1
0.01,0.0,8704,4064,3541,10240,5539,5824,9.566,0.0,0.0,0
0.00,0.0,9728,8095,3936,10240,5824,7848,4.384,0.0,0.0,1
0.01,0.0,12288,8544,2720,12288,7848,11808,5.389,0.0,0.0,1
0.01,0.0,12288,2720,2110,18944,11808,11927,12.427,0.0,0.0,0
0.01,0.0,12288,8766,3488,18944,11927,14079,4.524,0.0,0.0,1
0.01,0.0,14848,10144,3488,18944,14079,17559,4.807,0.0,0.0,1
0.01,0.03,14848,3488,2413,27648,17559,18461,12.882,0.03,0.0,0
0.01,0.0,14848,11629,5376,27648,18461,20941,6.128,0.0,0.0,1
0.01,0.0,18944,14592,4832,27648,20941,26285,7.196,0.0,0.0,1
0.02,0.02,18944,4832,3229,38400,26285,27154,21.077,0.02,0.0,0
0.01,0.0,18944,15517,6656,38400,27154,35298,9.856,0.0,0.0,1
0.02,0.0,18944,6656,3577,53248,35298,38213,21.060,0.0,0.0,0
0.01,0.02,20992,15865,10720,53248,38213,45533,12.373,0.02,0.0,1
0.03,0.0,25600,10720,0,71168,45533,53031,26.397,0.0,0.0,0
0.01,0.0,26624,10240,10336,71168,53031,53031,6.696,0.0,0.0,1
0.01,0.02,27648,21600,16384,71168,53031,58207,11.123,0.02,0.0,1
0.02,0.0,34816,27648,11328,75264,58207,74839,15.814,0.0,0.0,1
0.04,0.06,34816,11328,10718,98816,74839,74980,42.975,0.06,0.0,0
0.02,0.02,34816,24542,17984,98816,74980,85876,16.092,0.02,0.0,1
0.05,0.12,39424,17984,0,124928,85876,97453,52.788,0.12,0.0,0
0.01,0.02,39936,16384,16480,124928,97453,97453,9.844,0.02,0.0,1
0.02,0.08,37888,32864,25088,124928,97453,105253,17.557,0.03,0.05,1
0.02,0.06,44544,37888,25792,124928,105253,117621,18.510,0.06,0.0,1
0.06,0.25,44544,25792,18493,155648,117621,124434,58.061,0.25,0.0,0
0.02,0.16,48128,31293,22464,155648,124434,133522,20.442,0.16,0.0,1
0.02,0.08,49664,35776,35744,155648,133522,133522,17.616,0.08,0.0,1
0.09,0.33,49664,49056,31006,188416,141714,155344,94.255,0.31,0.02,0
0.03,0.09,52736,44318,35168,188416,155344,164784,31.562,0.09,0.0,1
0.02,0.08,57344,45920,45888,188416,164784,164784,23.653,0.08,0.0,1
0.03,0.08,63488,56640,46528,188416,164784,175048,29.293,0.08,0.0,1
0.09,0.33,63488,46528,33064,223744,175048,188006,90.420,0.31,0.02,0
0.03,0.08,66560,42792,24064,223744,188006,207118,30.332,0.06,0.02,1
0.08,0.4,66560,24064,7073,265728,207118,223692,83.963,0.38,0.02,0
0.02,0.06,64512,16801,14976,265728,223692,225652,20.890,0.06,0.0,1
0.01,0.0,66048,26240,26240,265728,225652,225652,14.047,0.0,0.0,1
0.02,0.08,63488,37504,37472,265728,225652,225652,18.854,0.08,0.0,1
0.02,0.08,66048,48224,45408,265728,225652,228540,22.734,0.08,0.0,1
0.03,0.08,69632,56160,44032,265728,228540,240772,29.845,0.08,0.0,1
0.03,0.17,69632,56832,34368,265728,240772,263604,32.584,0.17,0.0,1
0.13,0.47,69632,34368,31653,313856,263604,265488,126.981,0.47,0.0,0
0.03,0.11,71168,44453,24672,313856,265488,285712,34.766,0.09,0.02,1
0.02,0.08,71680,39520,14912,313856,285712,310632,24.366,0.06,0.02,1
0.13,0.55,71680,14912,11240,341504,310632,313486,131.117,0.55,0.0,0
0.03,0.08,73216,26088,14976,341504,313486,324926,30.700,0.06,0.02,1
0.12,0.42,73728,14976,0,341504,324926,339542,114.563,0.42,0.0,0
0.12,0.45,73728,13491,11844,341504,339542,341075,122.273,0.45,0.0,0
0.19,0.5900000000000001,73728,11844,11844,341504,341075,341071,193.590,0.56,0.03,0
