Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,16,1.616,0.0,0.0,1
0.00,0.0,1536,1023,496,512,16,108,0.764,0.0,0.0,1
0.00,0.0,1536,1520,496,1024,108,556,0.802,0.0,0.0,1
0.01,0.0,2048,496,0,2560,556,980,4.159,0.0,0.0,0
0.00,0.0,2560,1536,480,2560,980,1316,0.818,0.0,0.0,1
0.00,0.0,2048,2527,480,2560,1316,2404,1.070,0.0,0.0,1
0.00,0.0,2048,480,479,5632,2404,2324,3.619,0.0,0.0,0
0.00,0.02,3072,2015,1344,5632,2324,2324,1.127,0.02,0.0,1
0.00,0.0,4096,2879,2016,5632,2324,2380,1.460,0.0,0.0,1
0.00,0.0,4608,4064,2528,5632,2380,2940,1.902,0.0,0.0,1
0.00,0.02,5632,4576,3040,5632,2940,3500,2.530,0.0,0.02,1
0.00,0.0,6656,5600,3712,5632,3500,4276,2.041,0.0,0.0,1
0.00,0.0,7680,6272,3744,5632,4276,5564,2.649,0.0,0.0,1
0.01,0.02,7680,3744,3681,10240,5564,5391,7.826,0.02,0.0,0
0.00,0.0,8192,6753,3008,10240,5391,7823,2.952,0.0,0.0,1
0.00,0.0,8704,6080,1920,11264,7823,10783,2.979,0.0,0.0,1
0.01,0.0,9216,1920,1824,17408,10783,10393,7.791,0.0,0.0,0
0.00,0.0,9728,6944,2688,17408,10393,12265,3.033,0.0,0.0,1
0.00,0.0,11776,7808,2720,17408,12265,14945,3.241,0.0,0.0,1
0.01,0.0,11776,2720,90,26112,14945,17378,9.189,0.0,0.0,0
0.00,0.0,11776,7258,3808,26112,17378,17482,3.190,0.0,0.0,1
0.01,0.0,14336,10976,4288,26112,17482,21266,6.522,0.0,0.0,1
0.00,0.0,14848,13504,4864,26112,21266,25530,5.581,0.0,0.0,1
0.02,0.0,14848,4864,3741,37376,25530,25875,16.872,0.0,0.0,0
0.01,0.02,17408,12957,4896,37376,25875,29707,6.444,0.02,0.0,1
0.01,0.0,17920,15890,6656,38400,29707,38291,8.545,0.0,0.0,1
0.03,0.0,17920,6656,6642,52736,38291,38053,24.588,0.0,0.0,0
0.01,0.0,19968,17906,10720,52736,38053,45381,12.106,0.0,0.0,1
0.03,0.02,19968,10720,2498,70144,45381,52409,28.104,0.02,0.0,0
0.01,0.0,24576,11714,9280,70144,52409,54969,9.196,0.0,0.0,1
0.01,0.02,23552,18496,15872,70144,54969,57561,11.069,0.0,0.02,1
0.01,0.0,27136,23552,7744,73728,57561,73665,11.967,0.0,0.0,1
0.03,0.09,27136,7744,7645,95744,73665,73276,34.222,0.09,0.0,0
0.01,0.0,25600,15325,7744,95744,73276,81060,11.659,0.0,0.0,1
0.01,0.02,26624,16960,9312,95744,81060,88852,12.593,0.02,0.0,1
0.05,0.14,27648,9312,0,120832,88852,95725,52.110,0.14,0.0,0
0.01,0.0,28160,10752,10816,120832,95725,95725,6.263,0.0,0.0,1
0.01,0.0,25600,21568,17408,120832,95725,99877,11.169,0.0,0.0,1
0.02,0.0,29696,25600,8288,120832,99877,117525,14.914,0.0,0.0,1
