Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,48,1.673,0.0,0.0,1
0.00,0.0,1536,1023,496,512,48,120,0.797,0.0,0.0,1
0.00,0.0,1536,1520,512,1024,120,552,0.983,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,552,1132,1.062,0.0,0.0,1
0.01,0.0,2560,480,0,3584,1132,1495,4.977,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1495,2135,0.965,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2135,2727,1.597,0.0,0.0,1
0.00,0.0,4608,1504,990,6144,2727,3123,5.166,0.0,0.0,0
0.00,0.0,5632,4062,2048,6144,3123,3675,2.177,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3675,4691,3.255,0.0,0.0,1
0.00,0.0,8704,6624,4064,6144,4691,5547,3.218,0.0,0.0,1
0.01,0.0,8704,4064,3480,10240,5547,5885,8.656,0.0,0.0,0
0.00,0.0,9728,8034,3904,10240,5885,7917,3.935,0.0,0.0,1
0.01,0.0,11776,8512,5056,10240,7917,9477,4.463,0.0,0.0,1
0.01,0.0,11776,5056,3904,16384,9477,10133,11.352,0.0,0.0,0
0.00,0.0,12288,10048,3232,16384,10133,14125,4.433,0.0,0.0,1
0.01,0.02,12288,3232,1094,25088,14125,16081,9.890,0.02,0.0,0
0.00,0.0,14336,7238,3232,25088,16081,17209,3.300,0.0,0.0,1
0.00,0.0,14336,11424,6112,25088,17209,19065,5.050,0.0,0.0,1
0.01,0.0,18432,14304,4352,25600,19065,25273,5.535,0.0,0.0,1
0.02,0.0,18432,4352,3206,37376,25273,25583,16.939,0.0,0.0,0
0.01,0.0,18432,13958,5632,37376,25583,28863,6.035,0.0,0.0,1
0.01,0.0,18432,16384,8192,37376,28863,36615,9.138,0.0,0.0,1
0.02,0.0,18432,8192,7663,52736,36615,36913,21.772,0.0,0.0,0
0.01,0.0,22528,17903,10304,52736,36913,44721,12.905,0.0,0.0,1
0.03,0.02,22528,10304,1056,72192,44721,52711,30.021,0.0,0.02,0
0.01,0.0,25088,11296,10336,72192,52711,53807,8.366,0.0,0.0,1
0.01,0.0,26112,21600,14848,72192,53807,60559,11.892,0.0,0.0,1
0.01,0.02,33792,26112,11328,75776,60559,75631,14.281,0.02,0.0,1
0.04,0.11,33792,11328,10717,101376,75631,75720,43.144,0.11,0.0,0
0.02,0.0,33792,24541,13952,101376,75720,86616,16.687,0.0,0.0,1
0.01,0.0,31744,27776,20960,101376,86616,93408,15.245,0.0,0.0,1
0.06,0.16,31744,20960,10698,130048,93408,101287,59.486,0.16,0.0,0
0.02,0.02,37888,21450,10816,130048,101287,112159,17.810,0.0,0.02,1
0.01,0.0,36352,21568,21568,130048,112159,112159,11.462,0.0,0.0,1
0.02,0.06,38912,32320,21600,130048,112159,123047,17.312,0.06,0.0,1
0.06,0.27,38912,21600,14291,162304,123047,129863,64.560,0.27,0.0,0
0.02,0.05,42496,25043,18112,162304,129863,137023,19.503,0.03,0.02,1
0.02,0.02,43008,30400,23104,162304,137023,144407,15.872,0.02,0.0,1
0.09,0.33,43008,35392,21437,196096,152599,162038,91.426,0.33,0.0,0
0.02,0.11,45568,33725,24160,196096,162038,171870,23.832,0.11,0.0,1
0.02,0.08,47104,36960,34304,196096,171870,174502,19.330,0.08,0.0,1
0.02,0.1,54784,47104,24448,197632,174502,197582,24.907,0.08,0.02,1
0.10,0.38,54784,24448,23755,239616,197582,197515,100.436,0.38,0.0,0
0.03,0.09,55296,38091,14400,239616,197515,221635,27.145,0.09,0.0,1
0.09,0.43999999999999995,55296,14400,0,284672,221635,235576,90.018,0.41,0.03,0
0.01,0.0,55808,16384,16480,284672,235576,235576,10.448,0.0,0.0,1
0.02,0.03,52224,32864,32864,284672,235576,235576,17.908,0.03,0.0,1
0.03,0.14,55808,47712,40960,284672,235576,242336,29.150,0.11,0.03,1
0.03,0.19,65536,55808,28320,284672,242336,270296,32.992,0.19,0.0,1
0.15,0.71,66048,28320,13355,339968,270296,284568,153.467,0.69,0.02,0
0.04,0.13999999999999999,66560,30763,25792,339968,284568,289712,35.677,0.12,0.02,1
0.03,0.13,61952,43200,43232,339968,289712,289712,31.156,0.11,0.02,1
0.03,0.12,67072,57568,52736,339968,289712,294528,30.910,0.12,0.0,1
0.04,0.19,73216,67072,44224,339968,310912,334152,43.882,0.14,0.05,1
0.17,0.77,73216,44224,29704,341504,334152,339766,174.161,0.77,0.0,0
0.12,0.55,73216,46088,44524,341504,339766,341300,118.234,0.55,0.0,0
0.12,0.58,73216,44552,44551,341504,341300,341300,120.557,0.58,0.0,0
0.12,0.56,73216,44552,44552,341504,341300,341300,124.641,0.56,0.0,0
0.12,0.58,73216,44552,44552,341504,341304,341304,118.151,0.58,0.0,0
0.12,0.56,73216,44552,44552,341504,341309,341309,123.655,0.56,0.0,0
0.12,0.56,73216,44552,44552,341504,341314,341314,121.971,0.56,0.0,0
0.13,0.55,73216,44552,44552,341504,341318,341318,133.365,0.53,0.02,0
0.12,0.56,73216,44552,44552,341504,341323,341323,121.048,0.56,0.0,0
0.12,0.64,73216,44552,44552,341504,341328,341328,120.908,0.64,0.0,0
0.12,0.64,73216,44552,44552,341504,341332,341332,119.781,0.64,0.0,0
0.12,0.56,73216,44552,44552,341504,341337,341337,124.033,0.56,0.0,0
0.12,0.56,73216,44552,44552,341504,341342,341342,124.814,0.56,0.0,0
0.12,0.56,73216,44552,44552,341504,341346,341346,117.591,0.56,0.0,0
0.12,0.58,73216,44552,44552,341504,341351,341351,124.885,0.58,0.0,0
0.13,0.62,73216,44552,44552,341504,341356,341356,127.470,0.62,0.0,0
0.12,0.56,73216,44552,44552,341504,341360,341360,122.681,0.56,0.0,0
0.12,0.58,73216,44552,44552,341504,341365,341365,123.935,0.58,0.0,0
0.12,0.58,73216,44552,44552,341504,341370,341370,124.517,0.58,0.0,0
0.12,0.5700000000000001,73216,44552,44552,341504,341374,341374,124.058,0.55,0.02,0
0.12,0.56,73216,44552,44552,341504,341379,341379,121.557,0.56,0.0,0
0.12,0.7,73216,44552,44552,341504,341384,341384,125.516,0.7,0.0,0
0.12,0.66,73216,44552,44552,341504,341388,341388,118.401,0.66,0.0,0
0.13,0.56,73216,44552,44552,341504,341393,341393,125.383,0.56,0.0,0
0.11,0.55,73216,44552,44552,341504,341398,341398,112.138,0.53,0.02,0
0.13,0.61,73216,44552,44552,341504,341402,341402,126.614,0.59,0.02,0
0.13,0.5800000000000001,73216,44552,44552,341504,341407,341407,129.866,0.56,0.02,0
0.12,0.56,73216,44552,44552,341504,341412,341412,124.156,0.56,0.0,0
0.12,0.66,73216,44552,44552,341504,341416,341416,119.163,0.66,0.0,0
0.12,0.58,73216,44552,44552,341504,341421,341421,115.941,0.58,0.0,0
0.12,0.55,73216,44552,44552,341504,341426,341426,123.300,0.55,0.0,0
0.12,0.55,73216,44552,44552,341504,341430,341430,114.677,0.55,0.0,0
0.12,0.56,73216,44552,44552,341504,341435,341435,123.667,0.56,0.0,0
0.12,0.58,73216,44552,44552,341504,341440,341440,118.883,0.58,0.0,0
0.12,0.56,73216,44552,44552,341504,341444,341444,123.646,0.56,0.0,0
0.13,0.72,73216,44552,44552,341504,341449,341449,130.438,0.72,0.0,0
0.12,0.55,73216,44552,44552,341504,341454,341454,122.876,0.55,0.0,0
0.12,0.56,73216,44552,44552,341504,341458,341458,123.560,0.56,0.0,0
0.13,0.5800000000000001,73216,44552,44552,341504,341463,341463,125.733,0.56,0.02,0
0.13,0.58,73216,44552,44552,341504,341468,341468,126.802,0.58,0.0,0
0.12,0.58,73216,44552,44552,341504,341472,341472,121.939,0.58,0.0,0
0.12,0.56,73216,44552,44552,341504,341477,341477,114.791,0.56,0.0,0
0.12,0.5700000000000001,73216,44552,44552,341504,341482,341482,124.801,0.55,0.02,0
0.12,0.59,73216,44552,44552,341504,341486,341486,120.817,0.59,0.0,0
0.13,0.58,73216,44552,44552,341504,341491,341491,127.664,0.58,0.0,0
0.12,0.5700000000000001,73216,44552,44552,341504,341496,341496,119.925,0.55,0.02,0
0.12,0.5800000000000001,73216,44552,44552,341504,341500,341500,120.282,0.56,0.02,0
0.12,0.61,73216,44552,44552,341504,341503,341503,120.732,0.61,0.0,0
0.18,0.84,73216,44552,44552,341504,341503,341499,175.850,0.84,0.0,0
0.12,0.67,73216,44552,44552,341504,341501,341501,122.525,0.67,0.0,0
0.13,0.59,73216,44552,44552,341504,341503,341503,130.582,0.59,0.0,0
0.12,0.56,73216,44552,44552,341504,341503,341503,122.862,0.56,0.0,0
0.17,0.8300000000000001,73216,44552,44552,341504,341503,341502,171.451,0.8,0.03,0
0.19,0.91,73216,44552,44552,341504,341503,341502,186.233,0.91,0.0,0
