Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,48,1.753,0.0,0.0,1
0.00,0.0,1536,1023,496,512,48,132,1.318,0.0,0.0,1
0.00,0.0,1536,1520,512,1024,132,572,1.092,0.0,0.0,1
0.00,0.0,2048,512,0,2560,572,980,5.191,0.0,0.0,0
0.00,0.0,2560,1536,480,2560,980,1324,1.211,0.0,0.0,1
0.00,0.0,2048,2527,480,2560,1324,2412,1.424,0.0,0.0,1
0.01,0.0,2048,480,475,5632,2412,2328,4.348,0.0,0.0,0
0.00,0.0,3072,2011,1344,5632,2328,2328,1.448,0.0,0.0,1
0.00,0.0,4096,2879,2016,5632,2328,2432,2.020,0.0,0.0,1
0.00,0.0,4608,4064,2528,5632,2432,2952,2.372,0.0,0.0,1
0.00,0.0,5632,4576,3040,5632,2952,3496,2.937,0.0,0.0,1
0.00,0.0,6656,5600,3744,5632,3496,4272,3.449,0.0,0.0,1
0.00,0.0,7680,6304,3776,5632,4272,5544,4.493,0.0,0.0,1
0.01,0.0,7680,3776,3680,10240,5544,5392,9.381,0.0,0.0,0
0.00,0.0,8192,6752,3008,10240,5392,7824,3.589,0.0,0.0,1
0.00,0.0,8704,6080,1920,11264,7824,10800,3.700,0.0,0.0,1
0.01,0.0,9216,1920,1824,17408,10800,10393,10.664,0.0,0.0,0
0.00,0.0,9728,6944,2720,17408,10393,12265,3.712,0.0,0.0,1
0.01,0.0,11776,7840,2752,17408,12265,14937,4.831,0.0,0.0,1
0.01,0.0,11776,2752,134,26112,14937,17334,12.037,0.0,0.0,0
0.00,0.0,11776,7302,3840,26112,17334,17510,3.782,0.0,0.0,1
0.01,0.0,14336,11008,4320,26112,17510,21302,6.924,0.0,0.0,1
0.01,0.0,14848,13536,4864,26112,21302,25574,7.471,0.0,0.0,1
0.02,0.0,14848,4864,3741,37376,25574,25875,20.271,0.0,0.0,0
0.01,0.02,14848,12957,6144,37376,25875,31227,8.548,0.02,0.0,1
0.01,0.0,17920,13774,7552,37888,31227,37483,8.856,0.0,0.0,1
0.03,0.03,17920,7552,6930,52224,37483,37765,26.878,0.03,0.0,0
0.01,0.0,19968,15634,8768,52224,37765,44829,13.664,0.0,0.0,1
0.03,0.0,19968,8768,553,69120,44829,51799,29.253,0.0,0.0,0
0.01,0.02,20992,10281,9824,69120,51799,52399,7.189,0.02,0.0,1
0.01,0.0,19456,19552,12288,69120,52399,59647,10.243,0.0,0.0,1
0.01,0.0,24064,19456,7296,72192,59647,72127,10.196,0.0,0.0,1
0.03,0.11,24064,7296,7139,94208,72127,71740,32.800,0.11,0.0,0
0.01,0.02,24064,14307,7264,94208,71740,79004,10.640,0.02,0.0,1
0.01,0.0,24576,15968,8800,94208,79004,86292,13.185,0.0,0.0,1
0.05,0.12,25088,8800,0,117248,86292,92657,48.258,0.12,0.0,0
0.01,0.02,25600,10240,10368,117248,92657,92657,5.768,0.02,0.0,1
0.01,0.02,23552,20608,15872,117248,92657,97321,9.752,0.02,0.0,1
0.01,0.02,27648,23552,7776,117248,97321,113401,11.597,0.02,0.0,1
0.05,0.12,27648,7776,3562,146432,113401,117165,45.129,0.12,0.0,0
0.01,0.0,27136,11242,7744,146432,117165,120813,10.647,0.0,0.0,1
0.01,0.0,27648,16960,16960,146432,120813,120813,8.724,0.0,0.0,1
0.01,0.02,29184,26176,18496,146432,120813,128597,12.837,0.0,0.02,1
0.01,0.02,31232,27200,18016,146432,128597,137949,12.997,0.02,0.0,1
0.06,0.33,31232,18016,9171,176640,137949,146252,59.718,0.33,0.0,0
0.02,0.02,32768,17875,8832,176640,146252,155572,15.967,0.0,0.02,1
0.01,0.02,33792,19072,10368,176640,155572,164380,10.881,0.02,0.0,1
0.07,0.30000000000000004,34304,10368,0,207360,164380,174307,65.292,0.28,0.02,0
0.01,0.0,34304,11776,11872,207360,174307,174307,12.295,0.0,0.0,1
0.01,0.0,31232,23648,21472,207360,174307,176419,14.776,0.0,0.0,1
0.02,0.02,34816,31200,9824,207360,176419,198099,20.278,0.0,0.02,1
0.10,0.52,35840,9824,0,243200,198099,203417,98.685,0.52,0.0,0
0.01,0.0,35840,11264,11360,243200,203417,203417,9.966,0.0,0.0,1
0.01,0.02,32768,22624,22592,243200,203417,203417,13.036,0.02,0.0,1
0.02,0.03,35840,32320,26112,243200,203417,209729,21.375,0.03,0.0,1
0.02,0.08,41472,35840,17632,243200,209729,228257,23.216,0.05,0.03,1
0.09,0.52,42496,17632,2118,286720,228257,243162,92.718,0.47,0.05,0
0.02,0.16,43520,14406,14336,286720,243162,243330,20.833,0.16,0.0,1
0.02,0.08,41472,26624,24640,286720,243330,245362,17.724,0.06,0.02,1
0.02,0.11,43520,36416,24160,286720,245362,257810,21.073,0.09,0.02,1
0.02,0.11,46080,35936,23648,286720,257810,270266,20.880,0.11,0.0,1
0.11,0.5800000000000001,46080,23648,6631,333312,270266,286651,109.269,0.55,0.03,0
0.03,0.09,47104,19431,12928,333312,286651,293403,26.101,0.09,0.0,1
0.02,0.0,46592,25728,12928,333312,293403,306387,16.432,0.0,0.0,1
0.02,0.03,47104,27264,14432,333312,306387,319379,17.452,0.03,0.0,1
0.12,0.56,46592,14432,0,382976,319379,333119,118.058,0.56,0.0,0
0.01,0.0,47104,15872,15968,382976,333119,333119,11.105,0.0,0.0,1
0.03,0.12,43008,31840,29696,382976,349503,351615,28.018,0.12,0.0,1
0.02,0.13,47616,43008,13440,382976,351615,381679,24.164,0.11,0.02,1
0.16,0.8,47616,13440,3571,441344,381679,382704,165.126,0.8,0.0,0
0.03,0.11,45056,16883,16992,441344,382704,382704,26.129,0.11,0.0,1
0.02,0.05,46592,31840,31744,441344,382704,382744,17.577,0.05,0.0,1
0.03,0.08,50176,46592,29792,441344,382744,399848,24.648,0.02,0.06,1
0.02,0.13,52736,44128,29280,441344,399848,414888,23.183,0.11,0.02,1
0.16,0.81,52736,29280,2554,504320,414888,440945,157.495,0.81,0.0,0
0.03,0.09,53760,16890,15904,504320,440945,442105,30.844,0.09,0.0,1
0.02,0.11,54784,31776,31776,504320,442105,442105,18.213,0.11,0.0,1
0.03,0.14,51712,47648,41472,504320,442105,448249,26.968,0.11,0.03,1
0.03,0.11,59392,51712,38688,504320,448249,461577,26.997,0.11,0.0,1
0.03,0.13,62464,48928,35040,504320,461577,475681,25.936,0.11,0.02,1
0.03,0.08,63488,45792,21056,504320,475681,500689,26.527,0.06,0.02,1
0.19,1.12,63488,21056,16327,572928,500689,504291,191.086,1.09,0.03,0
0.04,0.25,63488,27079,10816,572928,504291,520875,38.867,0.2,0.05,1
0.02,0.02,63488,23104,12352,572928,520875,531771,15.020,0.02,0.0,1
0.02,0.0,62464,24640,12352,572928,531771,544235,16.679,0.0,0.0,1
0.02,0.02,63488,26176,13984,572928,544235,556691,17.204,0.02,0.0,1
0.21,1.25,64512,13984,0,638464,556691,569636,207.598,1.2,0.05,0
0.01,0.02,64512,15872,16032,638464,569636,569636,10.786,0.02,0.0,1
0.02,0.03,62976,31904,31872,638464,569636,569636,17.640,0.03,0.0,1
0.02,0.11,64512,48256,48128,638464,569636,569692,24.288,0.11,0.0,1
0.03,0.13999999999999999,73728,64512,32896,638464,569692,601828,34.031,0.12,0.02,1
0.03,0.13,73728,51328,34944,638464,601828,618436,29.086,0.11,0.02,1
0.23,1.41,73728,34944,14317,683008,618436,638105,227.242,1.38,0.03,0
0.05,0.2,70656,32749,26176,683008,638105,644993,47.696,0.2,0.0,1
0.03,0.08,73728,46656,46592,683008,644993,644993,26.328,0.08,0.0,1
0.31,1.73,73728,67072,45375,683008,677761,682729,306.097,1.73,0.0,0
0.26,1.47,73728,65855,65820,683008,682729,682729,256.490,1.47,0.0,0
0.24,1.27,73728,65855,65854,683008,682729,682729,237.680,1.25,0.02,0
0.25,1.5,73728,65855,65855,683008,682729,682729,246.065,1.48,0.02,0
0.24,1.3900000000000001,73728,65855,65855,683008,682734,682734,237.532,1.34,0.05,0
0.23,1.34,73728,65855,65855,683008,682738,682738,235.072,1.34,0.0,0
0.24,1.47,73728,65855,65855,683008,682743,682743,235.767,1.45,0.02,0
0.23,1.33,73728,65855,65855,683008,682748,682748,233.097,1.31,0.02,0
0.23,1.42,73728,65855,65855,683008,682752,682752,232.482,1.42,0.0,0
0.23,1.33,73728,65855,65855,683008,682757,682757,234.138,1.33,0.0,0
0.24,1.42,73728,65855,65855,683008,682762,682762,239.039,1.42,0.0,0
0.23,1.33,73728,65855,65855,683008,682766,682766,235.737,1.33,0.0,0
0.23,1.28,73728,65855,65855,683008,682771,682771,228.255,1.28,0.0,0
0.24,1.31,73728,65855,65855,683008,682776,682776,241.048,1.31,0.0,0
