Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,480,512,0,8,1.318,0.0,0.0,1
0.00,0.0,1536,991,512,512,8,88,1.388,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,88,512,1.357,0.0,0.0,1
0.00,0.0,2560,1536,480,1536,512,1068,1.521,0.0,0.0,1
0.01,0.0,2560,480,0,3584,1068,1496,4.727,0.0,0.0,0
0.00,0.0,3584,2048,480,3584,1496,2112,1.914,0.0,0.0,1
0.00,0.0,4608,3552,1504,3584,2112,2680,2.706,0.0,0.0,1
0.00,0.0,7168,4576,2016,4096,2680,3768,2.940,0.0,0.0,1
0.01,0.0,7168,2016,2012,6656,3768,3676,7.325,0.0,0.0,0
0.01,0.0,8192,7132,3040,6656,3676,5316,5.473,0.0,0.0,1
0.01,0.0,8192,3040,2012,10240,5316,6311,7.978,0.0,0.0,0
0.00,0.0,11264,7132,4192,10240,6311,6807,5.100,0.0,0.0,1
0.01,0.0,11776,10848,5088,10240,6807,9639,5.870,0.0,0.0,1
0.01,0.02,11776,5088,4375,15360,9639,10012,13.880,0.02,0.0,0
0.01,0.02,16384,11031,3424,15360,10012,14460,6.619,0.02,0.0,1
0.01,0.02,16384,3424,2889,22528,14460,14898,14.284,0.02,0.0,0
0.01,0.0,16384,12105,4832,22528,14898,17834,6.500,0.0,0.0,1
0.01,0.02,16384,14048,7136,22528,17834,20778,8.201,0.02,0.0,1
0.02,0.02,16384,7136,5078,32256,20778,22216,21.894,0.02,0.0,0
0.01,0.02,18944,14294,4800,32256,22216,27376,9.650,0.02,0.0,1
0.02,0.02,20480,4800,0,44544,27376,32057,21.514,0.02,0.0,0
0.01,0.02,20992,11776,9216,44544,32057,33657,8.497,0.02,0.0,1
0.02,0.02,21504,20992,11744,44544,33657,43041,15.944,0.02,0.0,1
0.04,0.06,21504,11744,9166,60928,43041,44385,42.563,0.06,0.0,0
0.01,0.02,26624,18894,9728,60928,44385,53705,15.465,0.02,0.0,1
0.04,0.03,26624,9728,2541,81408,53705,60705,39.008,0.03,0.0,0
0.01,0.02,28160,12269,12320,81408,60705,60705,12.338,0.02,0.0,1
0.01,0.0,29184,23072,18432,81408,60705,65353,14.261,0.0,0.0,1
0.02,0.03,32768,29184,19936,81408,65353,74793,20.828,0.03,0.0,1
0.06,0.11,32768,19936,11149,104960,74793,81201,63.234,0.11,0.0,0
0.02,0.03,35840,20877,20928,104960,81201,81201,18.403,0.03,0.0,1
0.02,0.03,34816,30656,28672,104960,81201,83169,18.363,0.03,0.0,1
0.02,0.03,40448,34816,24352,104960,83169,93801,18.305,0.03,0.0,1
0.07,0.13,40448,24352,13027,131584,93801,104831,69.625,0.11,0.02,0
0.02,0.02,40960,19171,9920,131584,104831,114279,20.801,0.02,0.0,1
