Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,512,512,0,32,1.747,0.0,0.0,1
0.00,0.0,1536,1023,512,512,32,120,1.105,0.0,0.0,1
0.00,0.0,1536,1536,512,1024,120,544,0.994,0.0,0.0,1
0.00,0.0,2560,1536,512,1536,544,1104,1.235,0.0,0.0,1
0.00,0.0,2560,512,0,3584,1104,1495,4.079,0.0,0.0,0
0.00,0.02,3584,2048,480,3584,1495,2143,0.984,0.0,0.02,1
0.00,0.0,4608,3552,1504,3584,2143,2759,1.790,0.0,0.0,1
0.01,0.0,4608,1504,961,6144,2759,3156,4.528,0.0,0.0,0
0.00,0.0,5632,4033,2048,6144,3156,3692,2.117,0.0,0.0,1
0.00,0.0,6656,5632,3040,6144,3692,4716,2.570,0.0,0.0,1
0.00,0.0,8704,6624,4064,6144,4716,5612,3.150,0.0,0.0,1
0.01,0.0,8704,4064,3514,10240,5612,5862,8.243,0.0,0.0,0
0.00,0.0,9728,7982,3872,10240,5862,8030,3.325,0.0,0.0,1
0.00,0.02,11776,8480,5056,10240,8030,9486,3.968,0.02,0.0,1
0.01,0.0,11776,5056,3892,16384,9486,10144,8.721,0.0,0.0,0
0.00,0.0,12288,10036,3296,16384,10144,14120,4.338,0.0,0.0,1
0.01,0.0,12288,3296,1095,25088,14120,16080,8.347,0.0,0.0,0
0.00,0.0,14336,7239,3264,25088,16080,17232,3.174,0.0,0.0,1
0.01,0.0,14336,11456,6112,25088,17232,19088,5.622,0.0,0.0,1
0.01,0.0,18432,14304,4384,25600,19088,25296,5.617,0.0,0.0,1
0.02,0.03,18432,4384,3209,37888,25296,25582,17.258,0.03,0.0,0
0.00,0.0,18432,13961,5728,37888,25582,28854,5.602,0.0,0.0,1
0.01,0.02,18432,16480,8192,37888,28854,36606,8.404,0.02,0.0,1
0.02,0.0,18432,8192,7152,53248,36606,37440,20.803,0.0,0.0,0
0.01,0.02,22528,17392,10368,53248,37440,44736,11.133,0.02,0.0,1
0.01,0.02,25088,20608,10368,55296,44736,55112,12.305,0.02,0.0,1
0.04,0.03,25088,10368,9187,75776,55112,54805,36.611,0.03,0.0,0
0.01,0.03,26112,20451,11392,75776,54805,64149,11.621,0.03,0.0,1
0.03,0.02,29696,11392,0,99328,64149,75223,25.447,0.02,0.0,0
0.01,0.02,29696,13783,13664,99328,75223,75223,7.565,0.0,0.02,1
0.02,0.03,26624,27488,17888,99328,75223,88991,17.662,0.03,0.0,1
0.04,0.14,26624,17888,1501,127488,88991,98978,45.217,0.14,0.0,0
0.01,0.02,34304,10205,8800,127488,98978,100538,9.217,0.02,0.0,1
0.01,0.02,33280,17504,17568,127488,100538,100538,8.600,0.02,0.0,1
0.01,0.02,34816,26272,26112,127488,100538,100570,12.389,0.02,0.0,1
0.02,0.02,40448,34816,17472,127488,100570,118162,16.176,0.02,0.0,1
0.05,0.17,40448,17472,8143,160256,118162,127026,49.178,0.17,0.0,0
0.02,0.0,40448,18383,10336,160256,127026,135306,14.011,0.0,0.0,1
0.01,0.02,38912,20576,10336,160256,135306,145682,11.169,0.02,0.0,1
0.05,0.3,39936,10336,0,191488,145682,155587,53.692,0.3,0.0,0
0.01,0.0,38912,12288,12384,191488,155587,155587,7.308,0.0,0.0,1
0.02,0.06,40448,26720,26112,191488,163779,164323,16.510,0.03,0.03,1
