YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.510,0.0,0.0,0.00,0.0,1
1536,991,496,512,8,88,0.892,0.0,0.0,0.00,0.0,1
1536,1520,496,1024,88,520,1.183,0.0,0.0,0.00,0.0,1
2560,1520,480,1536,520,1056,1.394,0.0,0.0,0.00,0.0,1
2560,480,0,3584,1056,1495,4.540,0.0,0.0,0.01,0.0,0
3584,2048,480,3584,1495,2111,1.334,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2111,2679,2.385,0.0,0.0,0.00,0.0,1
7168,4576,2016,4096,2679,3775,2.951,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3775,3683,8.062,0.02,0.0,0.01,0.02,0
8192,7132,3040,6656,3683,5331,4.118,0.0,0.0,0.00,0.0,1
8192,3040,2012,10752,5331,6319,8.562,0.02,0.0,0.01,0.02,0
10752,7132,4160,10752,6319,6839,4.466,0.0,0.0,0.00,0.0,1
11264,10304,5088,10752,6839,9367,6.061,0.02,0.0,0.01,0.02,1
11264,5088,3545,16384,9367,10586,14.076,0.0,0.0,0.01,0.0,0
14848,9689,6112,16384,10586,11234,6.045,0.0,0.0,0.01,0.0,1
15360,13792,7680,16384,11234,13642,7.277,0.02,0.0,0.01,0.02,1
19968,15360,8160,17920,13642,17738,10.241,0.0,0.0,0.01,0.0,1
19968,8160,8100,25600,17738,17083,21.665,0.02,0.0,0.02,0.02,0
20992,17828,5056,25600,17083,25307,9.091,0.0,0.0,0.01,0.0,1
20992,5056,5027,37376,25307,25184,24.465,0.02,0.0,0.02,0.02,0
22528,14755,8736,37376,25184,30296,11.395,0.0,0.0,0.01,0.0,1
23552,20512,11744,39424,30296,39152,14.267,0.0,0.0,0.01,0.0,1
23552,11744,11725,54272,39152,37900,38.405,0.03,0.0,0.04,0.03,0
30208,23501,11776,54272,37900,49788,21.551,0.03,0.0,0.02,0.03,1
30208,11776,7142,75264,49788,54224,44.891,0.03,0.0,0.04,0.03,0
31232,20454,13344,75264,54224,61488,16.925,0.03,0.0,0.02,0.03,1
32256,26656,19456,75264,61488,68744,18.663,0.02,0.02,0.02,0.04,1
32256,19456,12775,98304,68744,75152,57.541,0.08,0.02,0.06,0.1,0
35328,25575,12832,98304,75152,88136,16.231,0.02,0.0,0.02,0.02,1
35328,12832,507,125952,88136,98152,50.926,0.05,0.0,0.05,0.05,0
36864,13307,12832,125952,98152,98680,12.868,0.02,0.0,0.01,0.02,1
37376,27680,14912,125952,98680,111656,15.959,0.02,0.0,0.02,0.02,1
37376,14912,509,136704,111656,125732,57.644,0.14,0.0,0.06,0.14,0
37376,15357,4595,136704,125732,136460,50.730,0.16,0.0,0.05,0.16,0
37376,14848,14824,136704,136460,136460,66.631,0.19,0.0,0.07,0.19,0
37376,14848,14847,136704,136460,136460,56.081,0.14,0.0,0.06,0.14,0
37376,14847,14847,136704,136460,136460,59.876,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136465,136465,51.989,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136470,136470,59.633,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136474,136474,56.274,0.14,0.0,0.06,0.14,0
37376,14847,14847,136704,136479,136479,55.060,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136484,136484,52.024,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136488,136488,59.695,0.12,0.02,0.06,0.13999999999999999,0
37376,14847,14847,136704,136493,136493,63.160,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136498,136498,59.161,0.19,0.0,0.06,0.19,0
37376,14847,14847,136704,136502,136502,58.634,0.14,0.0,0.06,0.14,0
37376,14847,14847,136704,136507,136507,55.682,0.14,0.0,0.06,0.14,0
37376,14847,14847,136704,136512,136512,51.283,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136516,136516,55.602,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136521,136521,54.215,0.19,0.0,0.06,0.19,0
37376,14847,14847,136704,136526,136526,56.819,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136530,136530,54.818,0.11,0.0,0.05,0.11,0
37376,14847,14847,136704,136535,136535,54.094,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136540,136540,48.741,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136544,136544,52.247,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136549,136549,54.753,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136554,136554,52.915,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136558,136558,49.599,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136563,136563,49.693,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136568,136568,54.655,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136572,136572,52.731,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136577,136577,55.766,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136582,136582,53.290,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136586,136586,47.168,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136591,136591,53.218,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136596,136596,52.515,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136600,136600,53.937,0.16,0.0,0.05,0.16,0
37376,14847,14847,136704,136605,136605,53.008,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136610,136610,55.847,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136614,136614,48.463,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136619,136619,51.833,0.09,0.0,0.05,0.09,0
37376,14847,14847,136704,136624,136624,52.096,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136628,136628,54.780,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136633,136633,54.948,0.11,0.0,0.06,0.11,0
37376,14847,14847,136704,136638,136638,51.602,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136642,136642,51.196,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136647,136647,55.963,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136652,136652,58.858,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136656,136656,59.343,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136661,136661,53.630,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136666,136666,59.862,0.12,0.0,0.06,0.12,0
37376,14847,14847,136704,136670,136670,58.105,0.2,0.0,0.06,0.2,0
37376,14847,14847,136704,136675,136675,53.451,0.16,0.0,0.05,0.16,0
37376,14847,14847,136704,136680,136680,55.557,0.16,0.0,0.06,0.16,0
37376,14847,14847,136704,136684,136684,51.671,0.16,0.0,0.05,0.16,0
37376,14847,14847,136704,136689,136689,51.158,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136694,136694,54.245,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136698,136698,53.860,0.16,0.0,0.05,0.16,0
37376,14847,14847,136704,136703,136703,50.788,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136703,136703,54.093,0.12,0.0,0.05,0.12,0
37376,14847,14847,136704,136703,136699,67.381,0.25,0.0,0.07,0.25,0
37376,14847,14847,136704,136703,136703,54.289,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136703,136703,52.763,0.14,0.0,0.05,0.14,0
37376,14847,14847,136704,136703,136703,43.960,0.08,0.0,0.04,0.08,0
37376,14848,14848,136704,136703,136702,65.660,0.19,0.0,0.07,0.19,0
37376,14848,14848,136704,136703,136701,65.132,0.19,0.0,0.07,0.19,0
