YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
71680,43072,43040,527360,475464,475464,22.194,0.25,0.0,0.02,0.25,1
73728,60448,56320,527360,475464,479568,29.320,0.14,0.0,0.03,0.14,1
80896,73728,49728,527360,479568,503984,36.400,0.25,0.02,0.04,0.27,1
80896,49728,26002,593920,503984,526914,187.389,1.16,0.0,0.19,1.16,0
52736,42898,35776,593920,526914,534386,42.416,0.23,0.02,0.04,0.25,1
79872,52672,52640,593920,534386,534386,26.333,0.12,0.0,0.03,0.12,1
82944,68512,59392,593920,534386,543674,34.852,0.17,0.0,0.04,0.17,1
83968,75264,65696,593920,543674,553314,39.724,0.22,0.02,0.04,0.24,1
55808,77472,43648,593920,553314,587538,38.983,0.23,0.02,0.04,0.25,1
55808,43648,36272,669184,587538,593803,211.149,1.62,0.0,0.21,1.62,0
88576,48048,20800,669184,593803,621603,46.505,0.23,0.02,0.05,0.25,1
89088,34112,25184,669184,621603,630659,19.828,0.12,0.0,0.02,0.12,1
87040,38496,26720,669184,630659,642595,21.002,0.12,0.0,0.02,0.12,1
88576,26720,0,750080,642595,668377,203.841,1.5,0.02,0.20,1.52,0
90112,15360,15520,750080,668377,668377,10.647,0.02,0.0,0.01,0.02,1
49664,32416,32384,750080,668377,668377,17.875,0.03,0.0,0.02,0.03,1
88064,49280,49344,750080,701145,701145,37.639,0.17,0.0,0.04,0.17,1
89600,66752,66688,750080,701145,701145,30.914,0.09,0.0,0.03,0.09,1
87040,84096,79872,750080,701145,705337,38.064,0.17,0.02,0.04,0.19,1
99328,87040,71968,750080,705337,720737,37.942,0.25,0.02,0.04,0.27,1
95744,79136,47104,753152,720737,753137,36.669,0.19,0.08,0.04,0.27,1
97280,47104,30025,843264,753137,752814,312.640,2.03,0.0,0.31,2.03,0
102400,39753,19008,843264,752814,773998,47.509,0.25,0.0,0.05,0.25,1
100864,28736,24608,843264,773998,778230,16.407,0.03,0.0,0.02,0.03,1
42496,35872,30848,843264,778230,783310,19.228,0.02,0.0,0.02,0.02,1
98304,42112,22656,843264,783310,803006,21.528,0.02,0.0,0.02,0.02,1
99840,35456,12928,843264,803006,825814,19.804,0.09,0.03,0.02,0.12,1
100864,12928,0,936960,825814,837476,275.227,1.91,0.0,0.27,1.91,0
100864,14336,14464,936960,837476,837476,13.386,0.02,0.0,0.01,0.02,1
93184,28800,28768,936960,837476,837476,17.074,0.03,0.0,0.02,0.03,1
97280,44640,44640,936960,837476,837476,23.677,0.02,0.0,0.03,0.02,1
98304,60512,46240,936960,837476,851996,29.713,0.14,0.0,0.03,0.14,1
98304,64160,49856,936960,851996,866524,31.421,0.14,0.0,0.03,0.14,1
99840,67776,51840,936960,866524,882612,33.228,0.14,0.0,0.03,0.14,1
56320,70784,37024,936960,882612,916812,34.855,0.23,0.02,0.04,0.25,1
56320,37024,15853,1044992,916812,936604,303.125,2.0,0.02,0.30,2.02,0
97280,34797,19104,1044992,936604,952684,55.509,0.34,0.02,0.06,0.36000000000000004,1
98304,40096,21152,1044992,952684,971908,22.895,0.12,0.0,0.02,0.12,1
96256,42144,21152,1044992,971908,993188,24.132,0.12,0.0,0.02,0.12,1
97792,44704,23680,1044992,993188,1014476,24.974,0.12,0.0,0.03,0.12,1
98304,23680,0,1152000,1014476,1036815,321.455,2.39,0.0,0.32,2.39,0
52736,26112,26240,1152000,1036815,1036815,17.566,0.03,0.0,0.02,0.03,1
93696,52352,52384,1152000,1036815,1036815,27.887,0.14,0.0,0.03,0.14,1
97792,76960,73216,1152000,1036815,1040559,37.640,0.25,0.0,0.04,0.25,1
110080,97792,48320,1152000,1040559,1090759,49.460,0.23,0.05,0.05,0.28,1
111104,75456,51872,1152000,1090759,1114687,38.370,0.25,0.0,0.04,0.25,1
111104,51872,13333,1284096,1114687,1151842,366.337,2.62,0.05,0.37,2.67,0
107008,40469,35456,1284096,1151842,1157138,68.276,0.39,0.0,0.07,0.39,1
110592,65152,65152,1284096,1157138,1157138,35.722,0.16,0.0,0.04,0.16,1
103936,94848,86016,1284096,1157138,1166026,52.349,0.23,0.05,0.05,0.28,1
118784,103936,72736,1284096,1166026,1197738,55.759,0.38,0.02,0.05,0.4,1
123904,90656,63264,1284096,1197738,1225514,47.166,0.27,0.0,0.05,0.27,1
73216,83232,52992,1284096,1225514,1253138,41.498,0.23,0.02,0.04,0.25,1
73216,52992,20548,1427968,1253138,1283803,654.081,4.78,0.0,0.65,4.78,0
120320,40516,17216,1427968,1283803,1297819,71.659,0.5,0.0,0.07,0.5,1
121856,38208,32480,1427968,1297819,1297819,23.621,0.05,0.0,0.02,0.05,1
116736,53472,53504,1427968,1297819,1297819,30.631,0.12,0.0,0.03,0.12,1
119296,77056,77056,1427968,1297819,1297819,40.203,0.38,0.0,0.04,0.38,1
117760,100608,93920,1427968,1297819,1304659,55.032,0.36,0.02,0.05,0.38,1
128512,109792,99456,1427968,1370195,1380707,83.139,0.47,0.0,0.08,0.47,1
126976,115328,115296,1427968,1380707,1380707,54.552,0.34,0.03,0.05,0.37,1
141312,118880,103552,1427968,1380707,1396171,53.651,0.38,0.0,0.05,0.38,1
141312,103552,38353,1568768,1396171,1427564,562.628,3.84,0.05,0.56,3.8899999999999997,0
148480,41937,26336,1568768,1427564,1443564,77.466,0.45,0.0,0.08,0.45,1
148992,30944,21216,1568768,1443564,1453332,22.667,0.03,0.0,0.02,0.03,1
148480,25824,12896,1568768,1453332,1466468,21.991,0.03,0.02,0.02,0.05,1
148992,18528,14944,1568768,1466468,1470100,22.486,0.03,0.0,0.02,0.03,1
143872,20576,11392,1568768,1470100,1479412,21.167,0.02,0.0,0.02,0.02,1
14848,18560,7264,1568768,1479412,1490804,26.337,0.03,0.0,0.03,0.03,1
138752,14432,7296,1568768,1490804,1498060,21.324,0.03,0.0,0.02,0.03,1
17920,16000,8832,1568768,1498060,1505324,18.964,0.02,0.0,0.02,0.02,1
131584,17536,8768,1568768,1505324,1514140,21.279,0.02,0.0,0.02,0.02,1
20992,19008,10368,1568768,1514140,1522988,27.126,0.02,0.0,0.03,0.02,1
120832,20608,10368,1568768,1522988,1533364,23.093,0.03,0.02,0.02,0.05,1
24064,22144,11872,1568768,1533364,1543740,22.408,0.05,0.0,0.02,0.05,1
112640,23648,11904,1568768,1543740,1555700,24.573,0.05,0.0,0.02,0.05,1
117760,11904,0,1703424,1555700,1565354,497.755,3.56,0.0,0.50,3.56,0
108032,13824,13952,1703424,1565354,1565354,23.939,0.03,0.0,0.02,0.03,1
32256,29824,15968,1703424,1565354,1579362,24.986,0.02,0.0,0.02,0.02,1
99840,31840,16032,1703424,1579362,1595442,23.645,0.05,0.0,0.02,0.05,1
36352,33952,18048,1703424,1595442,1611530,25.638,0.03,0.0,0.03,0.03,1
91136,35968,18112,1703424,1611530,1629682,27.137,0.03,0.0,0.03,0.03,1
40448,38080,20128,1703424,1629682,1647834,27.058,0.03,0.0,0.03,0.03,1
84480,40096,20096,1703424,1647834,1668074,27.969,0.05,0.0,0.03,0.05,1
45568,42624,22688,1703424,1668074,1688338,28.941,0.05,0.0,0.03,0.05,1
45568,22688,5650,1862144,1688338,1703326,544.748,3.86,0.0,0.54,3.86,0
79872,28178,22656,1862144,1703326,1709062,86.635,0.55,0.0,0.09,0.55,1
83968,47744,47808,1862144,1709062,1709062,31.955,0.14,0.0,0.03,0.14,1
77824,72896,64512,1862144,1709062,1717422,40.102,0.16,0.0,0.04,0.16,1
49664,77824,36128,1862144,1717422,1759718,41.643,0.25,0.0,0.04,0.25,1
83456,49440,26752,1862144,1759718,1782742,33.066,0.12,0.03,0.03,0.15,1
87552,42112,15456,1862144,1782742,1809686,29.444,0.12,0.0,0.03,0.12,1
84480,30816,15488,1862144,1809686,1825238,25.966,0.05,0.0,0.03,0.05,1
86016,32896,17536,1862144,1825238,1840790,27.556,0.05,0.0,0.03,0.05,1
86016,17536,0,2036224,1840790,1856175,587.852,4.27,0.0,0.59,4.27,0
40448,19968,20096,2036224,1856175,1856175,21.755,0.03,0.0,0.02,0.03,1
83456,40064,40096,2036224,1856175,1856175,27.485,0.05,0.0,0.03,0.05,1
84992,60576,60544,2036224,1856175,1856175,34.119,0.28,0.0,0.04,0.28,1
89088,81024,61088,2036224,1856175,1876423,41.433,0.19,0.0,0.04,0.19,1
96256,76960,56992,2036224,1876423,1896663,38.966,0.25,0.0,0.04,0.25,1
101376,72864,52384,2036224,1896663,1917415,38.170,0.16,0.0,0.04,0.16,1
50176,69280,32896,2036224,1917415,1954231,37.208,0.23,0.11,0.04,0.34,1
99328,49792,17024,2036224,1954231,1987415,31.999,0.14,0.0,0.03,0.14,1
100352,36480,19616,2036224,1987415,2004551,27.864,0.05,0.0,0.03,0.05,1
100864,19616,0,2224128,2004551,2021784,622.155,4.61,0.03,0.62,4.640000000000001,0
100864,22016,22144,2224128,2021784,2021784,21.768,0.03,0.0,0.02,0.03,1
100864,44160,44192,2224128,2021784,2021784,29.465,0.06,0.0,0.03,0.06,1
100864,68768,68800,2224128,2021784,2021784,37.550,0.19,0.0,0.04,0.19,1
104448,93376,71392,2224128,2021784,2044120,47.527,0.39,0.0,0.05,0.39,1
112640,90848,68768,2224128,2044120,2066440,45.345,0.22,0.05,0.04,0.27,1
118272,88224,63648,2224128,2066440,2091336,44.797,0.23,0.03,0.05,0.26,1
59904,83616,39584,2224128,2091336,2135944,43.425,0.27,0.0,0.04,0.27,1
116224,59552,20096,2224128,2135944,2175880,34.077,0.23,0.0,0.04,0.23,1
117248,20096,0,2425344,2175880,2193577,680.290,4.84,0.03,0.68,4.87,0
116224,22528,22656,2425344,2193577,2193577,23.994,0.05,0.0,0.02,0.05,1
118272,47744,47808,2425344,2193577,2193577,34.290,0.16,0.0,0.03,0.16,1
111616,72896,72864,2425344,2193577,2193577,40.194,0.17,0.0,0.04,0.17,1
118272,93856,93920,2425344,2193577,2193577,46.507,0.27,0.0,0.05,0.27,1
124416,114912,92384,2425344,2193577,2216417,56.231,0.36,0.02,0.06,0.38,1
134144,106208,81088,2425344,2216417,2241881,52.031,0.27,0.0,0.05,0.27,1
128512,94912,48768,2425344,2241881,2288409,48.090,0.2,0.05,0.05,0.25,1
134144,64640,29824,2425344,2288409,2323489,36.917,0.16,0.0,0.04,0.16,1
135168,45696,16000,2425344,2323489,2353409,31.198,0.12,0.02,0.03,0.13999999999999999,1
135168,34432,18560,2425344,2353409,2369425,27.808,0.06,0.0,0.03,0.06,1
131072,36992,18560,2425344,2369425,2388017,28.325,0.03,0.0,0.03,0.03,1
133632,18560,0,2654720,2388017,2404178,749.799,5.66,0.0,0.75,5.66,0
129536,20992,21152,2654720,2404178,2404178,25.795,0.02,0.0,0.03,0.02,1
68608,44704,44736,2654720,2404178,2404178,30.830,0.12,0.0,0.03,0.12,1
126976,68288,68256,2654720,2404178,2404178,38.351,0.17,0.0,0.04,0.17,1
130560,90784,69760,2654720,2404178,2425362,47.776,0.27,0.0,0.05,0.27,1
134656,92288,68800,2654720,2425362,2449122,48.625,0.25,0.02,0.05,0.27,1
136192,92352,68800,2654720,2449122,2472882,48.117,0.25,0.02,0.05,0.27,1
139776,92352,69824,2654720,2472882,2495602,47.469,0.23,0.03,0.05,0.26,1
140288,95936,73376,2654720,2495602,2518346,50.134,0.27,0.02,0.05,0.29000000000000004,1
143360,99488,75968,2654720,2518346,2542114,51.723,0.27,0.0,0.05,0.27,1
81920,103616,53952,2654720,2542114,2592202,54.113,0.47,0.03,0.05,0.5,1
142336,81600,27808,2654720,2592202,2646418,46.042,0.27,0.0,0.05,0.27,1
142848,27808,17396,2935808,2646418,2654222,871.849,6.47,0.02,0.87,6.489999999999999,0
143360,49140,31904,2935808,2654222,2671806,141.069,0.89,0.02,0.14,0.91,1
141824,63648,63648,2935808,2671806,2671806,40.753,0.27,0.0,0.04,0.27,1
143360,98976,67328,2935808,2671806,2703838,55.881,0.36,0.03,0.05,0.39,1
146432,102656,70880,2935808,2703838,2735870,56.484,0.34,0.03,0.06,0.37,1
147456,109280,73920,2935808,2866942,2902598,115.169,0.67,0.05,0.12,0.7200000000000001,1
152064,73920,0,2935808,2902598,2909527,1110.539,7.92,0.03,1.11,7.95,0
152064,41984,15860,2935808,2909527,2935620,1212.811,8.78,0.0,1.21,8.78,0
152064,41984,41965,2935808,2935620,2935620,911.588,6.64,0.0,0.91,6.64,0
152064,41984,41983,2935808,2935620,2935620,915.916,6.55,0.0,0.92,6.55,0
152064,41983,41983,2935808,2935620,2935620,904.878,6.52,0.0,0.90,6.52,0
152064,41984,41984,2935808,2935625,2935625,906.105,6.55,0.0,0.91,6.55,0
152064,41984,41984,2935808,2935630,2935630,915.368,6.56,0.0,0.91,6.56,0
152064,41984,41984,2935808,2935635,2935635,909.637,6.53,0.0,0.91,6.53,0
152064,41984,41984,2935808,2935640,2935640,932.443,6.69,0.0,0.93,6.69,0
152064,41984,41984,2935808,2935644,2935644,947.970,6.53,0.0,0.95,6.53,0
152064,41984,41984,2935808,2935649,2935649,931.773,6.55,0.0,0.93,6.55,0
152064,41984,41984,2935808,2935654,2935654,925.927,6.66,0.0,0.93,6.66,0
152064,41984,41984,2935808,2935659,2935659,943.881,6.66,0.0,0.94,6.66,0
152064,41984,41984,2935808,2935664,2935664,940.337,6.72,0.0,0.94,6.72,0
152064,41984,41984,2935808,2935669,2935669,928.063,6.55,0.02,0.93,6.569999999999999,0
152064,41984,41984,2935808,2935673,2935673,915.113,6.56,0.0,0.91,6.56,0
152064,41984,41984,2935808,2935678,2935678,944.125,6.77,0.02,0.94,6.789999999999999,0
152064,41984,41984,2935808,2935683,2935683,967.342,6.78,0.02,0.97,6.8,0
152064,41984,41984,2935808,2935688,2935688,906.541,6.42,0.02,0.91,6.4399999999999995,0
152064,41984,41984,2935808,2935693,2935693,944.045,6.78,0.0,0.94,6.78,0
152064,41984,41984,2935808,2935698,2935698,943.038,6.67,0.0,0.94,6.67,0
152064,41984,41984,2935808,2935702,2935702,951.629,6.64,0.0,0.95,6.64,0
152064,41984,41984,2935808,2935707,2935707,946.335,6.86,0.0,0.95,6.86,0
152064,41984,41984,2935808,2935712,2935712,976.989,6.97,0.0,0.98,6.97,0
152064,41984,41984,2935808,2935717,2935717,953.253,6.72,0.0,0.95,6.72,0
152064,41984,41984,2935808,2935722,2935722,935.098,6.66,0.0,0.93,6.66,0
152064,41984,41984,2935808,2935727,2935727,948.898,6.78,0.0,0.95,6.78,0
152064,41984,41984,2935808,2935731,2935731,952.208,6.73,0.0,0.95,6.73,0
152064,41984,41984,2935808,2935736,2935736,944.502,6.7,0.0,0.94,6.7,0
152064,41984,41984,2935808,2935741,2935741,936.298,6.73,0.0,0.94,6.73,0
152064,41984,41984,2935808,2935746,2935746,962.557,6.75,0.0,0.96,6.75,0
152064,41984,41984,2935808,2935751,2935751,968.099,6.7,0.0,0.97,6.7,0
152064,41984,41984,2935808,2935756,2935756,974.096,6.88,0.0,0.97,6.88,0
152064,41984,41984,2935808,2935760,2935760,961.127,6.94,0.0,0.96,6.94,0
152064,41984,41984,2935808,2935765,2935765,950.546,6.72,0.0,0.95,6.72,0
152064,41984,41984,2935808,2935770,2935770,960.609,6.67,0.0,0.96,6.67,0
152064,41984,41984,2935808,2935775,2935775,941.955,6.72,0.0,0.94,6.72,0
152064,41984,41984,2935808,2935780,2935780,952.828,6.77,0.0,0.95,6.77,0
152064,41984,41984,2935808,2935785,2935785,954.362,6.7,0.0,0.95,6.7,0
152064,41984,41984,2935808,2935789,2935789,957.499,6.94,0.0,0.96,6.94,0
152064,41984,41984,2935808,2935794,2935794,942.606,6.78,0.0,0.94,6.78,0
152064,41984,41984,2935808,2935799,2935799,960.965,6.89,0.0,0.96,6.89,0
152064,41984,41984,2935808,2935804,2935804,981.565,7.12,0.0,0.98,7.12,0
152064,41984,41984,2935808,2935808,2935808,966.777,6.83,0.0,0.97,6.83,0
152064,41984,41984,2935808,2935808,2935803,1458.951,10.72,0.0,1.46,10.72,0
152064,41984,41984,2935808,2935805,2935805,958.400,6.72,0.0,0.96,6.72,0
152064,41984,41984,2935808,2935807,2935807,946.552,6.83,0.0,0.95,6.83,0
152064,41984,41984,2935808,2935807,2935807,939.011,6.78,0.0,0.94,6.78,0
152064,41984,41984,2935808,2935807,2935806,1443.066,10.64,0.0,1.44,10.64,0
152064,41984,41984,2935808,2935807,2935805,1445.846,10.72,0.0,1.45,10.72,0
