YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.525,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,104,0.936,0.0,0.0,0.00,0.0,1
1536,1536,512,1024,104,512,1.171,0.0,0.0,0.00,0.0,1
2560,1536,480,1536,512,1072,1.335,0.0,0.0,0.00,0.0,1
2560,480,0,3584,1072,1496,4.567,0.02,0.0,0.00,0.02,0
3584,2048,480,3584,1496,2112,1.182,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2112,2680,2.094,0.0,0.0,0.00,0.0,1
7168,4576,2016,4096,2680,3776,3.091,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3776,3682,6.339,0.0,0.0,0.01,0.0,0
8192,7132,3040,6656,3682,5322,3.898,0.0,0.0,0.00,0.0,1
8192,3040,2012,10752,5322,6318,7.458,0.0,0.0,0.01,0.0,0
10752,7132,4192,10752,6318,6814,4.202,0.0,0.0,0.00,0.0,1
11264,10336,5088,10752,6814,9366,5.621,0.0,0.0,0.01,0.0,1
11264,5088,3545,16384,9366,10586,13.311,0.02,0.0,0.01,0.02,0
15872,9689,4640,16384,10586,12714,6.423,0.0,0.0,0.01,0.0,1
15872,13344,7168,16384,12714,14690,6.354,0.0,0.0,0.01,0.0,1
15872,7168,5621,23552,14690,16144,17.585,0.02,0.0,0.02,0.02,0
20992,14325,5024,23552,16144,21864,9.208,0.0,0.0,0.01,0.0,1
20992,5024,2945,33792,21864,23299,21.988,0.02,0.0,0.02,0.02,0
20992,14721,6144,33792,23299,26299,8.050,0.0,0.0,0.01,0.0,1
20480,17920,9728,34304,26299,33851,13.312,0.0,0.0,0.01,0.0,1
20480,9728,9197,48640,33851,34183,31.177,0.03,0.0,0.03,0.03,0
25088,19949,10784,48640,34183,43535,15.322,0.0,0.0,0.01,0.0,1
25088,10784,4591,66560,43535,48493,37.435,0.05,0.0,0.04,0.05,0
25600,15343,15360,66560,48493,48501,14.544,0.0,0.0,0.01,0.0,1
28160,25600,10272,66560,48501,64053,18.498,0.03,0.0,0.02,0.03,1
28160,10272,7654,90112,64053,66356,47.874,0.06,0.0,0.05,0.06,0
27136,17894,17920,90112,66356,66356,16.634,0.02,0.0,0.02,0.02,1
30208,27136,20960,90112,66356,72596,19.068,0.02,0.0,0.02,0.02,1
37888,30176,15936,90112,72596,87060,18.233,0.02,0.02,0.02,0.04,1
37888,15936,10765,117760,87060,89788,54.094,0.08,0.0,0.05,0.08,0
38400,21517,19488,117760,89788,91940,16.024,0.02,0.0,0.02,0.02,1
40448,30240,21504,117760,91940,100748,16.195,0.0,0.0,0.01,0.0,1
42496,32768,22048,117760,100748,111644,19.357,0.05,0.0,0.02,0.05,1
42496,22048,15821,147968,111644,117406,68.977,0.12,0.0,0.07,0.12,0
43008,27085,11360,147968,117406,133486,21.843,0.05,0.0,0.02,0.05,1
44544,11360,0,179712,133486,144463,62.373,0.17,0.0,0.06,0.17,0
43520,13312,13376,179712,144463,144463,7.932,0.0,0.0,0.01,0.0,1
45056,28736,28736,179712,144463,144463,15.069,0.0,0.0,0.02,0.0,1
42496,44096,33760,179712,144463,154895,30.098,0.02,0.0,0.03,0.02,1
51200,42464,22240,179712,154895,175455,20.477,0.02,0.0,0.02,0.02,1
51200,22240,18578,215552,175455,174417,83.327,0.25,0.0,0.08,0.25,0
47616,27282,15712,215552,174417,186169,24.313,0.02,0.0,0.03,0.02,1
50176,25952,25952,215552,186169,186169,13.337,0.02,0.0,0.01,0.02,1
50176,36192,29216,215552,186169,193201,16.232,0.02,0.0,0.02,0.02,1
52224,38944,30240,215552,193201,202025,18.077,0.08,0.0,0.02,0.08,1
52224,30240,16324,255488,202025,215465,92.744,0.31,0.02,0.09,0.33,0
52224,26052,15072,255488,215465,226721,22.294,0.09,0.02,0.02,0.11,1
53760,26336,21120,255488,226721,232057,13.275,0.0,0.0,0.01,0.0,1
51712,32384,22624,255488,232057,241937,16.009,0.02,0.0,0.02,0.02,1
52736,22624,8672,296448,241937,255285,93.956,0.39,0.03,0.09,0.42000000000000004,0
53760,23008,17952,296448,255285,260533,21.880,0.14,0.0,0.02,0.14,1
52224,32288,32352,296448,260533,260533,16.304,0.02,0.0,0.02,0.02,1
54784,46176,40960,296448,260533,265677,21.388,0.12,0.0,0.02,0.12,1
60928,54784,38528,296448,265677,282293,24.617,0.09,0.05,0.02,0.14,1
60928,38528,24007,340480,282293,296145,101.125,0.61,0.0,0.10,0.61,0
64000,36807,29792,340480,296145,303465,28.119,0.14,0.0,0.03,0.14,1
63488,42592,34944,340480,303465,311249,20.425,0.12,0.0,0.02,0.12,1
63488,48256,27047,385024,327633,340117,147.380,0.81,0.0,0.15,0.81,0
64512,40359,31616,385024,340117,349141,33.826,0.16,0.0,0.03,0.16,1
61440,44928,44960,385024,349141,349141,21.344,0.12,0.0,0.02,0.12,1
65536,55712,46784,385024,349141,358165,24.872,0.12,0.0,0.03,0.12,1
67584,57536,48256,385024,358165,367605,26.344,0.12,0.02,0.03,0.13999999999999999,1
39424,56960,30272,394752,367605,394549,26.292,0.12,0.02,0.03,0.13999999999999999,1
39424,30272,29093,446976,394549,394748,146.579,0.91,0.0,0.15,0.91,0
70144,37797,17472,446976,394748,415484,32.479,0.16,0.0,0.03,0.16,1
70144,27712,19072,446976,415484,424300,14.594,0.02,0.0,0.01,0.02,1
70656,19072,0,500224,424300,442721,145.452,0.92,0.02,0.14,0.9400000000000001,0
70656,11776,11904,500224,442721,442721,8.891,0.02,0.0,0.01,0.02,1
68096,23680,23616,500224,442721,442721,13.253,0.02,0.0,0.01,0.02,1
70144,36928,36992,500224,442721,442721,18.989,0.12,0.0,0.02,0.12,1
67072,50304,50304,500224,442721,442721,24.372,0.11,0.0,0.02,0.11,1
72192,60032,48256,500224,442721,454641,28.208,0.14,0.0,0.03,0.14,1
75776,57984,46176,500224,454641,466585,27.730,0.14,0.0,0.03,0.14,1
39424,55904,29280,500224,466585,493553,27.431,0.14,0.0,0.03,0.14,1
39424,29280,21940,564224,493553,499919,172.398,1.11,0.02,0.17,1.1300000000000001,0
75264,31668,17184,564224,499919,514767,36.488,0.14,0.02,0.04,0.16,1
75776,28448,21088,564224,514767,522215,16.391,0.02,0.0,0.02,0.02,1
72704,32352,22656,564224,522215,532095,18.312,0.11,0.0,0.02,0.11,1
37376,35456,24160,564224,532095,543535,19.809,0.11,0.0,0.02,0.11,1
37376,24160,3055,628736,543535,563741,185.108,1.19,0.0,0.18,1.19,0
73216,15855,12960,628736,563741,566869,33.258,0.14,0.0,0.03,0.14,1
41984,27296,27264,628736,566869,566869,16.219,0.02,0.0,0.02,0.02,1
69120,41600,41568,628736,566869,566869,21.811,0.14,0.0,0.02,0.14,1
71680,54880,42112,628736,566869,579861,27.609,0.12,0.0,0.03,0.12,1
74752,55424,41088,628736,579861,594389,28.779,0.12,0.0,0.03,0.12,1
75776,55424,41120,628736,594389,608925,28.707,0.12,0.0,0.03,0.12,1
75776,41120,20427,697856,608925,628607,202.663,1.56,0.0,0.20,1.56,0
75264,34763,20832,697856,628607,642863,43.744,0.27,0.0,0.04,0.27,1
46592,36704,30368,697856,642863,649359,21.164,0.14,0.0,0.02,0.14,1
71680,46240,31872,697856,649359,663895,24.535,0.09,0.0,0.02,0.09,1
73728,49792,31682,772096,696663,697614,293.238,1.98,0.0,0.29,1.98,0
75776,51650,35904,772096,697614,713702,50.730,0.31,0.0,0.05,0.31,1
70144,55872,54784,772096,713702,714798,29.364,0.05,0.0,0.03,0.05,1
76800,70144,35456,772096,714798,750038,34.320,0.12,0.02,0.03,0.13999999999999999,1
28160,35456,12762,860672,750038,771733,253.253,1.73,0.02,0.25,1.75,0
75264,28122,22432,860672,771733,777661,43.757,0.27,0.0,0.04,0.27,1
75776,39328,39360,860672,777661,777661,20.864,0.03,0.0,0.02,0.03,1
72192,56256,56224,860672,777661,777661,26.488,0.14,0.0,0.03,0.14,1
77824,69536,62656,860672,777661,784709,32.147,0.12,0.02,0.03,0.13999999999999999,1
