YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.460,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,0.885,0.0,0.0,0.00,0.0,1
1536,1536,512,1024,88,520,1.191,0.0,0.0,0.00,0.0,1
2560,1536,512,1536,520,1032,1.403,0.0,0.0,0.00,0.0,1
2560,512,0,3584,1032,1496,4.881,0.0,0.0,0.00,0.0,0
3584,2048,480,3584,1496,2112,1.375,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2112,2672,2.138,0.0,0.0,0.00,0.0,1
7168,4576,2016,4096,2672,3760,2.906,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3760,3676,6.944,0.0,0.0,0.01,0.0,0
8192,7132,3040,6656,3676,5324,4.419,0.0,0.0,0.00,0.0,1
8192,3040,2012,10752,5324,6311,9.831,0.0,0.0,0.01,0.0,0
10752,7132,4192,10752,6311,6807,4.638,0.0,0.0,0.00,0.0,1
11264,10336,5088,10752,6807,9359,5.717,0.0,0.0,0.01,0.0,1
11264,5088,3545,16384,9359,10576,13.519,0.0,0.0,0.01,0.0,0
14848,9689,6080,16384,10576,11240,6.045,0.0,0.0,0.01,0.0,1
15360,13760,7680,16384,11240,13616,7.159,0.0,0.0,0.01,0.0,1
19968,15360,8160,17920,13616,17704,9.901,0.0,0.0,0.01,0.0,1
19968,8160,7594,26112,17704,17583,24.332,0.0,0.0,0.02,0.0,0
20992,17322,5056,26112,17583,25295,9.179,0.0,0.0,0.01,0.0,1
20992,5056,4516,37888,25295,25688,23.135,0.0,0.0,0.02,0.0,0
23552,14244,5408,37888,25688,30280,9.246,0.0,0.0,0.01,0.0,1
23552,18208,10720,37888,30280,37832,14.533,0.0,0.0,0.02,0.0,1
23552,10720,10703,52224,37832,36602,37.853,0.03,0.0,0.04,0.03,0
29184,23503,12832,52224,36602,47450,18.104,0.03,0.0,0.02,0.03,1
29184,12832,8171,71680,47450,51905,43.533,0.02,0.0,0.04,0.02,0
30720,21995,16896,71680,51905,57097,17.659,0.03,0.0,0.02,0.03,1
36864,30720,13856,74240,57097,74233,22.078,0.02,0.02,0.02,0.04,1
36864,13856,13790,99328,74233,73870,55.476,0.09,0.0,0.06,0.09,0
37888,29150,22496,99328,73870,80662,21.648,0.05,0.0,0.02,0.05,1
47104,37856,15392,103936,80662,103430,21.568,0.03,0.02,0.02,0.05,1
47104,15392,12772,136704,103430,103506,59.244,0.11,0.0,0.06,0.11,0
47104,31204,18496,136704,103506,116498,22.857,0.03,0.0,0.02,0.03,1
51712,18496,0,170496,116498,134682,56.615,0.14,0.0,0.06,0.14,0
51712,22016,22112,170496,134682,134682,12.186,0.02,0.0,0.01,0.02,1
48640,42338,31744,170496,134682,145282,23.944,0.05,0.02,0.03,0.07,1
57856,48640,32576,170496,145282,161682,27.516,0.03,0.0,0.03,0.03,1
57856,32576,19132,209920,161682,170441,86.531,0.23,0.02,0.09,0.25,0
59904,36028,36128,209920,170441,170441,24.595,0.06,0.0,0.02,0.06,1
64000,51488,48640,209920,170441,173305,23.269,0.09,0.0,0.02,0.09,1
70656,64000,46656,209920,173305,190969,30.125,0.09,0.02,0.03,0.11,1
70656,46656,27546,251904,190969,209550,89.737,0.38,0.0,0.09,0.38,0
75776,40346,30144,251904,209550,220054,26.715,0.12,0.0,0.03,0.12,1
73728,42944,42976,251904,220054,220054,19.696,0.08,0.0,0.02,0.08,1
76288,55264,47072,251904,220054,228310,24.343,0.09,0.0,0.02,0.09,1
80896,59360,37440,251904,228310,250510,28.095,0.08,0.03,0.03,0.11,1
81920,37440,35741,297472,250510,251401,99.929,0.5,0.0,0.10,0.5,0
43520,51613,27648,297472,251401,275849,31.362,0.14,0.0,0.03,0.14,1
43520,27648,5533,350208,275849,297450,91.667,0.56,0.05,0.09,0.6100000000000001,0
77824,21405,19872,350208,297450,299146,23.412,0.12,0.0,0.02,0.12,1
79872,37792,37824,350208,299146,299146,19.316,0.12,0.0,0.02,0.12,1
75776,55744,55808,350208,315530,315530,32.838,0.23,0.02,0.03,0.25,1
82432,69632,68608,350208,315530,316434,30.770,0.14,0.0,0.03,0.14,1
89088,82432,62784,350208,316434,336458,41.117,0.3,0.02,0.04,0.32,1
89088,62784,40541,405504,336458,349841,159.406,0.97,0.0,0.16,0.97,0
50688,50781,40160,405504,349841,360809,37.565,0.25,0.0,0.04,0.25,1
83968,50400,38752,405504,360809,372593,23.303,0.12,0.0,0.02,0.12,1
44544,50528,32352,405504,372593,390985,23.657,0.12,0.02,0.02,0.13999999999999999,1
44544,32352,17347,463360,390985,405200,141.232,0.89,0.0,0.14,0.89,0
85504,29123,19296,463360,405200,415336,31.014,0.14,0.0,0.03,0.14,1
86528,32608,25216,463360,415336,422848,16.972,0.03,0.0,0.02,0.03,1
83456,38528,26688,463360,422848,434784,20.269,0.12,0.0,0.02,0.12,1
44544,42048,28800,463360,434784,448272,21.368,0.12,0.0,0.02,0.12,1
44544,28800,13281,520192,448272,462904,158.656,1.03,0.0,0.16,1.03,0
81408,28641,22560,520192,462904,469248,33.725,0.14,0.0,0.03,0.14,1
82944,39968,39968,520192,469248,469248,20.980,0.14,0.0,0.02,0.14,1
81408,57376,50336,520192,469248,476400,27.171,0.14,0.0,0.03,0.14,1
84480,66720,51360,520192,476400,491984,32.083,0.14,0.0,0.03,0.14,1
87040,67744,50304,520192,491984,509616,34.100,0.14,0.0,0.03,0.14,1
87040,50304,38839,581120,509616,520132,193.486,1.3,0.02,0.19,1.32,0
89088,55223,29376,581120,520132,546524,46.267,0.25,0.0,0.05,0.25,1
83968,45760,32896,581120,546524,559540,24.100,0.12,0.0,0.02,0.12,1
86016,32896,10732,649216,559540,580943,184.466,1.39,0.0,0.19,1.39,0
88576,31212,25280,649216,580943,587143,40.392,0.25,0.0,0.04,0.25,1
89088,45760,45792,649216,587143,587143,24.998,0.12,0.0,0.03,0.12,1
89600,67808,67584,649216,587143,587383,34.450,0.12,0.0,0.03,0.12,1
