YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.474,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,1.146,0.0,0.0,0.00,0.0,1
1536,1536,512,1024,88,512,1.269,0.0,0.0,0.00,0.0,1
2560,1536,480,1536,512,1072,1.671,0.0,0.0,0.00,0.0,1
2560,480,0,3584,1072,1496,4.555,0.0,0.0,0.00,0.0,0
3584,2048,480,3584,1496,2112,1.448,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2112,2680,2.349,0.0,0.0,0.00,0.0,1
7168,4576,2016,4096,2680,3776,3.143,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3776,3683,8.397,0.0,0.0,0.01,0.0,0
8192,7132,3040,6656,3683,5587,5.317,0.0,0.0,0.01,0.0,1
8192,3040,1757,11264,5587,6573,8.654,0.0,0.0,0.01,0.0,0
10752,6877,4128,11264,6573,6909,5.179,0.0,0.0,0.00,0.0,1
11264,10272,5088,11264,6909,9109,5.886,0.0,0.0,0.01,0.0,1
14336,11232,5568,12288,9109,11821,6.589,0.0,0.0,0.01,0.0,1
14336,5568,5042,18944,11821,12225,17.055,0.0,0.0,0.02,0.0,0
15360,12722,4000,18944,12225,17345,6.961,0.02,0.0,0.01,0.02,1
15360,4000,2433,27648,17345,18800,16.730,0.0,0.0,0.02,0.0,0
17920,10113,4480,27648,18800,21280,6.171,0.02,0.0,0.01,0.02,1
17920,14720,7648,27648,21280,23440,6.893,0.02,0.0,0.01,0.02,1
22016,17888,9504,31232,23440,31192,14.492,0.02,0.0,0.02,0.02,1
22016,9504,8933,43008,31192,30987,34.622,0.03,0.0,0.03,0.03,0
23552,21221,11232,43008,30987,41131,15.512,0.02,0.0,0.02,0.02,1
23552,11232,9681,57856,41131,41477,36.754,0.03,0.0,0.04,0.03,0
30720,21969,12288,57856,41477,51293,18.320,0.02,0.02,0.02,0.04,1
