YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.373,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,96,0.854,0.0,0.0,0.00,0.0,1
1536,1536,512,512,96,504,1.234,0.0,0.0,0.00,0.0,1
1536,512,506,2048,504,474,3.372,0.0,0.0,0.00,0.0,0
2560,1530,480,2048,474,1034,1.376,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1034,2106,2.091,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.867,0.0,0.0,0.00,0.0,0
5120,3072,1664,6144,2542,2542,1.993,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3774,2.981,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,3.862,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4614,5462,4.443,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5462,5831,10.836,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,3.841,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7991,5.854,0.0,0.0,0.01,0.0,1
12800,11232,5248,11776,7991,11575,5.472,0.0,0.0,0.01,0.0,1
12800,5248,5191,18432,11575,11459,14.335,0.02,0.0,0.01,0.02,0
14336,10311,2688,18432,11459,16731,6.396,0.0,0.0,0.01,0.0,1
14848,2688,1105,27648,16731,18183,15.486,0.0,0.0,0.01,0.0,0
15360,7799,3424,27648,18183,19311,4.715,0.02,0.0,0.00,0.02,1
17920,11103,4480,27648,19311,22759,6.855,0.0,0.0,0.01,0.0,1
17920,14720,5344,27648,22759,27287,7.156,0.0,0.0,0.01,0.0,1
17920,5344,4779,38912,27287,27139,25.700,0.02,0.0,0.03,0.02,0
17920,15019,8192,38912,27139,32963,12.542,0.0,0.0,0.01,0.0,1
17920,8192,2555,52736,32963,38489,27.679,0.02,0.0,0.03,0.02,0
20992,12283,9760,52736,38489,41097,9.722,0.02,0.0,0.01,0.02,1
19968,19488,12768,52736,41097,47865,13.325,0.0,0.02,0.01,0.02,1
19968,12768,7122,69120,47865,52300,48.164,0.05,0.0,0.05,0.05,0
24576,14290,7200,69120,52300,59548,14.475,0.0,0.0,0.01,0.0,1
23040,14368,14336,69120,59548,59548,10.882,0.0,0.0,0.01,0.0,1
25088,20992,13824,69120,59548,66804,13.320,0.02,0.0,0.01,0.02,1
25088,13824,11209,89600,66804,69116,50.746,0.08,0.0,0.05,0.08,0
27648,17865,11968,89600,69116,75164,16.922,0.0,0.02,0.02,0.02,1
28160,20160,14848,89600,75164,80524,14.740,0.0,0.0,0.02,0.0,1
28160,14848,3553,112128,80524,89528,64.885,0.06,0.02,0.07,0.08,0
29184,11745,10144,112128,89528,91176,12.147,0.0,0.0,0.01,0.0,1
30208,19872,19872,112128,91176,91176,9.917,0.02,0.0,0.01,0.02,1
29184,29600,23552,112128,91176,97256,16.102,0.02,0.0,0.02,0.02,1
34816,29184,19808,112128,97256,106792,13.684,0.02,0.0,0.01,0.02,1
34816,19808,14104,137728,106792,112125,52.511,0.12,0.0,0.05,0.12,0
35328,19736,10048,137728,112125,122053,16.850,0.02,0.0,0.02,0.02,1
36352,17216,12832,137728,122053,126477,8.503,0.0,0.0,0.01,0.0,1
36352,12832,1494,165888,126477,137471,55.872,0.22,0.03,0.06,0.25,0
34304,8662,8480,165888,137471,137735,14.514,0.02,0.0,0.01,0.02,1
35328,17184,17184,165888,137735,137735,8.655,0.0,0.0,0.01,0.0,1
33792,25888,25856,165888,137735,137735,13.072,0.0,0.0,0.01,0.0,1
37376,32512,30720,165888,137735,139511,14.513,0.02,0.0,0.01,0.02,1
44032,37376,21664,165888,139511,155439,17.442,0.03,0.02,0.02,0.05,1
44032,21664,10845,199168,155439,165848,67.681,0.22,0.0,0.07,0.22,0
44032,19037,11936,199168,174040,181344,17.013,0.08,0.0,0.02,0.08,1
41472,20128,16416,199168,181344,185080,9.714,0.02,0.0,0.01,0.02,1
