YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.411,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,0.991,0.0,0.0,0.00,0.0,1
1536,1536,512,512,88,496,1.692,0.0,0.0,0.00,0.0,1
1536,512,511,2048,496,469,3.674,0.0,0.0,0.00,0.0,0
2560,1535,480,2048,469,1029,1.468,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1029,2101,2.067,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2101,2542,4.890,0.0,0.0,0.00,0.0,0
5120,3072,1696,6144,2542,2542,1.915,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3766,3.083,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3766,4606,3.974,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4606,5446,5.052,0.0,0.0,0.01,0.0,1
8704,4064,3545,10752,5446,5820,11.887,0.02,0.0,0.01,0.02,0
9728,8099,5088,10752,5820,6612,4.555,0.0,0.0,0.01,0.0,1
11264,9696,6112,10752,6612,7980,6.231,0.0,0.0,0.01,0.0,1
12800,11232,5248,11776,7980,11572,5.891,0.0,0.0,0.01,0.0,1
12800,5248,5187,18432,11572,11462,15.809,0.0,0.0,0.02,0.0,0
14336,10307,2688,18432,11462,16734,8.619,0.0,0.0,0.01,0.0,1
14848,2688,1106,27648,16734,18182,15.733,0.0,0.0,0.02,0.0,0
15360,7796,3424,27648,18182,19310,6.309,0.0,0.0,0.01,0.0,1
17920,11104,4512,27648,19310,22766,9.179,0.0,0.0,0.01,0.0,1
17920,14752,5344,27648,22766,27294,8.346,0.0,0.0,0.01,0.0,1
17920,5344,4780,38912,27294,27140,28.909,0.02,0.0,0.03,0.02,0
17920,15020,8192,38912,27140,32972,14.248,0.0,0.0,0.01,0.0,1
17920,8192,2554,52736,32972,38490,29.505,0.03,0.0,0.03,0.03,0
20992,12282,9760,52736,38490,41090,9.883,0.02,0.0,0.01,0.02,1
19968,19488,12768,52736,41090,47866,13.498,0.0,0.0,0.01,0.0,1
19968,12768,7122,69120,47866,52302,44.245,0.03,0.0,0.05,0.03,0
24576,14290,7200,69120,52302,59542,13.827,0.0,0.0,0.01,0.0,1
23040,14368,14336,69120,59542,59542,9.990,0.0,0.0,0.01,0.0,1
25088,20992,13824,69120,59542,66798,13.436,0.02,0.0,0.01,0.02,1
25088,13824,11209,89600,66798,69118,52.395,0.06,0.0,0.05,0.06,0
25600,17865,6656,89600,69118,80518,16.460,0.03,0.0,0.02,0.03,1
27136,6656,0,111616,80518,86954,51.767,0.08,0.0,0.05,0.08,0
26112,8192,8256,111616,86954,86954,6.550,0.0,0.0,0.01,0.0,1
27648,17984,17888,111616,86954,86978,8.310,0.0,0.0,0.01,0.0,1
30720,27616,9760,111616,86978,105066,15.013,0.0,0.0,0.02,0.0,1
31232,9760,1007,142336,105066,111464,58.297,0.09,0.0,0.06,0.09,0
31744,12783,12864,142336,111464,111464,12.912,0.0,0.0,0.01,0.0,1
28672,24640,19968,142336,111464,116128,14.367,0.0,0.0,0.02,0.0,1
33280,28672,18144,142336,116128,126856,13.825,0.0,0.0,0.01,0.0,1
33280,18144,2708,174592,126856,141921,49.982,0.08,0.05,0.05,0.13,0
33280,11412,11104,174592,141921,142297,14.604,0.0,0.0,0.02,0.0,1
34816,21344,21376,174592,142297,142297,11.651,0.0,0.0,0.01,0.0,1
33280,31616,27136,174592,142297,146745,16.018,0.0,0.0,0.02,0.0,1
21504,33280,15360,174592,154937,173145,22.241,0.06,0.0,0.02,0.06,1
21504,15360,9663,211968,173145,174266,91.253,0.25,0.0,0.09,0.25,0
36352,15807,9984,211968,174266,180258,16.011,0.0,0.0,0.02,0.0,1
37376,17152,17120,211968,180258,180258,8.755,0.0,0.0,0.01,0.0,1
36864,24288,20480,211968,180258,184106,12.127,0.0,0.0,0.01,0.0,1
37888,27648,21568,211968,184106,190330,14.377,0.02,0.0,0.01,0.02,1
37376,28736,14400,211968,190330,204826,14.726,0.02,0.0,0.02,0.02,1
38912,14400,7122,250368,204826,211469,81.811,0.25,0.02,0.08,0.27,0
40448,17362,10336,250368,211469,218717,18.831,0.05,0.0,0.02,0.05,1
40448,20576,10368,250368,218717,229101,13.158,0.02,0.0,0.01,0.02,1
40960,22144,11872,250368,229101,239485,13.155,0.0,0.0,0.01,0.0,1
40960,11872,506,291840,239485,250247,90.335,0.31,0.0,0.09,0.31,0
38912,12282,11840,291840,250247,250783,19.129,0.05,0.0,0.02,0.05,1
40448,25152,25184,291840,250783,250783,13.778,0.02,0.0,0.01,0.02,1
37376,38496,29696,291840,250783,259583,19.138,0.11,0.0,0.02,0.11,1
44544,37376,18624,291840,259583,278719,17.769,0.09,0.0,0.02,0.09,1
44544,18624,5166,338944,278719,291536,96.851,0.52,0.0,0.10,0.52,0
41984,12846,10688,338944,291536,293880,19.503,0.05,0.0,0.02,0.05,1
43520,19392,19424,338944,293880,293880,11.830,0.0,0.0,0.01,0.0,1
43008,28128,25184,338944,293880,296832,14.199,0.02,0.0,0.01,0.02,1
