YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.321,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,80,0.941,0.0,0.0,0.00,0.0,1
1536,1536,512,512,80,504,1.143,0.0,0.0,0.00,0.0,1
1536,512,507,2048,504,473,3.727,0.0,0.0,0.00,0.0,0
2560,1531,480,2048,473,1034,1.442,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1034,2106,1.814,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.237,0.0,0.0,0.00,0.0,0
5120,3072,1664,6144,2542,2542,2.123,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3774,2.807,0.0,0.02,0.00,0.02,1
6656,5600,3040,6144,3774,4614,3.794,0.0,0.0,0.00,0.0,1
9216,6624,4064,6144,4614,5462,3.979,0.0,0.0,0.00,0.0,1
9216,4064,3545,10752,5462,5831,11.415,0.0,0.0,0.01,0.0,0
10240,8665,5088,10752,5831,6951,4.819,0.0,0.0,0.00,0.0,1
12800,10208,6464,10752,6951,8239,6.275,0.0,0.0,0.01,0.0,1
13824,12608,5792,12288,8239,12119,5.558,0.0,0.0,0.00,0.0,1
13824,5792,5758,18944,12119,12006,15.862,0.0,0.0,0.02,0.0,0
15872,11902,3200,18944,12006,17870,7.334,0.0,0.0,0.01,0.0,1
16384,3200,2146,28672,17870,18786,16.192,0.02,0.0,0.02,0.02,0
16896,11362,5312,28672,18786,20978,7.079,0.0,0.0,0.01,0.0,1
20480,14528,4800,28672,20978,26306,8.284,0.0,0.0,0.01,0.0,1
20480,4800,2206,39936,26306,28232,26.254,0.03,0.0,0.03,0.03,0
20480,14494,6496,39936,28232,30480,10.643,0.0,0.0,0.01,0.0,1
19968,18784,8672,40960,30480,40712,14.833,0.0,0.0,0.02,0.0,1
19968,8672,8659,54784,40712,39481,35.236,0.05,0.0,0.03,0.05,0
25088,19923,11296,54784,39481,48249,14.386,0.0,0.0,0.01,0.0,1
25088,11296,4591,73216,48249,54783,40.902,0.03,0.0,0.04,0.03,0
27648,15855,11264,73216,54783,59455,16.039,0.0,0.0,0.02,0.0,1
28672,23552,16384,73216,59455,66711,16.547,0.03,0.0,0.02,0.03,1
28672,16384,9709,94208,66711,73154,53.663,0.09,0.0,0.05,0.09,0
36864,21997,12288,94208,73154,83026,20.396,0.03,0.0,0.02,0.03,1
36864,12288,0,117248,83026,93081,47.966,0.05,0.02,0.05,0.07,0
38400,14848,14880,117248,93081,93081,8.734,0.02,0.0,0.01,0.02,1
39424,31264,23040,117248,93081,101393,17.824,0.03,0.02,0.02,0.05,1
45056,39424,26944,117248,101393,114137,24.016,0.05,0.0,0.02,0.05,1
45056,26944,23748,145408,114137,116854,68.462,0.19,0.0,0.07,0.19,0
49152,39108,33792,145408,116854,122302,22.987,0.05,0.0,0.02,0.05,1
56832,49152,27456,145408,122302,144334,24.545,0.08,0.0,0.03,0.08,1
56832,27456,26346,180224,144334,144907,77.842,0.2,0.0,0.08,0.2,0
58880,41706,30368,180224,144907,156531,29.475,0.03,0.0,0.03,0.03,1
55296,45728,45536,180224,156531,156715,22.554,0.02,0.0,0.02,0.02,1
62976,55264,25120,187392,156715,187179,27.558,0.0,0.0,0.03,0.0,1
62976,25120,20429,232448,187179,187101,91.176,0.25,0.0,0.09,0.25,0
57344,30157,17984,232448,187101,199589,22.156,0.06,0.0,0.02,0.06,1
32768,29248,21056,232448,199589,207869,15.563,0.02,0.0,0.02,0.02,1
59392,21056,0,274432,207869,228457,77.614,0.3,0.03,0.08,0.32999999999999996,0
59392,13312,13440,274432,228457,228457,7.932,0.02,0.0,0.01,0.02,1
60416,26752,26720,274432,228457,228457,13.362,0.02,0.0,0.01,0.02,1
60416,42080,42080,274432,228457,228457,20.181,0.09,0.0,0.02,0.09,1
58368,57440,50688,274432,228457,235209,27.599,0.09,0.03,0.03,0.12,1
68096,58368,46752,274432,235209,247097,25.436,0.12,0.0,0.03,0.12,1
67584,54432,29344,274432,247097,272481,29.200,0.0,0.02,0.03,0.02,1
69120,29344,26639,323584,272481,274337,92.924,0.58,0.0,0.09,0.58,0
72192,37391,18016,323584,274337,294201,27.217,0.14,0.0,0.03,0.14,1
71680,28768,10848,323584,294201,312281,15.498,0.02,0.0,0.01,0.02,1
72192,10848,0,377856,312281,322420,97.027,0.64,0.0,0.10,0.64,0
72192,12800,12896,377856,322420,322420,7.856,0.0,0.0,0.01,0.0,1
73216,27744,27808,377856,322420,322420,14.610,0.02,0.0,0.01,0.02,1
69632,42656,42656,377856,338804,338804,28.376,0.08,0.0,0.03,0.08,1
73216,55968,55904,377856,338804,338804,25.953,0.14,0.0,0.02,0.14,1
75776,69216,56480,377856,338804,351788,31.029,0.14,0.0,0.03,0.14,1
75776,56480,21965,432128,351788,377613,161.387,0.98,0.03,0.16,1.01,0
35328,30669,26336,432128,377613,382181,28.985,0.12,0.0,0.03,0.12,1
73728,35040,30144,432128,382181,387141,17.080,0.03,0.0,0.02,0.03,1
44544,40384,33824,432128,387141,393805,19.130,0.11,0.02,0.02,0.13,1
70656,44064,29280,432128,393805,408765,21.439,0.12,0.0,0.02,0.12,1
72192,29280,5594,486400,408765,431751,139.371,0.91,0.0,0.14,0.91,0
74752,18906,13856,486400,431751,437047,27.127,0.14,0.0,0.03,0.14,1
71168,27168,26752,486400,437047,437471,14.754,0.02,0.0,0.01,0.02,1
43520,41600,28288,486400,437471,450951,21.192,0.12,0.0,0.02,0.12,1
68608,43136,29824,486400,450951,464439,22.249,0.11,0.02,0.02,0.13,1
70656,29824,7148,544256,464439,486393,157.891,1.14,0.0,0.16,1.14,0
72704,26092,23296,544256,486393,489377,32.447,0.16,0.0,0.03,0.16,1
70656,42240,42272,544256,489377,489377,21.578,0.14,0.0,0.02,0.14,1
73216,60704,54784,544256,489377,495265,30.256,0.12,0.02,0.03,0.13999999999999999,1
81408,73216,36608,544256,495265,532441,37.075,0.25,0.02,0.04,0.27,1
82944,36608,24141,612352,532441,544027,174.679,1.16,0.02,0.17,1.18,0
84480,46669,35232,612352,544027,555811,44.250,0.23,0.0,0.04,0.23,1
78848,57760,57792,612352,555811,555811,30.197,0.14,0.0,0.03,0.14,1
84992,76736,64160,612352,555811,568555,39.073,0.34,0.03,0.04,0.37,1
90624,83104,60576,612352,568555,591387,42.726,0.17,0.09,0.04,0.26,1
90624,60576,38853,685056,591387,612128,202.082,1.41,0.0,0.20,1.41,0
95232,55749,28640,685056,612128,639736,50.475,0.23,0.05,0.05,0.28,1
89600,45536,33952,685056,639736,651560,24.469,0.09,0.03,0.03,0.12,1
92672,52896,36000,685056,651560,668696,27.675,0.12,0.02,0.03,0.13999999999999999,1
37888,36000,18915,763904,668696,684708,220.080,1.53,0.0,0.22,1.53,0
89088,37859,28320,763904,717476,727356,46.292,0.2,0.0,0.05,0.2,1
90624,49312,49280,763904,727356,727356,24.802,0.14,0.0,0.02,0.14,1
85504,70272,70336,763904,727356,727356,33.834,0.19,0.03,0.03,0.22,1
94208,85184,75936,763904,727356,736716,38.699,0.27,0.0,0.04,0.27,1
99328,90784,71840,763904,736716,755924,43.119,0.23,0.02,0.04,0.25,1
99328,71840,47025,843264,755924,763449,322.630,2.16,0.02,0.32,2.18,0
