YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.325,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,0.887,0.0,0.0,0.00,0.0,1
1536,1536,512,512,88,504,1.418,0.0,0.0,0.00,0.0,1
1536,512,510,2048,504,470,3.117,0.0,0.0,0.00,0.0,0
2560,1534,480,2048,470,1030,1.450,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1030,2102,1.677,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2102,2542,4.508,0.0,0.0,0.00,0.0,0
5120,3072,1696,6144,2542,2542,1.995,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3774,3.427,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4606,3.509,0.0,0.0,0.00,0.0,1
9216,6624,4064,6144,4606,5446,4.481,0.0,0.0,0.00,0.0,1
9216,4064,3545,10752,5446,5831,11.926,0.0,0.0,0.01,0.0,0
10240,8665,5088,10752,5831,6951,4.843,0.0,0.0,0.01,0.0,1
12800,10208,6464,10752,6951,8239,5.804,0.0,0.0,0.01,0.0,1
13824,12608,5792,12288,8239,12119,6.003,0.0,0.0,0.01,0.0,1
13824,5792,5758,18944,12119,12006,16.092,0.02,0.0,0.02,0.02,0
15872,11902,3200,18944,12006,17862,7.206,0.02,0.0,0.01,0.02,1
16384,3200,2146,28672,17862,18786,15.787,0.0,0.0,0.01,0.0,0
16896,11362,5312,28672,18786,20978,6.293,0.0,0.0,0.01,0.0,1
20480,14528,4800,28672,20978,26306,8.705,0.02,0.0,0.01,0.02,1
20480,4800,2206,39936,26306,28232,23.842,0.0,0.0,0.02,0.0,0
20480,14494,8192,39936,28232,33816,13.162,0.02,0.0,0.01,0.02,1
20480,8192,2044,54272,33816,39854,29.743,0.03,0.0,0.03,0.03,0
24064,14332,11744,54272,39854,42486,13.221,0.0,0.0,0.01,0.0,1
26624,24032,12288,54784,42486,54374,15.953,0.02,0.0,0.02,0.02,1
26624,12288,10723,73728,54374,54669,52.221,0.06,0.0,0.05,0.06,0
30208,23011,12288,73728,54669,65565,19.744,0.0,0.03,0.02,0.03,1
30208,12288,4082,96256,65565,73568,50.653,0.06,0.0,0.05,0.06,0
31232,15390,15200,96256,73568,73568,17.022,0.03,0.0,0.02,0.03,1
29184,29024,19424,96256,73568,83296,21.611,0.03,0.0,0.02,0.03,1
35840,29152,18624,96256,83296,94000,16.857,0.03,0.0,0.02,0.03,1
35840,18624,13955,123392,94000,96225,58.029,0.11,0.0,0.06,0.11,0
38912,23683,19232,123392,96225,100809,17.293,0.05,0.0,0.02,0.05,1
39936,29984,29184,123392,100809,101585,15.562,0.02,0.0,0.02,0.02,1
46592,39936,21440,123392,101585,120385,24.559,0.05,0.02,0.02,0.07,1
46592,21440,18282,155136,120385,123037,76.670,0.16,0.0,0.08,0.16,0
47616,30570,12320,155136,123037,141621,23.598,0.06,0.0,0.02,0.06,1
48128,12320,0,191488,141621,153573,68.790,0.19,0.0,0.07,0.19,0
48128,14336,14432,191488,153573,153573,8.910,0.02,0.0,0.01,0.02,1
44544,28768,28768,191488,161765,161765,18.533,0.05,0.0,0.02,0.05,1
48128,41568,35328,191488,161765,167997,19.915,0.08,0.0,0.02,0.08,1
56832,48128,23552,193024,167997,193013,25.074,0.08,0.0,0.03,0.08,1
57344,23552,18797,236032,193013,193020,94.224,0.3,0.0,0.09,0.3,0
57856,34157,26048,236032,193020,201380,25.733,0.08,0.02,0.02,0.1,1
55296,41408,41408,236032,201380,201380,21.535,0.06,0.02,0.02,0.08,1
60928,53696,43072,236032,201380,212132,26.475,0.12,0.0,0.03,0.12,1
65536,55360,40032,236032,212132,227700,28.018,0.09,0.0,0.03,0.09,1
65536,40032,31154,280064,227700,235831,94.412,0.45,0.0,0.09,0.45,0
32768,42418,21024,280064,235831,257703,29.294,0.14,0.0,0.03,0.14,1
67072,21024,0,328704,257703,278214,87.479,0.38,0.03,0.09,0.41000000000000003,0
67584,12800,12928,328704,278214,278214,7.950,0.02,0.0,0.01,0.02,1
65024,25728,25728,328704,278214,278214,13.746,0.0,0.0,0.01,0.0,1
66560,40576,40576,328704,278214,278214,20.113,0.11,0.0,0.02,0.11,1
63488,55424,54784,328704,278214,278822,27.294,0.14,0.0,0.03,0.14,1
71680,63488,50784,328704,278822,291750,27.961,0.19,0.02,0.03,0.21,1
76288,59488,46816,328704,291750,304550,27.549,0.14,0.0,0.03,0.14,1
76288,46816,22071,379392,304550,328658,120.128,0.83,0.02,0.12,0.85,0
78336,30263,16288,379392,345042,359362,29.764,0.06,0.0,0.03,0.06,1
77824,16288,0,421888,359362,367083,147.049,0.84,0.0,0.15,0.84,0
78336,9216,9376,421888,367083,367083,8.824,0.0,0.0,0.01,0.0,1
74240,18592,18496,421888,367083,367083,10.620,0.02,0.0,0.01,0.02,1
39424,28736,28768,421888,367083,367083,14.492,0.02,0.0,0.01,0.02,1
73728,39008,39008,421888,367083,367083,18.662,0.14,0.0,0.02,0.14,1
74752,49760,49760,421888,367083,367083,22.625,0.14,0.0,0.02,0.14,1
73216,60512,60544,421888,367083,367083,31.756,0.14,0.0,0.03,0.14,1
80384,65664,47200,421888,367083,385755,33.882,0.19,0.05,0.03,0.24,1
76288,52320,31808,421888,385755,406523,31.844,0.06,0.05,0.03,0.11,1
77824,31808,15775,482816,406523,421715,149.026,1.09,0.0,0.15,1.09,0
80896,23967,12672,482816,421715,433323,36.222,0.12,0.03,0.04,0.15,1
80384,20864,16512,482816,433323,437803,12.701,0.02,0.0,0.01,0.02,1
81408,26240,9824,482816,437803,454403,18.488,0.02,0.11,0.02,0.13,1
80384,19552,9888,482816,454403,464291,13.577,0.0,0.02,0.01,0.02,1
81408,9888,0,535552,464291,473197,148.290,0.97,0.0,0.15,0.97,0
79872,11264,11392,535552,473197,473197,9.036,0.02,0.0,0.01,0.02,1
26112,24192,12864,535552,473197,484629,17.698,0.12,0.02,0.02,0.13999999999999999,1
75776,25664,12864,535552,484629,497621,17.879,0.12,0.0,0.02,0.12,1
29184,27200,14432,535552,497621,510621,20.475,0.06,0.06,0.02,0.12,1
77824,14432,0,589312,510621,524274,170.969,1.06,0.05,0.17,1.11,0
33280,16384,16512,589312,524274,524274,10.866,0.02,0.0,0.01,0.02,1
76288,32896,32896,589312,524274,524274,17.339,0.05,0.0,0.02,0.05,1
76800,50816,50784,589312,524274,524274,25.910,0.14,0.0,0.03,0.14,1
74240,68704,66048,589312,524274,526930,39.647,0.17,0.08,0.04,0.25,1
86016,74240,42720,589312,526930,559042,41.742,0.22,0.05,0.04,0.27,1
83456,50912,16512,593920,559042,593906,34.461,0.14,0.11,0.03,0.25,1
84992,16512,15300,675328,593906,593777,198.838,1.36,0.0,0.20,1.36,0
87040,26564,11360,675328,593777,609353,42.166,0.16,0.11,0.04,0.27,1
82944,22624,11360,675328,609353,620785,17.257,0.02,0.02,0.02,0.04,1
26112,24160,12960,675328,620785,632225,17.465,0.03,0.0,0.02,0.03,1
79360,25760,12960,675328,632225,645217,18.090,0.03,0.0,0.02,0.03,1
81920,12960,0,735744,645217,657083,194.511,1.48,0.02,0.19,1.5,0
77824,14336,14464,735744,657083,657083,10.415,0.0,0.0,0.01,0.0,1
80896,30336,30336,735744,657083,657083,17.038,0.03,0.0,0.02,0.03,1
77312,46208,46208,735744,657083,657083,24.986,0.14,0.0,0.03,0.14,1
81408,60032,60096,735744,689851,689851,41.632,0.25,0.0,0.04,0.25,1
79872,73920,73856,735744,689851,689851,39.853,0.17,0.09,0.04,0.26,1
91648,77440,63104,735744,689851,704419,36.877,0.22,0.03,0.04,0.25,1
87040,66688,34912,736768,704419,736619,38.973,0.16,0.08,0.04,0.24,1
88064,34912,17823,823296,736619,736317,289.286,1.97,0.0,0.29,1.97,0
93696,23455,7904,823296,736317,752269,45.217,0.16,0.02,0.04,0.18,1
91648,13536,11360,823296,752269,754493,12.418,0.0,0.0,0.01,0.0,1
13824,18016,6752,823296,754493,765901,15.219,0.02,0.0,0.02,0.02,1
89600,13408,6816,823296,765901,772653,14.181,0.02,0.0,0.01,0.02,1
15872,14496,7840,823296,772653,779413,13.582,0.0,0.0,0.01,0.0,1
84480,15520,7744,823296,779413,787205,13.923,0.02,0.0,0.01,0.02,1
17920,16448,8768,823296,787205,795005,15.902,0.02,0.0,0.02,0.02,1
79360,17472,8800,823296,795005,803853,14.394,0.02,0.0,0.01,0.02,1
82432,8800,0,893952,803853,811228,240.204,1.64,0.0,0.24,1.64,0
75776,10240,10400,893952,811228,811228,12.064,0.0,0.0,0.01,0.0,1
23040,21664,11360,893952,811228,821628,14.844,0.0,0.02,0.02,0.02,1
70656,22624,11392,893952,821628,833076,15.488,0.09,0.02,0.02,0.11,1
26112,24192,12896,893952,833076,844524,16.961,0.03,0.0,0.02,0.03,1
