YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.719,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,96,0.968,0.0,0.0,0.00,0.0,1
1536,1536,512,1024,96,512,1.408,0.0,0.0,0.00,0.0,1
2560,1536,480,1536,512,1068,1.638,0.0,0.0,0.00,0.0,1
2560,480,0,3584,1068,1495,5.122,0.0,0.0,0.01,0.0,0
3584,2048,480,3584,1495,2111,1.317,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2111,2679,2.249,0.02,0.0,0.00,0.02,1
7168,4576,2016,4096,2679,3775,3.366,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3775,3682,6.744,0.0,0.0,0.01,0.0,0
8192,7132,3040,6656,3682,5330,5.341,0.0,0.0,0.01,0.0,1
8192,3040,2012,10240,5330,6318,9.152,0.0,0.0,0.01,0.0,0
11264,7132,4192,10240,6318,6838,5.763,0.02,0.0,0.00,0.02,1
11776,10848,5088,10240,6838,9646,7.765,0.02,0.0,0.01,0.02,1
11776,5088,4439,15360,9646,9956,15.224,0.0,0.0,0.01,0.0,0
15872,11095,5376,15360,9956,12508,7.061,0.0,0.0,0.01,0.0,1
16384,14080,4544,18432,12508,17940,8.813,0.02,0.0,0.01,0.02,1
16384,4544,3984,26624,17940,18309,19.483,0.02,0.0,0.02,0.02,0
19456,12688,5024,26624,18309,22365,8.043,0.0,0.0,0.01,0.0,1
19456,5024,389,37376,22365,26382,21.433,0.0,0.0,0.02,0.0,0
19968,12165,6112,37376,26382,26782,7.213,0.0,0.0,0.01,0.0,1
19968,17888,8704,37376,26782,34110,12.885,0.0,0.0,0.01,0.0,1
19968,8704,5621,51200,34110,37043,29.513,0.05,0.0,0.03,0.05,0
24064,16885,11264,51200,37043,42763,12.654,0.0,0.0,0.01,0.0,1
23552,22528,14304,51200,42763,51091,15.928,0.02,0.0,0.01,0.02,1
23552,14304,14280,68096,51091,49828,45.508,0.06,0.0,0.05,0.06,0
29184,23496,9248,68096,49828,64308,18.287,0.03,0.0,0.02,0.03,1
29184,9248,5608,91136,64308,67685,53.346,0.03,0.0,0.05,0.03,0
29184,14824,14848,91136,67685,67685,17.855,0.02,0.0,0.02,0.02,1
30720,21252,20992,91136,67685,67789,14.720,0.02,0.0,0.01,0.02,1
35328,30720,15968,91136,67789,82757,22.436,0.03,0.0,0.02,0.03,1
35328,15968,5709,118272,82757,90680,76.254,0.06,0.0,0.08,0.06,0
36352,16461,13440,118272,90680,93824,17.338,0.0,0.0,0.02,0.0,1
34816,24192,24160,118272,93824,93824,14.220,0.0,0.0,0.01,0.0,1
38400,33888,28672,118272,93824,99056,17.425,0.03,0.02,0.02,0.05,1
45568,38400,18592,119296,99056,119200,21.901,0.03,0.02,0.02,0.05,1
46592,18592,17975,151552,119200,119243,73.994,0.14,0.0,0.07,0.14,0
47616,30775,12864,151552,119243,137515,27.276,0.06,0.0,0.03,0.06,1
47616,12864,0,187392,137515,149986,72.940,0.2,0.0,0.07,0.2,0
48128,14848,14976,187392,149986,149986,10.243,0.0,0.0,0.01,0.0,1
