YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.357,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,92,0.922,0.0,0.0,0.00,0.0,1
1536,1536,512,512,92,508,1.577,0.0,0.0,0.00,0.0,1
1536,512,511,2048,508,469,3.662,0.0,0.0,0.00,0.0,0
2560,1535,480,2048,469,1033,1.799,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1033,2105,2.441,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2105,2542,5.849,0.0,0.0,0.01,0.0,0
5120,3072,1664,6144,2542,2542,2.448,0.02,0.0,0.00,0.02,1
5632,4736,2016,6144,2542,3774,3.692,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,3.949,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4614,5454,3.508,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5454,5831,12.894,0.02,0.0,0.01,0.02,0
9728,8013,5088,10752,5831,6615,4.590,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7991,6.175,0.02,0.0,0.01,0.02,1
12800,11232,5248,11776,7991,11575,6.125,0.0,0.0,0.01,0.0,1
12800,5248,5191,18432,11575,11459,17.565,0.0,0.0,0.02,0.0,0
14336,10311,2688,18432,11459,16731,6.780,0.0,0.0,0.01,0.0,1
14848,2688,1105,27648,16731,18183,16.775,0.02,0.0,0.02,0.02,0
15360,7799,3424,27648,18183,19319,5.739,0.0,0.0,0.00,0.0,1
16896,11103,7648,27648,19319,19543,7.671,0.0,0.0,0.01,0.0,1
17920,16864,4800,27648,19543,27295,8.976,0.02,0.0,0.01,0.02,1
17920,4800,4249,39424,27295,27140,28.521,0.02,0.0,0.03,0.02,0
19456,13465,7648,39424,27140,31460,10.793,0.02,0.0,0.01,0.02,1
20480,18400,9696,40448,31460,40268,13.659,0.02,0.0,0.01,0.02,1
20480,9696,9681,54784,40268,39027,36.756,0.03,0.0,0.04,0.03,0
26624,20433,10752,54784,39027,48835,16.777,0.02,0.02,0.02,0.04,1
26624,10752,5098,73728,48835,54329,42.315,0.02,0.0,0.04,0.02,0
27648,17386,12320,73728,54329,59513,15.339,0.0,0.0,0.01,0.0,1
26112,24608,16896,73728,59513,67289,18.013,0.02,0.02,0.02,0.04,1
26112,16896,10219,95232,67289,73719,52.902,0.06,0.0,0.05,0.06,0
31744,19435,9248,95232,73719,84103,17.778,0.05,0.0,0.02,0.05,1
32768,9248,0,116224,84103,91091,60.824,0.08,0.0,0.06,0.08,0
32768,11264,11296,116224,91091,91091,6.966,0.02,0.0,0.01,0.02,1
31232,22560,21504,116224,91091,92131,12.004,0.0,0.0,0.01,0.0,1
34816,31232,20032,116224,92131,103531,15.516,0.0,0.0,0.02,0.0,1
34816,20032,7162,144384,103531,116093,51.996,0.11,0.0,0.05,0.11,0
37888,16890,16960,144384,116093,116093,15.251,0.02,0.0,0.02,0.02,1
38400,27712,27648,144384,116093,116117,12.970,0.02,0.0,0.01,0.02,1
40448,38400,31264,144384,116117,123405,18.997,0.02,0.03,0.02,0.05,1
45056,39456,29696,144384,123405,133261,18.290,0.06,0.0,0.02,0.06,1
45056,29696,18348,174592,133261,144208,65.530,0.27,0.0,0.07,0.27,0
47616,26540,20160,174592,144208,150768,20.473,0.08,0.0,0.02,0.08,1
48640,29888,23360,174592,158960,165600,18.288,0.03,0.0,0.02,0.03,1
48640,23360,9943,206336,165600,174565,76.894,0.22,0.02,0.08,0.24,0
46592,19671,17344,206336,174565,177069,19.622,0.05,0.0,0.02,0.05,1
48640,28608,28608,206336,177069,177069,13.909,0.02,0.0,0.01,0.02,1
46592,39872,39424,206336,177069,177413,18.032,0.06,0.02,0.02,0.08,1
52224,46592,39168,206336,177413,185013,21.639,0.09,0.0,0.02,0.09,1
55296,46336,25536,206336,185013,206109,21.283,0.08,0.02,0.02,0.1,1
56832,25536,24864,244736,206109,206077,89.695,0.34,0.0,0.09,0.34,0
58368,35104,17280,244736,206077,224277,24.092,0.09,0.03,0.02,0.12,1
58368,17280,0,285696,224277,241152,85.818,0.44,0.0,0.09,0.44,0
58368,11776,11872,285696,241152,241152,7.550,0.02,0.0,0.01,0.02,1
55808,23648,23648,285696,241152,241152,12.283,0.0,0.0,0.01,0.0,1
57344,36960,36960,285696,241152,241152,17.119,0.03,0.0,0.02,0.03,1
55296,50272,47616,285696,241152,243744,22.823,0.12,0.02,0.02,0.13999999999999999,1
62976,55296,44256,285696,243744,255040,22.945,0.14,0.0,0.02,0.14,1
67072,51936,40896,285696,255040,266272,22.005,0.14,0.0,0.02,0.14,1
67072,40896,21257,330752,266272,285240,92.168,0.52,0.0,0.09,0.52,0
68608,28937,16736,330752,285240,297736,25.564,0.09,0.05,0.02,0.14,1
65024,24416,19584,330752,297736,302664,12.625,0.0,0.0,0.01,0.0,1
34304,28800,24672,330752,302664,306848,14.199,0.02,0.0,0.01,0.02,1
62976,33888,18560,330752,306848,322392,17.152,0.03,0.02,0.02,0.05,1
64512,18560,9672,379392,322392,330486,111.783,0.64,0.0,0.11,0.64,0
66048,21960,12384,379392,330486,340318,25.041,0.09,0.03,0.02,0.12,1
66048,24672,12416,379392,356702,369142,20.732,0.09,0.03,0.02,0.12,1
66560,12416,0,425472,369142,372864,142.725,0.92,0.0,0.14,0.92,0
65024,13824,13952,425472,372864,372864,9.130,0.0,0.0,0.01,0.0,1
66560,29312,29312,425472,372864,372864,14.520,0.02,0.0,0.02,0.02,1
62976,44672,44672,425472,372864,372864,20.601,0.12,0.0,0.02,0.12,1
68096,56448,56320,425472,372864,372904,24.842,0.14,0.0,0.02,0.14,1
71680,68096,54400,425472,372904,386912,30.320,0.11,0.0,0.03,0.11,1
77824,61568,46112,425472,386912,402472,27.031,0.11,0.02,0.03,0.13,1
75264,53280,26208,430080,402472,429928,24.728,0.11,0.02,0.03,0.13,1
76800,26208,24994,493056,429928,430075,156.074,1.03,0.0,0.16,1.03,0
79360,34722,16832,493056,430075,448379,32.348,0.23,0.03,0.03,0.26,1
79360,26560,9792,493056,448379,465307,14.446,0.02,0.0,0.01,0.02,1
79360,9792,0,543232,465307,474460,157.252,1.02,0.0,0.16,1.02,0
78848,11264,11424,543232,474460,474460,8.584,0.02,0.0,0.01,0.02,1
37376,24224,24192,543232,474460,474460,12.881,0.0,0.0,0.01,0.0,1
77824,36992,36928,543232,474460,474460,18.457,0.12,0.0,0.02,0.12,1
77824,51264,51296,543232,474460,474460,24.356,0.12,0.02,0.02,0.13999999999999999,1
78848,65632,54400,543232,474460,485876,31.713,0.14,0.0,0.03,0.14,1
84480,64640,51808,543232,485876,498860,29.953,0.14,0.0,0.03,0.14,1
80896,62048,34944,543232,498860,526340,28.995,0.12,0.02,0.03,0.13999999999999999,1
82944,34944,17348,617472,526340,542905,170.018,1.27,0.0,0.17,1.27,0
87040,31172,19360,617472,542905,555065,37.479,0.25,0.02,0.04,0.27,1
81408,33184,27808,617472,555065,560521,18.088,0.05,0.0,0.02,0.05,1
46080,43680,29824,617472,560521,574537,22.959,0.12,0.0,0.02,0.12,1
77312,45696,31904,617472,574537,588553,23.535,0.11,0.03,0.02,0.14,1
52224,49824,33952,617472,588553,604657,26.087,0.09,0.05,0.03,0.14,1
52224,33952,20446,692736,604657,616966,209.195,1.47,0.03,0.21,1.5,0
75776,38366,28736,692736,616966,626902,44.805,0.22,0.05,0.05,0.27,1
77824,48704,48704,692736,626902,626902,25.634,0.14,0.0,0.03,0.14,1
77312,68672,58016,692736,626902,637718,34.207,0.27,0.0,0.03,0.27,1
77312,73888,34761,769536,670486,692635,289.051,1.88,0.03,0.29,1.91,0
83456,50633,40384,769536,692635,703219,50.994,0.36,0.03,0.05,0.39,1
79360,56256,56288,769536,703219,703219,26.819,0.12,0.0,0.03,0.12,1
83968,69600,56288,769536,703219,716691,32.278,0.14,0.0,0.03,0.14,1
86528,69600,58496,769536,716691,727915,32.585,0.16,0.0,0.03,0.16,1
51712,70784,38944,769536,727915,760067,34.080,0.22,0.03,0.03,0.25,1
51712,38944,28596,856064,760067,769300,259.151,1.73,0.0,0.26,1.73,0
87552,40884,21440,856064,769300,789188,50.312,0.27,0.0,0.05,0.27,1
88064,34752,25696,856064,789188,798324,19.075,0.03,0.0,0.02,0.03,1
86016,39008,26752,856064,798324,810772,20.866,0.09,0.03,0.02,0.12,1
87552,42112,28800,856064,810772,824268,22.331,0.09,0.05,0.02,0.14,1
82432,44160,30880,856064,824268,837764,23.096,0.12,0.0,0.02,0.12,1
84480,30880,11752,944640,837764,855617,285.409,1.97,0.05,0.28,2.02,0
87040,31208,19616,944640,855617,867529,51.080,0.22,0.0,0.05,0.22,1
85504,39072,39072,944640,867529,867529,21.557,0.12,0.0,0.02,0.12,1
87040,60576,60544,944640,867529,867529,30.206,0.14,0.0,0.03,0.14,1
90112,82048,62592,944640,867529,887241,40.486,0.27,0.0,0.04,0.27,1
96256,80512,61088,944640,887241,906953,39.551,0.22,0.03,0.04,0.25,1
100864,79008,57472,944640,906953,928737,38.899,0.25,0.0,0.04,0.25,1
100864,57472,40386,1043456,928737,944551,315.877,2.17,0.02,0.32,2.19,0
102400,58818,32064,1043456,944551,971823,68.261,0.39,0.02,0.07,0.41000000000000003,1
96256,50496,36992,1043456,971823,985527,27.383,0.25,0.0,0.03,0.25,1
59904,57472,39040,1043456,985527,1004215,30.065,0.09,0.05,0.03,0.14,1
91648,59520,41152,1043456,1004215,1022903,30.862,0.14,0.0,0.03,0.14,1
94208,41152,19433,1151488,1022903,1043193,336.407,2.5,0.0,0.34,2.5,0
97792,45033,35680,1151488,1043193,1052905,66.123,0.38,0.02,0.07,0.4,1
93696,61280,61280,1151488,1052905,1052905,32.238,0.16,0.0,0.03,0.16,1
98304,84832,74752,1151488,1052905,1063001,43.210,0.25,0.0,0.04,0.25,1
109056,98304,68000,1151488,1063001,1093793,53.730,0.36,0.02,0.05,0.38,1
113152,90016,66656,1151488,1093793,1117433,46.254,0.27,0.0,0.05,0.27,1
113152,66656,31691,1271296,1117433,1151097,370.365,2.78,0.03,0.37,2.8099999999999996,0
111104,53707,43680,1271296,1151097,1161433,76.860,0.5,0.0,0.08,0.5,1
114688,68256,68352,1271296,1161433,1161433,37.913,0.17,0.0,0.04,0.17,1
113664,92928,81792,1271296,1161433,1172721,49.968,0.25,0.03,0.05,0.28,1
120320,102272,91840,1271296,1172721,1183265,56.904,0.38,0.0,0.06,0.38,1
125440,112320,90304,1271296,1183265,1205585,61.994,0.38,0.02,0.06,0.4,1
