YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.500,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,96,1.140,0.0,0.0,0.00,0.0,1
1536,1536,512,512,96,504,1.226,0.0,0.0,0.00,0.0,1
1536,512,510,2048,504,470,4.526,0.0,0.0,0.01,0.0,0
2560,1534,480,2048,470,1038,1.615,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1038,2107,1.788,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2107,2542,6.549,0.0,0.0,0.01,0.0,0
5120,3072,1664,6144,2542,2542,2.786,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3774,3.272,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4606,3.828,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4606,5454,4.986,0.0,0.0,0.01,0.0,1
8704,4064,3545,10752,5454,5831,13.696,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,5.256,0.0,0.0,0.01,0.0,1
11264,9696,6112,10752,6615,7991,7.022,0.0,0.0,0.01,0.0,1
12800,11232,5184,11776,7991,11607,6.189,0.0,0.0,0.01,0.0,1
12800,5184,5168,18432,11607,11482,14.936,0.02,0.0,0.02,0.02,0
14336,10288,2688,18432,11482,16730,6.831,0.0,0.0,0.01,0.0,1
14848,2688,1105,27648,16730,18183,16.256,0.02,0.0,0.02,0.02,0
15360,7799,3456,27648,18183,19311,6.113,0.0,0.0,0.01,0.0,1
17920,11135,4480,27648,19311,22759,7.454,0.0,0.0,0.01,0.0,1
17920,14720,5312,27648,22759,27279,7.171,0.02,0.0,0.01,0.02,1
17920,5312,4779,38912,27279,27139,24.981,0.0,0.0,0.03,0.0,0
17920,15019,8192,38912,27139,32947,12.213,0.0,0.0,0.01,0.0,1
17920,8192,2555,52736,32947,38468,27.643,0.03,0.0,0.03,0.03,0
20992,12283,9728,52736,38468,41076,10.110,0.0,0.0,0.01,0.0,1
19968,19456,12768,52736,41076,47844,13.114,0.0,0.0,0.01,0.0,1
19968,12768,8148,68096,47844,51254,43.459,0.03,0.0,0.04,0.03,0
24576,15316,7200,68096,51254,59502,14.222,0.0,0.02,0.01,0.02,1
25088,7200,0,86528,59502,66541,43.046,0.05,0.0,0.04,0.05,0
25088,8704,8704,86528,66541,66541,6.744,0.02,0.0,0.01,0.02,1
23552,17408,16384,86528,66541,67549,11.813,0.0,0.0,0.01,0.0,1
26624,23552,15424,86528,71645,79933,17.292,0.03,0.0,0.02,0.03,1
26624,15424,6655,109056,79933,86409,63.458,0.11,0.0,0.06,0.11,0
29184,13823,13888,109056,86409,86409,12.408,0.0,0.0,0.01,0.0,1
29696,22080,21504,109056,86409,86929,10.353,0.0,0.0,0.01,0.0,1
31232,29696,23296,109056,86929,93449,15.518,0.02,0.0,0.02,0.02,1
34816,29440,22336,109056,93449,100673,13.691,0.0,0.0,0.01,0.0,1
34816,22336,14054,134144,100673,108591,69.461,0.11,0.0,0.07,0.11,0
36352,20198,15712,134144,108591,113231,18.618,0.05,0.0,0.02,0.05,1
37376,22880,22880,134144,113231,113231,13.804,0.0,0.0,0.01,0.0,1
38912,30048,24448,134144,113231,118903,18.184,0.0,0.0,0.02,0.0,1
40960,31104,21024,134144,118903,129135,16.688,0.02,0.0,0.02,0.02,1
40960,21024,15791,162816,129135,133871,71.223,0.19,0.0,0.07,0.19,0
40448,22447,11744,162816,133871,144807,21.633,0.05,0.0,0.02,0.05,1
41472,19936,14912,162816,144807,149951,12.790,0.0,0.0,0.01,0.0,1
41472,14912,2015,194048,149951,162436,66.632,0.16,0.0,0.07,0.16,0
39424,10207,8256,194048,162436,164508,16.122,0.06,0.0,0.02,0.06,1
40448,17472,17472,194048,172700,172700,12.351,0.02,0.0,0.01,0.02,1
38912,26688,26656,194048,172700,172700,16.956,0.05,0.0,0.02,0.05,1
41472,34848,26656,194048,172700,181012,18.826,0.03,0.0,0.02,0.03,1
44544,34848,25664,194048,181012,190348,16.779,0.11,0.02,0.02,0.13,1
44544,25664,17847,227840,190348,193557,106.348,0.34,0.0,0.11,0.34,0
45568,26551,14432,227840,193557,205997,23.207,0.06,0.0,0.02,0.06,1
41984,23136,17472,227840,205997,211717,12.571,0.02,0.0,0.01,0.02,1
