YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
82432,78016,41120,2253312,2180268,2217636,46.19,0.25,0.02,0.05,0.27,1
644608,237775,237775,12083200,12082905,12082905,3956.576,27.3,0.02,3.96,27.32,0
644608,237775,237775,12083200,12083141,12083141,4271.468,27.75,0.0,4.27,27.75,0
428544,76032,27714,7776256,6948895,6991107,2323.625,16.47,0.06,2.32,16.529999999999998,0
345600,172512,0,6991360,6280645,6318647,2418.115,17.02,0.05,2.42,17.07,0
90112,56416,39072,1041408,966882,984530,30.484,0.12,0.0,0.03,0.12,1
644608,237775,237775,12083200,12083074,12083074,3671.686,26.77,0.02,3.67,26.79,0
386048,229728,115040,7776256,7586371,7702075,150.577,0.7,0.11,0.15,0.8099999999999999,1
644608,237775,237775,12083200,12083156,12083156,4147.271,27.16,0.03,4.15,27.19,0
425472,395264,146304,9492480,8582843,8833987,232.113,1.53,0.14,0.23,1.67,1
180224,136960,136992,4408320,4019104,4019104,76.666,0.42,0.0,0.08,0.42,1
644608,237775,237775,12083200,12083045,12083045,3667.899,26.94,0.0,3.67,26.94,0
262144,119520,119616,5750784,5202448,5202448,69.936,0.41,0.0,0.07,0.41,1
131072,76960,53408,1862144,1772213,1796085,42.691,0.25,0.0,0.04,0.25,1
644608,237775,237775,12083200,12082861,12082861,3768.654,27.34,0.0,3.77,27.34,0
125440,121856,99936,1404416,1354637,1376957,93.494,0.48,0.06,0.09,0.54,1
180224,65728,35317,3023360,2710539,2738439,870.806,6.62,0.03,0.87,6.65,0
144896,181536,94528,5260800,4973138,5060930,96.984,0.62,0.02,0.1,0.64,1
192000,89792,89856,4408320,4019104,4019104,65.809,0.28,0.0,0.07,0.28,1
93184,44991,27360,1041408,938906,956930,60.706,0.39,0.0,0.06,0.39,1
90624,44160,25572,1148928,1023962,1041112,348.449,2.56,0.0,0.35,2.56,0
184832,177952,151040,4017152,3655788,3682916,87.753,0.72,0.03,0.09,0.75,1
644608,237775,237775,12083200,12083132,12083132,3860.086,26.91,0.02,3.86,26.93,0
232448,331872,156512,6991360,6614695,6791351,165.266,0.88,0.17,0.16,1.05,1
92160,62400,62464,1272832,1157022,1157022,34.374,0.16,0.0,0.03,0.16,1
644608,237775,237775,12083200,12082885,12082885,3713.287,26.97,0.03,3.71,27.0,0
88064,35968,9720,939008,822684,847911,292.854,1.95,0.03,0.29,1.98,0
644608,237775,237775,12083200,12082982,12082982,3725.989,27.2,0.0,3.73,27.2,0
119808,63373,38496,1404416,1272749,1287477,80.477,0.52,0.0,0.08,0.52,1
644608,237775,237775,12083200,12082900,12082900,3692.696,27.12,0.03,3.69,27.15,0
46592,39424,24672,153088,132330,147346,17.907,0.05,0.02,0.02,0.07,1
644608,237775,237775,12083200,12083069,12083069,3658.293,26.47,0.0,3.66,26.47,0
49664,28832,28800,331776,288920,288920,15.135,0.02,0.0,0.02,0.02,1
66560,64800,55808,554496,502411,511435,31.115,0.14,0.0,0.03,0.14,1
211968,96928,96992,4822016,4383827,4383827,60.589,0.28,0.0,0.06,0.28,1
84992,81568,55520,2484736,2387405,2413765,46.797,0.27,0.0,0.05,0.27,1
42496,20992,21184,1862144,1705765,1705765,22.678,0.02,0.0,0.02,0.02,1
8192,5084,2688,7168,3648,4608,4.005,0.0,0.0,0.0,0.0,1
38400,34272,22528,100352,82359,94255,15.631,0.0,0.0,0.02,0.0,1
26624,11296,3564,77824,50225,57773,41.063,0.03,0.0,0.04,0.03,0
137728,114368,112640,2039296,1885158,1886814,57.225,0.39,0.0,0.06,0.39,1
145920,128672,122336,1543680,1411220,1417620,58.703,0.36,0.02,0.06,0.38,1
644608,237775,237775,12083200,12082953,12082953,4048.593,26.98,0.0,4.05,26.98,0
429568,177952,93472,7776256,7104371,7189611,116.804,0.44,0.02,0.12,0.46,1
201216,50336,0,4017152,3608518,3655788,1185.775,8.73,0.03,1.19,8.76,0
77824,41920,34976,691200,633642,640674,22.462,0.12,0.0,0.02,0.12,1
