Throughput(%),Latency(Max GC pause time)(s),Application runtime(s),FULL GC,GC,XMX
12.246070678640038,5.098896,111.915,61,225,15200
11.570562081093655,5.112598,120.552,64,289,15300
4.472824700096851,5.115406,311.934,125,280,15400
3.6644669409881914,5.277699999999999,388.109,146,277,15500
5.61724424512326,5.263895000000001,255.088,104,261,15600
5.5199402414432654,5.238646,257.369,106,259,15700
5.279036472327931,5.270144,269.821,110,269,15800
3.2334467662670505,5.3807849999999995,447.254,164,300,15900
3.4959307010475555,5.334042,409.530,150,314,16000
10.495393718244117,5.329096,137.573,69,271,16100
6.513639912448923,5.5906,221.585,93,255,16200
5.410781173539732,5.434469,269.748,107,258,16300
3.820881574380593,5.490158,386.082,140,257,16400
7.927632317692002,5.476415,185.236,81,272,16500
4.760295061941079,5.493194000000001,319.255,119,291,16600
17.589351028627277,5.623093,84.919,53,281,16700
16.683657088897917,7.134131,88.956,52,237,16800
9.673608672417743,5.734982,183.386,78,272,16900
17.072635565501812,5.672314999999999,87.135,53,272,17000
18.014959363359296,5.6774309999999995,82.684,52,241,17100
18.595715650763296,6.636378,135.003,61,253,17200
17.7385535578387,5.6839889999999995,84.096,52,257,17300
7.8399211006547915,5.838763,223.576,86,234,17400
13.28531484876595,5.886884,136.907,65,281,17500
3.7384294704271497,8.061609,478.310,158,288,17600
4.31485286076294,5.892626,469.997,152,271,17700
