YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.547,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,1.141,0.0,0.0,0.00,0.0,1
1536,1536,512,1024,88,520,1.213,0.0,0.0,0.00,0.0,1
2560,1536,480,1536,520,1068,1.393,0.0,0.0,0.00,0.0,1
2560,480,0,3584,1068,1496,4.672,0.0,0.0,0.00,0.0,0
3584,2048,480,3584,1496,2112,1.287,0.0,0.0,0.00,0.0,1
4608,3552,1504,3584,2112,2680,2.254,0.0,0.0,0.00,0.0,1
7168,4576,2016,4096,2680,3776,2.951,0.0,0.0,0.00,0.0,1
7168,2016,2012,6656,3776,3683,6.768,0.0,0.0,0.01,0.0,0
8192,7132,3040,6656,3683,5331,5.596,0.02,0.0,0.01,0.02,1
8192,3040,2012,10752,5331,6318,10.284,0.0,0.0,0.01,0.0,0
10752,7132,4224,10752,6318,6806,5.370,0.0,0.0,0.00,0.0,1
11264,10368,5088,10752,6806,9374,6.564,0.0,0.0,0.01,0.0,1
11264,5088,3544,16384,9374,10586,14.063,0.0,0.0,0.01,0.0,0
15872,9688,4576,16384,10586,12754,6.023,0.02,0.0,0.01,0.02,1
15872,13280,7168,16384,12754,14690,6.654,0.0,0.0,0.01,0.0,1
15872,7168,5620,23552,14690,16144,16.643,0.0,0.0,0.02,0.0,0
20992,14324,5024,23552,16144,21864,8.976,0.02,0.0,0.01,0.02,1
20992,5024,2945,33792,21864,23299,19.882,0.0,0.0,0.02,0.0,0
20992,14721,6112,33792,23299,26299,9.152,0.02,0.0,0.01,0.02,1
20992,17888,9728,34304,26299,33851,14.047,0.0,0.0,0.01,0.0,1
20992,9728,9197,48640,33851,34179,32.083,0.05,0.0,0.03,0.05,0
25088,20461,11296,48640,34179,43531,19.121,0.03,0.0,0.02,0.03,1
25088,11296,5098,66560,43531,48489,37.840,0.05,0.0,0.04,0.05,0
28160,16362,11296,66560,48489,53681,15.524,0.0,0.0,0.02,0.0,1
29184,24096,16384,66560,53681,61457,16.833,0.0,0.0,0.02,0.0,1
29184,16384,11242,87552,61457,66345,49.640,0.06,0.0,0.05,0.06,0
37376,22473,11200,87552,66345,77769,20.797,0.03,0.0,0.02,0.03,1
37376,11200,1431,112640,77769,87296,54.480,0.08,0.0,0.05,0.08,0
