YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.349,0.0,0.02,0.00,0.02,1
1536,991,512,512,8,72,0.868,0.0,0.0,0.00,0.0,1
1536,1536,512,512,72,504,1.330,0.0,0.0,0.00,0.0,1
1536,512,507,2048,504,473,3.631,0.0,0.0,0.00,0.0,0
2560,1531,480,2048,473,1037,1.711,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1037,2106,2.205,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.973,0.0,0.0,0.01,0.0,0
5120,3072,1696,6144,2542,2542,1.740,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3774,2.719,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,3.526,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4614,5454,4.279,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5454,5831,11.709,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,3.786,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7991,5.678,0.0,0.0,0.00,0.0,1
12800,11232,5216,11776,7991,11583,5.309,0.0,0.0,0.00,0.0,1
12800,5216,5187,18432,11583,11463,14.645,0.0,0.0,0.02,0.0,0
14336,10307,2688,18432,11463,16735,5.924,0.0,0.0,0.01,0.0,1
14848,2688,1105,27648,16735,18183,15.576,0.02,0.0,0.02,0.02,0
15360,7799,3424,27648,18183,19311,4.720,0.02,0.0,0.01,0.02,1
16896,11103,7648,27648,19311,19543,6.663,0.0,0.0,0.01,0.0,1
17920,16864,4800,27648,19543,27287,8.893,0.02,0.0,0.01,0.02,1
17920,4800,4249,39424,27287,27139,25.469,0.0,0.0,0.03,0.0,0
19456,13465,7648,39424,27139,31467,10.157,0.0,0.0,0.01,0.0,1
20480,18400,9696,40448,31467,40275,13.000,0.0,0.0,0.01,0.0,1
20480,9696,9681,54784,40275,39026,37.006,0.03,0.0,0.04,0.03,0
22528,20433,10784,54784,39026,48842,15.006,0.0,0.0,0.02,0.0,1
22528,10784,5098,68608,48842,54328,42.752,0.03,0.0,0.04,0.03,0
22528,16362,11264,68608,54328,59528,15.016,0.0,0.0,0.02,0.0,1
22528,11264,2528,68608,59528,68127,44.864,0.05,0.0,0.05,0.05,0
22528,13792,13763,68608,68127,68127,52.049,0.09,0.0,0.05,0.09,0
22528,13792,13792,68608,68127,68127,44.891,0.05,0.0,0.05,0.05,0
22528,13792,13792,68608,68127,68127,43.197,0.03,0.0,0.04,0.03,0
22528,13792,13792,68608,68132,68132,41.921,0.03,0.0,0.04,0.03,0
22528,13792,13792,68608,68137,68137,41.791,0.03,0.0,0.04,0.03,0
