YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.368,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,96,0.888,0.0,0.0,0.00,0.0,1
1536,1536,512,512,96,504,1.155,0.0,0.0,0.00,0.0,1
1536,512,510,2048,504,470,3.577,0.0,0.0,0.00,0.0,0
2560,1534,480,2048,470,1038,1.592,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1038,2106,1.697,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.313,0.0,0.0,0.00,0.0,0
5120,3072,1664,6144,2542,2542,1.911,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3774,3.484,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,4.572,0.0,0.0,0.01,0.0,1
9216,6624,4064,6144,4614,5454,4.280,0.0,0.0,0.00,0.0,1
9216,4064,3545,10752,5454,5831,12.328,0.0,0.0,0.01,0.0,0
10240,8665,5088,10752,5831,6951,4.450,0.0,0.0,0.00,0.0,1
12800,10208,6464,10752,6951,8239,6.033,0.0,0.0,0.01,0.0,1
13824,12608,5824,12288,8239,12111,6.090,0.0,0.0,0.01,0.0,1
13824,5824,5758,18944,12111,12006,14.791,0.0,0.0,0.01,0.0,0
15360,11902,3200,18944,12006,17862,7.141,0.0,0.0,0.01,0.0,1
16384,3200,2146,28672,17862,18786,15.140,0.0,0.0,0.02,0.0,0
17408,11874,5568,28672,18786,20978,6.084,0.0,0.0,0.01,0.0,1
20992,15296,5088,28672,20978,26578,8.508,0.0,0.0,0.01,0.0,1
20992,5088,2471,40448,26578,28497,26.890,0.02,0.0,0.03,0.02,0
20992,15271,8192,40448,28497,33673,11.481,0.0,0.0,0.01,0.0,1
23552,20992,11744,43520,33673,43057,17.926,0.02,0.02,0.02,0.04,1
23552,11744,11725,57856,43057,41788,40.783,0.02,0.0,0.04,0.02,0
28672,23501,11808,57856,41788,53676,17.501,0.03,0.0,0.02,0.03,1
28672,11808,7658,77824,53676,57601,45.068,0.03,0.0,0.05,0.03,0
31232,19434,11808,77824,57601,65385,17.366,0.03,0.0,0.02,0.03,1
32256,23758,18944,77824,65385,70025,16.134,0.0,0.0,0.02,0.0,1
32256,18944,11242,99328,70025,77486,62.728,0.09,0.0,0.06,0.09,0
39424,24554,13344,99328,77486,88918,18.402,0.02,0.03,0.02,0.05,1
39424,13344,1017,124416,88918,98952,53.095,0.08,0.0,0.05,0.08,0
39936,16889,16960,124416,98952,98952,14.848,0.02,0.0,0.02,0.02,1
36352,32832,25088,124416,98952,106744,21.090,0.06,0.0,0.02,0.06,1
43520,36352,24640,124416,106744,118656,19.013,0.05,0.0,0.02,0.05,1
43520,24640,18930,153088,118656,123949,63.876,0.11,0.0,0.06,0.11,0
44032,30194,30304,153088,123949,123949,20.401,0.06,0.02,0.02,0.08,1
48128,39520,38912,153088,123949,124493,18.182,0.03,0.0,0.02,0.03,1
54784,48128,29376,153088,124493,143541,23.862,0.03,0.03,0.02,0.06,1
54784,29376,19560,187392,143541,152926,67.693,0.17,0.02,0.07,0.19,0
25088,28776,15712,187392,161118,174518,23.263,0.06,0.02,0.02,0.08,1
55808,15712,0,223744,174518,185768,90.372,0.25,0.0,0.09,0.25,0
55808,10752,10848,223744,185768,185768,6.748,0.0,0.0,0.01,0.0,1
54784,21600,21568,223744,185768,185768,10.806,0.0,0.0,0.01,0.0,1
55296,34368,34400,223744,185768,185768,17.064,0.08,0.0,0.02,0.08,1
53248,47200,46080,223744,185768,186808,22.954,0.06,0.02,0.02,0.08,1
60928,53248,42688,223744,186808,197608,23.505,0.09,0.0,0.02,0.09,1
64512,49856,39232,223744,197608,208392,22.355,0.11,0.0,0.02,0.11,1
64512,39232,23695,262144,208392,223321,93.814,0.33,0.0,0.09,0.33,0
66560,30351,15488,262144,223321,238505,24.407,0.12,0.0,0.02,0.12,1
62464,22144,17728,262144,238505,242969,11.759,0.03,0.0,0.01,0.03,1
64512,17728,0,302592,242969,260265,88.512,0.42,0.02,0.09,0.44,0
64000,8192,8288,302592,260265,260265,5.849,0.02,0.0,0.01,0.02,1
27136,17504,17472,302592,260265,260265,9.164,0.02,0.0,0.01,0.02,1
61952,26688,26656,302592,260265,260265,12.981,0.0,0.0,0.01,0.0,1
62976,37408,37440,302592,260265,260265,17.254,0.05,0.0,0.02,0.05,1
61440,48192,48160,302592,260265,260265,21.991,0.12,0.0,0.02,0.12,1
67072,54816,46656,302592,260265,268569,24.294,0.12,0.0,0.02,0.12,1
70144,53312,34912,302592,268569,287225,24.774,0.12,0.02,0.02,0.13999999999999999,1
71168,34912,19359,348672,287225,302123,105.498,0.62,0.02,0.11,0.64,0
72192,28063,16352,348672,302123,314123,25.707,0.12,0.0,0.03,0.12,1
69120,25056,17472,348672,314123,321787,13.694,0.02,0.0,0.01,0.02,1
70656,27712,10368,348672,321787,339411,15.324,0.0,0.02,0.02,0.02,1
70656,10368,503,399360,339411,348532,104.400,0.75,0.0,0.11,0.75,0
69632,10743,10368,399360,364916,365452,21.633,0.05,0.0,0.02,0.05,1
34304,22144,22112,399360,365452,365452,13.033,0.02,0.0,0.01,0.02,1
62976,33888,23712,399360,365452,375820,18.148,0.05,0.0,0.02,0.05,1
38912,37024,25184,399360,375820,387756,20.942,0.02,0.0,0.02,0.02,1
38912,25184,5100,452096,387756,399107,159.368,1.02,0.02,0.16,1.04,0
62464,18412,16512,452096,399107,401219,25.738,0.14,0.0,0.03,0.14,1
64000,31360,31328,452096,401219,401219,15.980,0.02,0.0,0.02,0.02,1
61952,46176,43104,452096,401219,404331,21.753,0.12,0.0,0.02,0.12,1
66560,55392,42080,452096,404331,417835,25.706,0.14,0.0,0.03,0.14,1
70144,54368,39584,452096,417835,432883,25.145,0.12,0.0,0.03,0.12,1
70144,39584,19915,508416,432883,451719,153.810,1.03,0.0,0.15,1.03,0
71680,32715,18336,508416,451719,466455,33.753,0.16,0.0,0.03,0.16,1
66560,31136,25728,508416,466455,471935,16.506,0.03,0.0,0.02,0.03,1
41984,40064,27296,508416,471935,484911,20.468,0.11,0.02,0.02,0.13,1
41984,27296,3575,568320,484911,507906,160.656,0.92,0.02,0.16,0.9400000000000001,0
66560,17911,16128,568320,507906,509882,29.784,0.12,0.0,0.03,0.12,1
67584,32000,32000,568320,509882,509882,17.525,0.05,0.0,0.02,0.05,1
63488,47872,47840,568320,509882,509882,23.620,0.14,0.0,0.02,0.14,1
69120,60128,56832,568320,509882,513162,28.663,0.12,0.0,0.03,0.12,1
78336,69120,39840,568320,513162,542922,32.991,0.16,0.02,0.03,0.18,1
78848,39840,14064,636928,542922,567919,184.736,1.38,0.02,0.18,1.4,0
79360,28400,18336,636928,567919,578287,37.076,0.23,0.02,0.04,0.25,1
74240,32672,28832,636928,578287,582207,18.227,0.03,0.0,0.02,0.03,1
46592,44704,30368,636928,582207,596751,24.711,0.11,0.02,0.03,0.13,1
72192,46240,31872,636928,596751,611279,25.012,0.08,0.05,0.03,0.13,1
74240,31872,5623,708608,611279,636654,197.489,1.34,0.0,0.20,1.34,0
76288,25591,22592,708608,636654,639878,39.409,0.25,0.0,0.04,0.25,1
