YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.194,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,104,0.995,0.0,0.0,0.00,0.0,1
1536,1536,512,512,104,496,1.078,0.0,0.0,0.00,0.0,1
1536,512,510,2048,496,469,3.313,0.0,0.0,0.00,0.0,0
2560,1534,480,2048,469,1037,1.547,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1037,2109,1.923,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2109,2542,4.323,0.0,0.0,0.00,0.0,0
5120,3072,1664,6144,2542,2542,1.869,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3766,2.746,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3766,4606,3.783,0.0,0.0,0.00,0.0,1
9216,6624,4064,6144,4606,5446,3.975,0.0,0.0,0.00,0.0,1
9216,4064,3545,10752,5446,5820,11.036,0.02,0.0,0.01,0.02,0
10240,8665,5088,10752,5820,6940,4.014,0.0,0.0,0.00,0.0,1
12800,10208,6496,10752,6940,8236,5.480,0.0,0.0,0.01,0.0,1
13824,12640,5824,12288,8236,12108,5.597,0.0,0.0,0.01,0.0,1
13824,5824,5760,18944,12108,11997,15.828,0.0,0.0,0.02,0.0,0
15872,11904,3200,18944,11997,17853,8.856,0.0,0.0,0.01,0.0,1
16384,3200,2146,28672,17853,18779,15.166,0.0,0.0,0.01,0.0,0
16896,11362,5312,28672,18779,20971,6.079,0.0,0.0,0.01,0.0,1
20480,14528,4800,28672,20971,26299,9.981,0.0,0.0,0.01,0.0,1
20480,4800,2206,39936,26299,28226,25.734,0.02,0.0,0.03,0.02,0
20480,14494,8192,39936,28226,33810,11.435,0.0,0.0,0.01,0.0,1
20480,8192,2044,54272,33810,39846,29.912,0.02,0.0,0.03,0.02,0
24064,14332,11744,54272,39846,42478,13.086,0.0,0.0,0.01,0.0,1
26624,24032,12320,54784,42478,54366,14.771,0.0,0.0,0.01,0.0,1
26624,12320,10723,73728,54366,54661,48.719,0.05,0.0,0.05,0.05,0
30208,23011,12320,73728,54661,65565,19.355,0.03,0.0,0.02,0.03,1
30208,12320,4082,96256,65565,73560,50.582,0.06,0.0,0.05,0.06,0
31232,15390,15232,96256,73560,73560,16.411,0.03,0.0,0.02,0.03,1
29184,29056,19424,96256,73560,83296,21.579,0.02,0.02,0.02,0.04,1
35840,29152,18592,96256,83296,94048,16.093,0.0,0.0,0.02,0.0,1
35840,18592,14160,123392,94048,96020,58.783,0.11,0.0,0.06,0.11,0
38400,23888,19296,123392,96020,100740,19.024,0.02,0.02,0.02,0.04,1
39936,29536,29536,123392,100740,100740,14.423,0.02,0.0,0.02,0.02,1
42496,39776,30208,123392,100740,110428,21.020,0.03,0.03,0.02,0.06,1
42496,30208,17332,151552,110428,122956,60.495,0.11,0.0,0.06,0.11,0
22016,25524,13472,151552,122956,135252,19.314,0.03,0.0,0.02,0.03,1
43008,21664,16384,151552,135252,140572,10.714,0.02,0.0,0.01,0.02,1
44544,16384,5081,182784,140572,151530,63.088,0.16,0.0,0.06,0.16,0
46080,16345,12224,182784,151530,155794,17.132,0.0,0.0,0.02,0.0,1
45056,23488,23520,182784,163986,163986,14.561,0.02,0.0,0.01,0.02,1
46592,35296,34816,182784,163986,164370,15.771,0.02,0.0,0.02,0.02,1
49664,46592,34560,182784,164370,176650,22.652,0.03,0.02,0.02,0.05,1
49664,34560,24173,216576,176650,182485,92.833,0.27,0.0,0.09,0.27,0
53760,33901,25952,216576,182485,190685,22.554,0.08,0.02,0.02,0.1,1
51712,35680,35648,216576,190685,190685,16.794,0.02,0.0,0.02,0.02,1
55296,43328,35264,216576,190685,198869,19.196,0.08,0.0,0.02,0.08,1
55296,42944,25152,217088,198869,216901,19.906,0.09,0.0,0.02,0.09,1
56832,25152,24486,256512,216901,216866,94.645,0.39,0.0,0.10,0.39,0
58880,35238,18272,256512,216866,234194,24.521,0.08,0.03,0.03,0.11,1
55296,29024,21568,256512,234194,241770,15.623,0.02,0.0,0.01,0.02,1
57344,21568,6627,299008,241770,256170,88.794,0.39,0.05,0.09,0.44,0
59392,21475,17568,299008,256170,260250,21.196,0.11,0.02,0.02,0.13,1
57856,32416,32480,299008,260250,260250,16.439,0.03,0.02,0.02,0.05,1
59904,47328,45056,299008,260250,262434,21.732,0.12,0.0,0.02,0.12,1
64512,59904,43264,299008,262434,279386,26.829,0.14,0.0,0.03,0.14,1
64512,43264,23148,345600,279386,298911,103.556,0.64,0.03,0.10,0.67,0
42496,35948,29280,345600,298911,305895,28.808,0.14,0.0,0.03,0.14,1
68096,42080,34464,345600,305895,313583,20.262,0.08,0.05,0.02,0.13,1
68096,48800,24555,392704,329967,345543,149.075,0.77,0.02,0.15,0.79,0
68096,38891,30752,392704,345543,353975,31.917,0.14,0.0,0.03,0.14,1
65024,45088,45120,392704,353975,353975,20.910,0.12,0.0,0.02,0.12,1
68608,57920,55808,392704,353975,355983,25.898,0.14,0.0,0.03,0.14,1
73728,68608,53376,392704,355983,371551,30.888,0.14,0.0,0.03,0.14,1
46592,63616,35872,399872,371551,399567,29.020,0.14,0.0,0.03,0.14,1
46592,35872,34665,457216,399567,399792,147.656,0.86,0.0,0.15,0.86,0
75776,44905,20544,457216,399792,424672,35.091,0.22,0.03,0.04,0.25,1
76288,32320,22112,457216,424672,435008,16.571,0.03,0.0,0.02,0.03,1
76800,22112,0,519680,435008,456416,144.431,1.0,0.0,0.14,1.0,0
76800,13312,13440,519680,456416,456416,9.633,0.0,0.0,0.01,0.0,1
73216,26752,26752,519680,456416,456416,14.497,0.02,0.0,0.01,0.02,1
75776,41600,41568,519680,456416,456416,20.695,0.12,0.0,0.02,0.12,1
72192,56416,56416,519680,456416,456416,26.252,0.14,0.0,0.03,0.14,1
78848,66656,53344,519680,456416,469920,30.199,0.14,0.0,0.03,0.14,1
82432,63584,50240,519680,469920,483416,28.743,0.12,0.0,0.03,0.12,1
41472,60480,30816,519680,483416,513464,29.149,0.12,0.02,0.03,0.13999999999999999,1
41472,30816,23985,589824,513464,519250,168.847,1.14,0.02,0.17,1.16,0
82944,34225,18336,589824,519250,535530,37.074,0.23,0.02,0.04,0.25,1
82944,30112,22176,589824,535530,543634,16.531,0.03,0.0,0.02,0.03,1
78848,33952,23648,589824,543634,554034,18.483,0.05,0.0,0.02,0.05,1
