YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
84480,18048,0,613376,523865,541050,162.688,1.12,0.02,0.16,1.1400000000000001,0
84480,19968,20096,613376,541050,541050,12.137,0.0,0.0,0.01,0.0,1
85504,42112,42176,613376,541050,541050,22.147,0.12,0.0,0.02,0.12,1
80384,64192,64192,613376,541050,541050,31.387,0.14,0.0,0.03,0.14,1
88576,80064,72704,613376,541050,548386,39.892,0.27,0.0,0.04,0.27,1
102400,88576,51104,613376,548386,586450,43.666,0.25,0.02,0.04,0.27,1
102912,51104,23281,693760,586450,613357,188.813,1.47,0.03,0.19,1.5,0
51200,41713,32416,693760,613357,622949,48.511,0.36,0.02,0.05,0.38,1
96768,50848,43456,693760,622949,630501,26.348,0.14,0.0,0.03,0.14,1
99840,63936,57504,693760,630501,637021,31.520,0.14,0.0,0.03,0.14,1
99840,77984,37316,773632,669789,693399,288.260,1.8,0.02,0.29,1.82,0
99328,57796,46272,773632,693399,705311,54.013,0.39,0.0,0.05,0.39,1
101888,68800,68800,773632,705311,705311,33.165,0.25,0.0,0.03,0.25,1
96768,91328,84992,773632,705311,711655,41.939,0.25,0.02,0.04,0.27,1
110080,96768,73856,773632,711655,734943,42.995,0.27,0.0,0.04,0.27,1
108544,85632,45312,776192,734943,775751,39.673,0.22,0.03,0.04,0.25,1
110592,45312,43580,869888,775751,776065,283.029,1.91,0.02,0.28,1.93,0
114176,59452,27456,869888,776065,808665,57.583,0.38,0.0,0.06,0.38,1
112640,43328,31872,869888,808665,820281,22.908,0.25,0.0,0.02,0.25,1
52224,49792,33952,869888,820281,836361,25.665,0.14,0.0,0.03,0.14,1
113664,33952,0,969216,836361,869214,290.866,1.94,0.06,0.29,2.0,0
113664,19968,20128,969216,869214,869214,15.372,0.0,0.0,0.02,0.0,1
107008,40096,40096,969216,869214,869214,21.612,0.14,0.0,0.02,0.14,1
111104,62112,62080,969216,869214,869214,30.576,0.14,0.0,0.03,0.14,1
105472,84096,84096,969216,869214,869214,39.837,0.23,0.0,0.04,0.23,1
115712,98432,98528,969216,869214,869214,44.759,0.38,0.0,0.05,0.38,1
121856,112864,92832,969216,869214,889454,56.108,0.39,0.0,0.06,0.39,1
66560,100512,58496,969216,889454,931942,49.198,0.22,0.05,0.05,0.27,1
66560,58496,20434,1080320,931942,968876,322.334,2.12,0.02,0.32,2.14,0
123904,28114,14464,1080320,968876,982812,54.292,0.25,0.02,0.05,0.27,1
125440,22144,16192,1080320,982812,988876,15.468,0.02,0.0,0.01,0.02,1
124416,23872,15488,1080320,988876,997420,16.479,0.05,0.0,0.02,0.05,1
125440,24192,8800,1080320,997420,1012964,16.520,0.03,0.0,0.02,0.03,1
123392,17504,8768,1080320,1012964,1021788,14.433,0.02,0.0,0.01,0.02,1
20992,19008,10368,1080320,1021788,1030612,15.597,0.02,0.0,0.02,0.02,1
117760,20608,10336,1080320,1030612,1040980,15.286,0.02,0.0,0.02,0.02,1
24064,22112,11840,1080320,1040980,1051356,16.521,0.02,0.0,0.02,0.02,1
118784,11840,0,1166336,1051356,1061767,328.045,2.27,0.02,0.33,2.29,0
27136,13312,13408,1166336,1061767,1061767,13.975,0.02,0.0,0.01,0.02,1
102400,26720,26752,1166336,1061767,1061767,17.990,0.03,0.0,0.02,0.03,1
56832,41600,41600,1166336,1061767,1061767,22.321,0.14,0.0,0.02,0.14,1
106496,56448,43104,1166336,1061767,1075247,29.028,0.12,0.0,0.03,0.12,1
107520,60000,46720,1166336,1075247,1088751,29.893,0.12,0.0,0.03,0.12,1
109568,63616,48768,1166336,1088751,1103807,31.820,0.16,0.0,0.03,0.16,1
109568,67712,52864,1166336,1103807,1118855,34.182,0.14,0.0,0.04,0.14,1
102912,71808,38016,1166336,1118855,1153071,36.998,0.22,0.03,0.04,0.25,1
105984,38016,23516,1283072,1153071,1165995,360.876,2.59,0.02,0.36,2.61,0
111104,48092,24736,1283072,1165995,1189867,72.227,0.41,0.0,0.07,0.41,1
104960,49312,24768,1283072,1189867,1214803,29.607,0.11,0.02,0.03,0.13,1
54784,51904,27328,1283072,1214803,1239731,30.520,0.12,0.02,0.03,0.13999999999999999,1
101376,54464,27264,1283072,1239731,1267243,32.356,0.14,0.0,0.03,0.14,1
104448,27264,10244,1416192,1267243,1282566,401.606,2.98,0.0,0.40,2.98,0
107520,43524,21440,1416192,1282566,1292990,71.541,0.38,0.0,0.07,0.38,1
107008,54720,46720,1416192,1292990,1292990,29.100,0.12,0.0,0.03,0.12,1
108544,81536,73728,1416192,1292990,1300862,44.172,0.27,0.0,0.04,0.27,1
120832,108544,66176,1416192,1300862,1343918,59.196,0.38,0.02,0.06,0.4,1
120832,99456,58789,1564160,1409454,1416137,667.236,4.58,0.03,0.67,4.61,0
125952,92069,92320,1564160,1416137,1416137,95.974,0.64,0.0,0.10,0.64,1
119296,125600,106496,1564160,1416137,1435425,60.412,0.28,0.11,0.06,0.39,1
142848,119296,69984,1564160,1435425,1485409,56.147,0.44,0.06,0.06,0.5,1
129536,82784,51488,1564160,1485409,1516977,41.153,0.25,0.0,0.04,0.25,1
131584,51488,3268,1707008,1516977,1563698,496.675,3.33,0.03,0.50,3.36,0
138240,19652,16544,1707008,1563698,1566986,78.313,0.53,0.0,0.08,0.53,1
132096,32928,32928,1707008,1566986,1566986,27.284,0.02,0.0,0.03,0.02,1
70144,51360,51360,1707008,1566986,1567090,32.048,0.05,0.0,0.03,0.05,1
123392,69792,53440,1707008,1567090,1583690,37.511,0.16,0.0,0.04,0.16,1
128000,74432,58048,1707008,1583690,1600298,38.170,0.25,0.0,0.04,0.25,1
124416,79040,60576,1707008,1600298,1618978,40.171,0.17,0.0,0.04,0.17,1
126464,84640,66240,1707008,1618978,1637650,42.184,0.25,0.0,0.04,0.25,1
122368,90304,48320,1707008,1637650,1680170,45.399,0.17,0.06,0.04,0.23,1
125952,48320,19458,1707008,1680170,1707002,554.265,4.0,0.02,0.56,4.02,0
125952,50690,50660,1707008,1707002,1707002,542.513,3.72,0.0,0.54,3.72,0
125952,50690,50689,1707008,1707002,1707002,511.879,3.59,0.0,0.51,3.59,0
125952,50690,50690,1707008,1707002,1707002,525.174,3.92,0.0,0.52,3.92,0
125952,50690,50690,1707008,1707007,1707007,536.598,3.64,0.0,0.54,3.64,0
125952,50690,50690,1707008,1707007,1707007,517.851,3.8,0.02,0.52,3.82,0
125952,50690,50690,1707008,1707007,1707003,833.700,6.22,0.0,0.83,6.22,0
125952,50690,50690,1707008,1707007,1707007,516.673,3.7,0.0,0.52,3.7,0
125952,50690,50690,1707008,1707007,1707007,525.077,3.69,0.0,0.52,3.69,0
125952,50690,50690,1707008,1707007,1707007,515.504,3.83,0.0,0.52,3.83,0
125952,50690,50690,1707008,1707007,1707006,841.190,6.09,0.0,0.84,6.09,0
125952,50690,50690,1707008,1707007,1707005,845.791,6.2,0.02,0.85,6.22,0
