YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.845,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,1.037,0.0,0.0,0.00,0.0,1
1536,1536,512,512,88,504,1.454,0.02,0.0,0.00,0.02,1
1536,512,507,2048,504,473,3.363,0.0,0.0,0.00,0.0,0
2560,1531,480,2048,473,1034,1.429,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1034,2106,1.756,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,5.423,0.0,0.0,0.00,0.0,0
5120,3072,1696,6144,2542,2542,2.052,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3774,3.528,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,3.825,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4614,5454,4.298,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5454,5831,11.033,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,3.598,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7991,5.293,0.0,0.0,0.01,0.0,1
12800,11232,5216,11776,7991,11583,5.327,0.0,0.0,0.01,0.0,1
12800,5216,5183,18432,11583,11467,15.157,0.02,0.0,0.01,0.02,0
14336,10303,2688,18432,11467,16739,5.848,0.0,0.0,0.01,0.0,1
14848,2688,1105,27648,16739,18183,14.406,0.0,0.0,0.01,0.0,0
15360,7799,3424,27648,18183,19311,4.733,0.0,0.0,0.00,0.0,1
17920,11103,4480,27648,19311,22767,6.715,0.0,0.0,0.01,0.0,1
17920,14720,5312,27648,22767,27295,7.679,0.0,0.0,0.01,0.0,1
17920,5312,4779,38912,27295,27140,26.801,0.02,0.0,0.03,0.02,0
17920,15019,8192,38912,27140,32964,12.758,0.02,0.0,0.01,0.02,1
17920,8192,2555,52736,32964,38484,30.367,0.03,0.0,0.03,0.03,0
20992,12283,9760,52736,38484,41084,10.481,0.0,0.0,0.01,0.0,1
19968,19488,12768,52736,41084,47852,13.670,0.02,0.0,0.01,0.02,1
19968,12768,7122,69120,47852,52296,41.483,0.03,0.0,0.04,0.03,0
24576,14290,7168,69120,52296,59536,14.260,0.0,0.0,0.01,0.0,1
23040,14336,14336,69120,59536,59536,11.490,0.02,0.0,0.01,0.02,1
25088,20992,13824,69120,59536,66800,14.288,0.0,0.0,0.01,0.0,1
25088,13824,11209,89600,66800,69112,50.055,0.06,0.0,0.05,0.06,0
27648,17865,11936,89600,69112,75152,15.153,0.0,0.0,0.02,0.0,1
