YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.285,0.0,0.0,0.00,0.0,1
1024,991,512,512,8,80,1.083,0.0,0.0,0.00,0.0,1
1024,1023,512,512,80,240,1.120,0.0,0.0,0.00,0.0,1
1536,1024,512,512,240,500,1.118,0.0,0.0,0.00,0.0,1
1536,512,509,2048,500,457,3.397,0.0,0.0,0.00,0.0,0
1536,1533,480,2048,457,1021,1.236,0.0,0.0,0.00,0.0,1
3584,1504,1024,2048,1021,1021,1.420,0.0,0.0,0.00,0.0,1
3584,3072,1504,2048,1021,1573,2.476,0.0,0.0,0.00,0.0,1
3584,1504,1501,4096,1573,1538,5.357,0.0,0.0,0.01,0.0,0
5120,3549,2016,4096,1538,2090,2.893,0.0,0.0,0.00,0.0,1
5632,5088,2528,4096,2090,3186,3.104,0.0,0.0,0.00,0.0,1
5632,2528,2012,7168,3186,3648,7.009,0.02,0.0,0.01,0.02,0
8192,5084,2656,7168,3648,4648,3.648,0.0,0.0,0.00,0.0,1
8192,7264,2432,7680,4648,7304,4.589,0.0,0.0,0.00,0.0,1
8192,2432,2370,12288,7304,7232,9.193,0.0,0.0,0.01,0.0,0
10752,6469,2112,12288,7232,9648,4.476,0.0,0.0,0.01,0.0,1
10752,8768,3680,12288,9648,11760,5.045,0.0,0.0,0.00,0.0,1
10752,3680,3040,18944,11760,12023,15.625,0.02,0.0,0.02,0.02,0
13824,9696,3456,18944,12023,15119,6.160,0.02,0.0,0.01,0.02,1
13824,12672,4576,19456,15119,19311,7.938,0.0,0.02,0.01,0.02,1
13824,4576,4569,28160,19311,18674,21.767,0.02,0.0,0.02,0.02,0
19456,13785,4800,28160,18674,23306,7.971,0.0,0.0,0.01,0.0,1
19456,4800,0,39424,23306,28006,19.466,0.02,0.0,0.02,0.02,0
20992,12288,6400,39424,28006,28006,5.835,0.0,0.0,0.01,0.0,1
22016,20224,8160,39936,28006,39710,14.964,0.0,0.0,0.01,0.0,1
22016,8160,8148,54784,39710,38495,34.440,0.03,0.0,0.04,0.03,0
24576,21972,13824,54784,38495,46751,17.848,0.03,0.0,0.02,0.03,1
24576,13824,6123,73728,46751,54314,47.165,0.05,0.0,0.05,0.05,0
30208,16875,10784,73728,54314,60538,15.140,0.02,0.0,0.02,0.02,1
27648,21536,19456,73728,60538,62602,17.171,0.02,0.02,0.02,0.04,1
27648,27648,18395,94720,66698,73698,78.764,0.11,0.0,0.08,0.11,0
32256,26587,8224,94720,73698,92394,25.040,0.03,0.0,0.03,0.03,1
32256,8224,5607,122880,92394,94649,65.647,0.06,0.0,0.07,0.06,0
31744,13799,13824,122880,94649,94649,14.143,0.02,0.0,0.01,0.02,1
32256,23040,23040,122880,94649,94649,14.658,0.0,0.0,0.01,0.0,1
31232,32256,26624,122880,94649,100313,28.285,0.06,0.0,0.03,0.06,1
37888,31232,19072,122880,100313,112641,19.268,0.02,0.0,0.02,0.02,1
37888,19072,8799,153088,112641,122567,69.266,0.12,0.0,0.07,0.12,0
36352,13407,9696,153088,122567,126407,20.722,0.02,0.0,0.02,0.02,1
37888,15328,11488,153088,126407,130311,9.860,0.0,0.0,0.01,0.0,1
35840,17120,15872,153088,130311,131559,10.396,0.0,0.0,0.01,0.0,1
36864,23040,18432,153088,131559,136223,14.472,0.02,0.0,0.01,0.02,1
35840,25600,14368,153088,136223,147615,14.940,0.0,0.02,0.01,0.02,1
37376,14368,8653,183296,147615,152764,71.783,0.14,0.0,0.07,0.14,0
38912,18893,10336,183296,152764,161564,21.715,0.02,0.0,0.02,0.02,1
38912,20576,3056,216064,169756,182873,103.441,0.31,0.0,0.10,0.31,0
37888,13296,10304,216064,182873,185985,17.958,0.06,0.0,0.02,0.06,1
38912,22080,22080,216064,185985,185985,12.588,0.02,0.0,0.01,0.02,1
36864,33856,29184,216064,185985,190649,17.817,0.08,0.0,0.02,0.08,1
42496,36864,17856,216064,190649,209969,19.151,0.12,0.0,0.02,0.12,1
42496,17856,11617,253440,209969,215660,90.147,0.36,0.0,0.09,0.36,0
39936,19297,13184,253440,215660,221996,22.966,0.06,0.0,0.02,0.06,1
41472,21888,16448,253440,221996,227508,13.653,0.02,0.0,0.01,0.02,1
39424,25152,17504,253440,227508,235292,14.906,0.02,0.0,0.01,0.02,1
40448,27744,19008,253440,235292,244124,15.031,0.02,0.0,0.01,0.02,1
40448,19008,9174,290816,244124,253310,97.840,0.36,0.0,0.10,0.36,0
39424,19414,14880,290816,253310,258062,23.268,0.09,0.0,0.02,0.09,1
40448,26656,26624,290816,258062,258062,14.397,0.02,0.0,0.01,0.02,1
37888,38400,31232,290816,258062,265246,19.931,0.09,0.02,0.02,0.11,1
24064,37888,16960,290816,265246,286646,18.749,0.06,0.03,0.02,0.09,1
24064,16960,12124,334336,286646,290680,101.939,0.48,0.0,0.10,0.48,0
43520,18780,6784,334336,290680,303016,22.445,0.08,0.06,0.02,0.14,1
44032,13952,7264,334336,303016,309768,10.539,0.02,0.0,0.01,0.02,1
45056,14432,7296,334336,309768,317048,9.437,0.0,0.0,0.01,0.0,1
45056,7296,0,369152,317048,323703,109.427,0.61,0.0,0.11,0.61,0
45056,8704,8864,369152,323703,323703,5.928,0.0,0.0,0.00,0.0,1
45568,18592,18528,369152,323703,323703,10.886,0.02,0.0,0.01,0.02,1
42496,28256,28256,369152,323703,323703,15.909,0.03,0.0,0.02,0.03,1
45568,35936,35904,369152,340087,340087,28.546,0.05,0.0,0.03,0.05,1
44032,43584,42496,369152,340087,341111,21.687,0.12,0.0,0.02,0.12,1
27648,44032,25824,369152,341111,359655,21.492,0.08,0.03,0.02,0.11,1
27648,25824,7769,418816,359655,368999,154.706,0.83,0.03,0.15,0.86,0
49664,9305,3872,418816,368999,374639,23.819,0.11,0.0,0.02,0.11,1
50176,5408,4320,418816,374639,375775,6.178,0.0,0.0,0.01,0.0,1
49664,5856,3168,418816,375775,378487,6.220,0.02,0.0,0.01,0.02,1
50176,5216,2176,418816,378487,381567,6.111,0.0,0.0,0.01,0.0,1
48128,4224,2112,418816,381567,383647,6.726,0.02,0.0,0.01,0.02,1
5632,4672,2656,418816,383647,385719,6.309,0.0,0.0,0.01,0.0,1
46080,5216,2656,418816,385719,388319,7.190,0.0,0.0,0.01,0.0,1
6656,5728,3168,418816,388319,390919,6.645,0.02,0.0,0.01,0.02,1
43008,6240,3136,418816,390919,394047,6.945,0.0,0.0,0.01,0.0,1
8704,7232,4192,418816,394047,397159,7.604,0.02,0.0,0.01,0.02,1
39424,8288,4160,418816,397159,401319,7.518,0.0,0.0,0.01,0.0,1
10752,9280,5216,418816,401319,405479,8.020,0.02,0.0,0.01,0.02,1
36352,10336,5216,418816,405479,410679,8.768,0.0,0.0,0.01,0.0,1
38400,5216,0,459264,410679,414760,143.518,0.73,0.02,0.14,0.75,0
35328,6144,6240,459264,414760,414760,7.108,0.0,0.0,0.01,0.0,1
14848,13408,7264,459264,414760,420984,8.773,0.02,0.0,0.01,0.02,1
33280,14432,7264,459264,420984,428256,9.114,0.02,0.0,0.01,0.02,1
16896,15456,8288,459264,428256,435528,9.156,0.02,0.0,0.01,0.02,1
31232,16480,8256,459264,435528,443840,9.950,0.02,0.0,0.01,0.02,1
32768,17984,9824,459264,443840,452128,10.039,0.0,0.0,0.01,0.0,1
32768,9824,2030,509952,452128,459131,165.620,1.08,0.0,0.17,1.08,0
31232,11758,9824,509952,459131,461227,42.903,0.12,0.0,0.04,0.12,1
32256,20576,20544,509952,461227,461227,14.037,0.03,0.0,0.01,0.03,1
30208,31296,24576,509952,461227,467971,18.868,0.09,0.02,0.02,0.11,1
36864,30208,13376,509952,467971,485179,19.963,0.09,0.0,0.02,0.09,1
32768,19008,11360,509952,485179,492923,12.580,0.02,0.0,0.01,0.02,1
34816,18016,6784,509952,492923,504331,12.878,0.02,0.0,0.01,0.02,1
34816,6784,518,568320,504331,509609,177.183,0.91,0.0,0.18,0.91,0
