YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.223,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,92,1.021,0.0,0.0,0.00,0.0,1
1536,1536,512,512,92,508,1.279,0.0,0.0,0.00,0.0,1
1536,512,511,2048,508,469,3.126,0.0,0.0,0.00,0.0,0
2560,1535,480,2048,469,1037,1.276,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1037,2106,1.754,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.002,0.0,0.0,0.00,0.0,0
5120,3072,1664,6144,2542,2542,1.804,0.0,0.0,0.00,0.0,1
5632,4736,2016,6144,2542,3774,2.789,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4614,3.414,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4614,5454,3.791,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5454,5831,10.891,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,4.216,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7991,5.682,0.0,0.0,0.00,0.0,1
12800,11232,5248,11776,7991,11575,5.262,0.0,0.0,0.01,0.0,1
12800,5248,5188,18432,11575,11462,14.656,0.02,0.0,0.01,0.02,0
14336,10308,2688,18432,11462,16726,7.109,0.02,0.0,0.01,0.02,1
14848,2688,1105,27648,16726,18183,16.882,0.02,0.0,0.02,0.02,0
15360,7799,3424,27648,18183,19311,4.945,0.0,0.0,0.00,0.0,1
17920,11103,4480,27648,19311,22767,6.480,0.0,0.0,0.01,0.0,1
17920,14720,5344,27648,22767,27287,6.554,0.0,0.0,0.01,0.0,1
17920,5344,4779,38912,27287,27140,29.091,0.02,0.0,0.03,0.02,0
17920,15019,8192,38912,27140,32972,11.622,0.02,0.0,0.01,0.02,1
17920,8192,2555,52736,32972,38493,26.953,0.02,0.0,0.03,0.02,0
20992,12283,9760,52736,38493,41093,10.203,0.0,0.0,0.01,0.0,1
19968,19488,12768,52736,41093,47861,14.131,0.0,0.0,0.02,0.0,1
19968,12768,7122,69120,47861,52306,45.285,0.05,0.0,0.05,0.05,0
24576,14290,7200,69120,52306,59546,14.866,0.0,0.0,0.01,0.0,1
23040,14368,14368,69120,59546,59546,9.842,0.0,0.0,0.01,0.0,1
25088,21024,13824,69120,59546,66810,13.944,0.0,0.0,0.01,0.0,1
25088,13824,11720,89088,66810,68611,54.349,0.06,0.0,0.05,0.06,0
27648,18376,12160,89088,68611,74955,16.952,0.03,0.0,0.02,0.03,1
28160,20352,19936,89088,74955,75347,12.783,0.0,0.0,0.01,0.0,1
32768,28128,16224,89088,75347,87435,17.687,0.03,0.0,0.02,0.03,1
32768,16224,16164,110080,87435,85079,68.699,0.11,0.0,0.07,0.11,0
33792,25380,17408,110080,85079,93159,15.766,0.02,0.0,0.02,0.02,1
31744,26624,25600,110080,93159,94159,15.289,0.0,0.0,0.02,0.0,1
36352,31744,14880,111616,94159,111271,17.034,0.02,0.0,0.02,0.02,1
36352,14880,14319,142336,111271,111401,69.197,0.16,0.0,0.07,0.16,0
34816,20463,6208,142336,111401,125953,17.871,0.03,0.02,0.02,0.05,1
35840,6208,0,166912,125953,131830,58.306,0.16,0.0,0.06,0.16,0
36352,7168,7200,166912,131830,131830,5.689,0.0,0.0,0.01,0.0,1
36864,15904,15904,166912,131830,131830,8.346,0.0,0.0,0.01,0.0,1
