YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.482,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,80,0.877,0.0,0.0,0.00,0.0,1
1536,1536,512,512,80,504,1.447,0.0,0.0,0.00,0.0,1
1536,512,511,2048,504,469,3.475,0.0,0.0,0.00,0.0,0
2560,1535,480,2048,469,1030,1.433,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1030,2102,1.719,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2102,2542,5.002,0.0,0.0,0.00,0.0,0
5120,3072,1696,6144,2542,2542,2.097,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3766,3.271,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3766,4598,3.853,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4598,5438,4.913,0.02,0.0,0.00,0.02,1
8704,4064,3545,10752,5438,5820,14.774,0.0,0.0,0.01,0.0,0
9728,8099,5088,10752,5820,6612,3.942,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6612,7988,5.732,0.0,0.0,0.00,0.0,1
12800,11232,5216,11776,7988,11580,5.813,0.02,0.0,0.01,0.02,1
12800,5216,5189,18432,11580,11459,14.416,0.0,0.0,0.01,0.0,0
14336,10309,2688,18432,11459,16731,6.107,0.0,0.0,0.01,0.0,1
14848,2688,1106,27648,16731,18182,15.096,0.0,0.0,0.01,0.0,0
15360,7796,3424,27648,18182,19318,5.222,0.02,0.0,0.01,0.02,1
16896,11104,7648,27648,19318,19550,6.832,0.02,0.0,0.01,0.02,1
17920,16864,4800,27648,19550,27302,8.592,0.0,0.0,0.01,0.0,1
17920,4800,4249,39424,27302,27140,27.348,0.02,0.0,0.03,0.02,0
19456,13465,7648,39424,27140,31468,10.113,0.0,0.0,0.01,0.0,1
20480,18400,9696,40448,31468,40268,12.612,0.0,0.0,0.01,0.0,1
20480,9696,9681,54784,40268,39018,35.595,0.02,0.0,0.04,0.02,0
26624,20433,10784,54784,39018,48826,15.915,0.0,0.0,0.02,0.0,1
26624,10784,5099,73728,48826,54320,40.622,0.03,0.0,0.04,0.03,0
27648,17387,12320,73728,54320,59512,15.716,0.02,0.0,0.02,0.02,1
26112,24608,16896,73728,59512,67288,18.972,0.02,0.02,0.02,0.04,1
26112,16896,10220,95232,67288,73712,59.234,0.08,0.0,0.06,0.08,0
31744,19436,9248,95232,73712,84104,19.595,0.0,0.0,0.02,0.0,1
32768,9248,0,116224,84104,91083,66.934,0.12,0.0,0.07,0.12,0
32768,11264,11296,116224,91083,91083,6.897,0.02,0.0,0.01,0.02,1
31232,22560,21504,116224,91083,92123,15.270,0.0,0.0,0.01,0.0,1
