DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,440,1.688,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.507,0.02,0.00,0.00,0.02,0
1152,1151,40,1600,440,959,2.252,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.712,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.211,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.901,0.00,0.00,0.00,0.0,0
1536,1408,128,3308,1983,2617,1.636,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.336,0.00,0.00,0.00,0.0,0
2688,1536,0,5768,2617,3460,4.895,0.00,0.00,0.01,0.0,0
2688,2432,255,5768,3460,4512,3.658,0.00,0.00,0.00,0.0,1
2688,2687,256,5768,4512,5755,3.843,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.332,0.02,0.00,0.00,0.02,0
5376,2688,0,11888,5755,7132,9.251,0.00,0.00,0.01,0.0,0
5376,4800,576,11888,7132,9027,5.753,0.00,0.00,0.01,0.0,1
5376,5376,576,11888,9027,11747,6.830,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.259,0.00,0.00,0.01,0.0,0
10880,5376,411,23976,11747,14383,14.939,0.02,0.00,0.02,0.02,0
10880,9728,1151,23976,14383,18409,13.370,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18409,23929,13.486,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.672,0.02,0.00,0.01,0.02,0
21888,10879,1073,48396,23929,29035,24.430,0.03,0.00,0.02,0.03,0
21888,19520,2368,48396,29035,39323,27.657,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.399,0.02,0.02,0.04,0.04,0
44288,21888,2228,98260,39323,58955,44.865,0.05,0.00,0.04,0.05,0
44288,39424,4863,98260,58955,93491,61.510,0.02,0.03,0.06,0.05,1
0,0,0,0,0,0,71.350,0.03,0.02,0.07,0.05,0
99712,44287,1014,221480,93491,132887,129.156,0.14,0.00,0.13,0.14,0
99712,88640,11071,221480,132887,210427,145.206,0.12,0.03,0.15,0.15,1
0,0,0,0,0,0,174.278,0.14,0.03,0.17,0.17,0
224448,99711,10929,498636,210427,299179,236.053,0.22,0.00,0.24,0.22,0
224448,199552,24896,498636,299179,473809,334.248,0.28,0.03,0.33,0.31000000000000005,1
0,0,0,0,0,0,375.770,0.31,0.06,0.38,0.37,0
505152,224448,24796,1122376,473809,673423,542.878,0.55,0.00,0.54,0.55,0
505152,449088,56064,1122376,673423,1066421,772.730,0.66,0.09,0.77,0.75,1
0,0,0,0,0,0,721.710,0.59,0.09,0.72,0.6799999999999999,0
1098496,505152,55883,2440980,1066421,1464587,1141.996,1.14,0.00,1.14,1.14,0
1098496,976448,122048,2440980,1464587,2318955,1727.329,1.45,0.27,1.73,1.72,1
0,0,0,0,0,0,1729.261,1.30,0.36,1.73,1.6600000000000001,0
2471680,1098496,27704,5492520,2318955,3295511,3341.692,3.34,0.00,3.34,3.34,0
2471680,2197056,274623,5492520,3295511,5217908,3896.710,3.28,0.61,3.90,3.8899999999999997,1
0,0,0,0,0,0,3766.307,3.25,0.47,3.77,3.7199999999999998,0
5345280,2471679,274624,11878400,5217908,7414936,6363.607,6.05,0.02,6.36,6.069999999999999,0
5345280,4311947,593919,11878400,7414936,11125099,11230.256,6.86,2.89,11.23,9.75,1
0,0,0,0,0,0,0.109,0.00,0.00,0.00,0.0,0
5345280,5345279,4313166,11878400,11125099,11878399,105566.547,10.66,34.48,105.57,45.14,0
5345280,5345280,5345276,11878400,11878399,11878399,137727.924,10.44,46.48,137.73,56.919999999999995,0
5345280,5345279,5214208,11878400,11878399,11878399,191056.082,12.88,65.98,191.06,78.86,0
5345280,5345279,5345279,11878400,11878399,11878399,144631.843,10.38,45.00,144.63,55.38,0
5345280,5345279,5345275,11878400,11878399,11878399,198082.279,13.28,64.31,198.08,77.59,0
5345280,5345279,5345279,11878400,11878399,11878399,151431.891,10.12,46.98,151.43,57.099999999999994,0
5345280,5345279,5345279,11878400,11878399,11878399,169379.729,10.11,42.70,169.38,52.81,0
5345280,5345279,5345279,11878400,11878400,11878400,145614.234,10.05,51.17,145.62,61.22,0
5345280,5345279,5345279,11878400,11878400,11878400,139765.503,9.95,48.39,139.76,58.34,0
5345280,5345279,5345278,11878400,11878400,11878399,190291.204,12.47,64.56,190.29,77.03,0
5345280,5345279,5345276,11878400,11878399,11878399,217929.146,12.33,64.23,217.93,76.56,0
