DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,2.168,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.305,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.727,0.02,0.00,0.00,0.02,0
1152,1024,127,1600,959,1375,1.999,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.263,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.388,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,2.178,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.204,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.544,0.00,0.00,0.01,0.0,0
2688,2431,256,5768,3460,4512,3.571,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,3.127,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,4.372,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,10.581,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,7.453,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,7.323,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.976,0.00,0.00,0.01,0.0,0
10880,5376,387,23976,11746,14383,15.290,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14383,18415,14.471,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,13.186,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.570,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29035,24.811,0.03,0.00,0.02,0.03,0
21888,19520,2367,48396,29035,39345,28.066,0.03,0.00,0.03,0.03,1
0,0,0,0,0,0,35.438,0.03,0.00,0.04,0.03,0
44288,21887,2245,98260,39345,58955,46.046,0.05,0.00,0.04,0.05,0
44288,39424,4863,98260,58955,93487,62.984,0.02,0.03,0.06,0.05,1
0,0,0,0,0,0,77.220,0.06,0.00,0.08,0.06,0
99840,44287,887,221688,93487,133011,135.942,0.12,0.00,0.14,0.12,0
99840,88768,11071,221688,133011,210680,150.846,0.11,0.03,0.15,0.14,1
0,0,0,0,0,0,177.413,0.11,0.05,0.18,0.16,0
224704,99839,10911,499300,210680,299580,259.344,0.22,0.00,0.26,0.22,0
224704,199744,24959,499300,299580,474337,347.916,0.28,0.03,0.35,0.31000000000000005,1
0,0,0,0,0,0,393.330,0.33,0.05,0.39,0.38,0
505728,224703,24799,1123688,474337,674212,550.816,0.48,0.00,0.55,0.48,0
505728,449600,56128,1123688,674212,1067656,795.573,0.66,0.11,0.79,0.77,1
0,0,0,0,0,0,747.562,0.70,0.05,0.75,0.75,0
1097280,505728,55938,2438368,1067656,1463020,1176.608,1.17,0.00,1.18,1.17,0
1097280,975360,121920,2438368,1463020,2316429,1786.059,1.58,0.14,1.79,1.7200000000000002,1
0,0,0,0,0,0,1776.969,1.33,0.23,1.78,1.56,0
2468992,1097280,27533,5486568,2316429,3291939,3452.091,3.34,0.00,3.45,3.34,0
2468992,2194688,274303,5486568,3291939,5212290,3987.465,3.45,0.44,3.99,3.89,1
0,0,0,0,0,0,3925.455,3.23,0.53,3.93,3.76,0
5099520,2468991,274233,11332288,5212290,7407019,6477.226,6.11,0.00,6.48,6.11,0
5099520,4394749,566592,11332288,7407019,11152427,13021.332,7.44,4.98,13.02,12.420000000000002,1
0,0,0,0,0,0,0.135,0.00,0.00,0.00,0.0,0
5099520,5099520,5082849,11332288,11152427,11152427,122045.730,10.66,29.84,122.05,40.5,0
5099520,5099519,5099519,11332288,11332288,11332288,117246.005,10.81,44.08,117.25,54.89,0
5099520,5099519,5099519,11332288,11332288,10939067,164550.261,11.02,49.39,164.55,60.41,0
5099520,5099519,5099519,11332288,11332287,11332287,120535.835,9.70,40.64,120.55,50.34,0
5099520,5099519,5099519,11332288,11332287,11332287,128134.101,9.56,41.31,128.13,50.870000000000005,0
5099520,5099519,5099519,11332288,11332287,11332287,132915.424,9.72,41.34,132.92,51.06,0
5099520,5099519,5099519,11332288,11332287,11332286,179565.933,11.23,52.22,179.57,63.45,0
5099520,5099519,5099519,11332288,11332287,11332287,126766.837,10.08,34.58,126.77,44.66,0
5099520,5099519,5099519,11332288,11332287,11332284,188127.291,11.34,49.62,188.13,60.959999999999994,0
