DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.700,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.197,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,1.907,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.551,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.096,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.846,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.827,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.616,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,3.966,0.00,0.00,0.00,0.0,0
2688,2431,255,5768,3460,4512,2.841,0.00,0.00,0.00,0.0,1
2688,2687,255,5768,4512,5755,3.078,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,4.176,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,10.626,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,5.459,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,6.506,0.02,0.00,0.01,0.02,1
0,0,0,0,0,0,5.804,0.00,0.00,0.01,0.0,0
10880,5376,386,23976,11746,14384,13.885,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18415,12.958,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,12.327,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.183,0.02,0.00,0.01,0.02,0
21888,10879,1080,48396,23936,29036,25.640,0.02,0.00,0.02,0.02,0
21888,19520,2368,48396,29036,39354,27.104,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,36.133,0.00,0.03,0.04,0.03,0
44288,21888,2254,98260,39354,58955,45.741,0.05,0.00,0.05,0.05,0
44288,39424,4863,98260,58955,93487,61.177,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,71.106,0.06,0.00,0.07,0.06,0
99712,44287,1014,221480,93487,132887,137.961,0.14,0.00,0.14,0.14,0
99712,88640,11072,221480,132887,210424,147.805,0.11,0.03,0.15,0.14,1
0,0,0,0,0,0,175.061,0.12,0.03,0.18,0.15,0
224320,99712,11058,498416,210424,299047,251.109,0.25,0.00,0.25,0.25,0
224320,199424,24895,498416,299047,473550,353.408,0.28,0.03,0.35,0.31000000000000005,1
0,0,0,0,0,0,389.737,0.36,0.02,0.39,0.38,0
504832,224319,24828,1121688,473550,673011,619.897,0.61,0.00,0.62,0.61,0
504832,448768,56064,1121688,673011,1065690,790.564,0.72,0.08,0.79,0.7999999999999999,1
0,0,0,0,0,0,722.888,0.59,0.12,0.72,0.71,0
1092672,504832,55970,2427996,1065690,1456796,1230.443,1.12,0.02,1.23,1.1400000000000001,0
1092672,971328,121344,2427996,1456796,2306751,1801.722,1.47,0.34,1.80,1.81,1
0,0,0,0,0,0,1709.122,1.36,0.34,1.71,1.7000000000000002,0
2458624,1092672,27071,5463520,2306751,3278111,3343.789,3.33,0.02,3.34,3.35,0
2458624,2185472,273151,5463520,3278111,5190396,3807.194,3.27,0.52,3.81,3.79,1
0,0,0,0,0,0,3820.841,3.23,0.55,3.82,3.7800000000000002,0
4454400,2458623,273086,9898688,5190396,7375907,6195.041,6.19,0.02,6.19,6.21,0
0,0,0,0,0,0,8736.855,7.34,1.14,8.74,8.48,0
4454400,3959488,1436680,9898688,7375907,9898687,17689.148,10.00,2.91,17.69,12.91,0
4454400,4454399,4454384,9898688,9898687,9898687,14711.668,12.08,1.59,14.71,13.67,0
4454400,4454399,4061184,9898688,9898687,9898687,18853.865,15.08,2.75,18.85,17.83,0
4454400,4454399,4454399,9898688,9898687,9898687,21058.767,11.92,5.70,21.06,17.62,0
4454400,4454399,4454395,9898688,9898687,9898687,44253.864,14.45,18.22,44.26,32.67,0
4454400,4454399,4454399,9898688,9898687,9898687,24282.119,12.98,8.22,24.28,21.200000000000003,0
4454400,4454399,4454399,9898688,9898687,9898687,18926.850,13.25,5.19,18.93,18.44,0
4454400,4454400,4454400,9898688,9898688,9898688,18591.418,12.70,4.17,18.59,16.869999999999997,0
4454400,4454400,4454398,9898688,9898688,9898687,43962.836,13.00,14.53,43.97,27.53,0
4454400,4454399,4454399,9898688,9898687,9898687,25581.924,10.75,7.64,25.58,18.39,0
