DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,2.016,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.266,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.251,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1374,1.411,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.251,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1374,1984,3.430,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1984,2617,2.003,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.936,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3459,3.994,0.00,0.00,0.00,0.0,0
2688,2432,256,5768,3459,4512,2.536,0.00,0.00,0.00,0.0,1
2688,2688,256,5768,4512,5755,2.880,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,4.302,0.00,0.00,0.00,0.0,0
5376,2688,0,11888,5755,7132,8.757,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,5.530,0.02,0.00,0.01,0.02,1
5376,5375,576,11888,9027,11746,6.513,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.469,0.00,0.00,0.00,0.0,0
10880,5376,387,23976,11746,14384,13.206,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18415,13.192,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,11.976,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.802,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29036,24.138,0.03,0.00,0.02,0.03,0
21888,18427,2367,48396,29036,43096,32.691,0.03,0.00,0.03,0.03,1
0,0,0,0,0,0,36.190,0.02,0.02,0.04,0.04,0
47040,21887,2350,104340,43096,62604,48.155,0.05,0.00,0.05,0.05,0
47040,41856,5183,104340,62604,99251,65.715,0.06,0.00,0.07,0.06,1
0,0,0,0,0,0,75.067,0.06,0.00,0.07,0.06,0
105920,47039,1341,235136,99251,141079,140.624,0.16,0.00,0.14,0.16,0
105920,94208,11711,235136,141079,223545,167.316,0.14,0.02,0.17,0.16,1
0,0,0,0,0,0,175.728,0.14,0.02,0.17,0.16,0
238464,105919,11602,529716,223545,317827,258.309,0.27,0.00,0.26,0.27,0
238464,212032,26432,529716,317827,503402,360.667,0.23,0.12,0.36,0.35,1
0,0,0,0,0,0,364.780,0.31,0.05,0.36,0.36,0
518400,216079,26276,1151980,503402,691188,552.538,0.55,0.00,0.55,0.55,0
518400,460800,57599,1151980,691188,1094360,791.844,0.64,0.12,0.79,0.76,1
0,0,0,0,0,0,739.080,0.62,0.09,0.74,0.71,0
1122048,518399,57421,2493200,1094360,1495919,1183.587,1.17,0.00,1.18,1.17,0
1122048,997440,124607,2493200,1495919,2368722,1789.464,1.48,0.28,1.79,1.76,1
0,0,0,0,0,0,1756.027,1.25,0.47,1.76,1.72,0
2524672,1122047,30371,5610276,2368722,3366163,3420.438,3.39,0.02,3.42,3.41,0
2524672,2244160,280512,5610276,3366163,5329781,3973.689,3.50,0.44,3.97,3.94,1
0,0,0,0,0,0,3917.444,3.11,0.80,3.92,3.91,0
3962880,2524672,280499,8806400,5329781,7573928,6343.006,6.23,0.00,6.34,6.23,0
0,0,0,0,0,0,0.125,0.00,0.00,0.00,0.0,0
3962880,3522560,2290061,8806400,7573928,8806399,9971.813,9.59,0.30,9.97,9.89,0
3962880,3962879,3962873,8806400,8806399,8806399,10148.689,10.12,0.00,10.15,10.12,0
3962880,3962879,3569663,8806400,8806399,8806399,11681.922,11.61,0.00,11.68,11.61,0
3962880,3962879,3962879,8806400,8806399,8806399,9708.108,9.58,0.02,9.71,9.6,0
3962880,3962879,3962875,8806400,8806399,8806399,12250.247,12.17,0.00,12.25,12.17,0
3962880,3962879,3962879,8806400,8806399,8806399,9710.385,9.64,0.02,9.71,9.66,0
3962880,3962879,3962879,8806400,8806399,8806399,9750.912,9.77,0.00,9.75,9.77,0
3962880,3962879,3962879,8806400,8806399,8806399,9717.890,9.64,0.00,9.72,9.64,0
3962880,3962879,3962878,8806400,8806399,8806399,12220.788,12.17,0.00,12.22,12.17,0
3962880,3962879,3962878,8806400,8806399,8806399,9825.665,9.72,0.00,9.83,9.72,0
