DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,2.197,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.758,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.811,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,2.151,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.513,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,3.754,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,2.418,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.530,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,5.266,0.00,0.00,0.01,0.0,0
2688,2431,256,5768,3460,4512,3.819,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,4.081,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.505,0.00,0.00,0.01,0.0,0
5376,2687,0,11888,5755,7132,11.284,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,7.005,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,7.960,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,7.061,0.00,0.00,0.01,0.0,0
10880,5376,400,23976,11746,14383,19.329,0.02,0.00,0.02,0.02,0
10880,9728,1152,23976,14383,18402,16.351,0.00,0.00,0.02,0.0,1
10880,10880,1152,23976,18402,23923,12.803,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.197,0.00,0.00,0.01,0.0,0
21888,10880,1066,48396,23923,29035,30.303,0.03,0.00,0.03,0.03,0
21888,19520,2367,48396,29035,39328,30.280,0.03,0.00,0.03,0.03,1
0,0,0,0,0,0,39.344,0.03,0.00,0.04,0.03,0
44288,21887,2230,98260,39328,58955,50.752,0.05,0.00,0.05,0.05,0
44288,39424,4863,98260,58955,93488,73.890,0.05,0.00,0.07,0.05,1
0,0,0,0,0,0,75.594,0.05,0.02,0.08,0.07,0
99712,44287,1018,221480,93488,132887,144.973,0.16,0.00,0.15,0.16,0
99712,88640,11071,221480,132887,210429,166.332,0.14,0.02,0.17,0.16,1
0,0,0,0,0,0,229.553,0.08,0.02,0.23,0.1,0
224448,99711,10931,498636,210429,299179,353.912,0.25,0.00,0.35,0.25,0
224448,199552,24895,498636,299179,473811,399.765,0.33,0.06,0.40,0.39,1
0,0,0,0,0,0,426.181,0.33,0.06,0.43,0.39,0
505152,224447,24801,1122376,473811,673424,623.976,0.59,0.00,0.62,0.59,0
505152,449088,56064,1122376,673424,1066421,1941.014,0.77,0.52,1.94,1.29,1
0,0,0,0,0,0,1031.863,0.50,0.20,1.03,0.7,0
1094784,505152,55886,2432660,1066421,1459595,1637.977,1.38,0.17,1.64,1.5499999999999998,0
1094784,973184,121600,2432660,1459595,2311151,2053.910,1.75,0.25,2.05,2.0,1
0,0,0,0,0,0,1834.849,1.34,0.39,1.84,1.73,0
2463296,1094784,27386,5473856,2311151,3284311,3432.154,3.28,0.05,3.43,3.3299999999999996,0
2463296,2189632,273663,5473856,3284311,5200251,3857.019,3.20,0.61,3.86,3.81,1
0,0,0,0,0,0,3869.264,3.09,0.77,3.87,3.86,0
4669440,2463295,273625,10376576,5200251,7389892,6188.950,6.08,0.00,6.19,6.08,0
0,0,0,0,0,0,10474.550,6.88,1.66,10.48,8.54,0
4669440,4150656,1163943,10376576,7389892,10376575,51790.376,7.47,16.86,51.79,24.33,0
4669440,4669439,4669422,10376576,10376575,10376575,31816.879,12.16,11.45,31.82,23.61,0
4669440,4669439,4276224,10376576,10376575,10376575,31243.077,15.77,9.00,31.24,24.77,0
4669440,4669439,4669439,10376576,10376575,10376575,76046.649,11.55,29.27,76.05,40.82,0
4669440,4669439,4669435,10376576,10376575,10376575,109656.049,13.08,42.11,109.66,55.19,0
4669440,4669439,4669439,10376576,10376575,10376575,61915.837,10.36,22.33,61.92,32.69,0
4669440,4669439,4669439,10376576,10376575,10376575,57981.438,11.22,22.72,57.98,33.94,0
4669440,4669439,4669439,10376576,10376575,10376575,47340.697,10.98,20.30,47.34,31.28,0
4669440,4669439,4669438,10376576,10376575,10376575,90137.661,13.25,29.70,90.14,42.95,0
4669440,4669439,4669439,10376576,10376575,10376575,62453.730,10.52,28.28,62.45,38.8,0
