DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.617,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.485,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.730,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,2.214,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.529,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.813,0.00,0.00,0.01,0.0,0
1536,1408,128,3308,1983,2617,2.526,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.580,0.00,0.00,0.00,0.0,0
2688,1536,0,5768,2617,3460,5.058,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,4.064,0.00,0.00,0.00,0.0,1
2688,2688,256,5768,4512,5755,5.422,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,6.281,0.00,0.00,0.01,0.0,0
5376,2688,0,11888,5755,7132,11.220,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,6.866,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,8.615,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,7.685,0.00,0.00,0.01,0.0,0
10880,5376,386,23976,11746,14384,18.529,0.02,0.00,0.02,0.02,0
10880,9728,1151,23976,14384,18415,14.598,0.02,0.00,0.01,0.02,1
10880,10879,1151,23976,18415,23936,14.030,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,14.560,0.00,0.00,0.02,0.0,0
21888,10879,1080,48396,23936,29036,32.650,0.03,0.00,0.03,0.03,0
21888,19520,2368,48396,29036,39347,28.343,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,34.451,0.03,0.00,0.03,0.03,0
44288,21888,2248,98260,39347,58955,46.602,0.05,0.00,0.05,0.05,0
44288,39424,4863,98260,58955,93487,74.464,0.03,0.00,0.07,0.03,1
0,0,0,0,0,0,84.718,0.05,0.00,0.08,0.05,0
99712,44287,1012,221480,93487,132887,151.282,0.11,0.02,0.15,0.13,0
99712,88640,11071,221480,132887,210429,176.156,0.12,0.02,0.18,0.13999999999999999,1
0,0,0,0,0,0,173.572,0.16,0.02,0.17,0.18,0
224448,99711,10930,498636,210429,299179,245.585,0.23,0.00,0.25,0.23,0
224448,199552,24896,498636,299179,473810,371.463,0.31,0.06,0.37,0.37,1
0,0,0,0,0,0,410.861,0.31,0.09,0.41,0.4,0
505152,224448,24805,1122376,473810,673424,584.301,0.58,0.02,0.58,0.6,0
505152,449088,56063,1122376,673424,1066420,786.293,0.58,0.20,0.79,0.78,1
0,0,0,0,0,0,754.118,0.72,0.03,0.75,0.75,0
1097216,505151,55949,2438100,1066420,1462860,1282.947,1.11,0.00,1.28,1.11,0
1097216,975360,121856,2438100,1462860,2316334,1781.849,1.39,0.36,1.78,1.75,1
0,0,0,0,0,0,1723.584,1.41,0.31,1.72,1.72,0
2468800,1097216,27639,5486120,2316334,3291671,3331.582,3.27,0.02,3.33,3.29,0
2468800,2194496,274304,5486120,3291671,5211835,4602.470,3.47,0.56,4.60,4.03,1
0,0,0,0,0,0,3746.603,3.17,0.53,3.75,3.7,0
4915200,2468800,274304,10922688,5211835,7406303,5795.820,5.78,0.02,5.80,5.8,0
0,0,0,0,0,0,19904.919,5.95,5.75,19.90,11.7,0
4915200,4332109,796331,10922688,7406303,10922688,71927.721,7.92,18.91,71.93,26.83,0
4915200,4915199,4653034,10922688,10922688,10922688,98494.319,11.44,35.56,98.49,47.0,0
4915200,4915199,4769152,10922688,10922688,10922687,115755.755,14.53,48.20,115.76,62.730000000000004,0
4915200,4915199,4915199,10922688,10922687,10922687,112777.811,11.30,42.42,112.78,53.72,0
4915200,4915199,4915195,10922688,10922687,10922687,145295.672,13.42,48.34,145.30,61.760000000000005,0
4915200,4915199,4915199,10922688,10922687,10922687,113647.796,9.67,31.34,113.65,41.01,0
4915200,4915199,4915199,10922688,10922687,10922687,113094.059,10.27,30.98,113.10,41.25,0
4915200,4915199,4915199,10922688,10922687,10922687,103035.856,10.55,36.50,103.04,47.05,0
4915200,4915199,4915198,10922688,10922687,10922687,157005.291,13.53,56.11,157.01,69.64,0
4915200,4915199,4915198,10922688,10922687,10922687,108877.249,10.53,32.33,108.88,42.86,0
