DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.540,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.226,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,1.809,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.260,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.105,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.033,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.833,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.358,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,3.520,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,2.495,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,2.789,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.744,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,8.399,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,5.125,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,5.866,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.576,0.00,0.00,0.01,0.0,0
10880,5376,410,23976,11746,14384,15.500,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18407,13.321,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18407,23931,12.445,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.079,0.00,0.00,0.01,0.0,0
21888,10879,1072,48396,23931,29035,25.147,0.03,0.00,0.03,0.03,0
21888,19520,2367,48396,29035,40993,30.898,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,36.483,0.03,0.00,0.04,0.03,0
45440,21887,2360,100820,40993,60491,48.227,0.05,0.00,0.05,0.05,0
45440,40448,4991,100820,60491,95921,64.856,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,70.456,0.05,0.02,0.07,0.07,0
102336,45439,1148,227236,95921,136339,129.486,0.12,0.00,0.13,0.12,0
102336,91008,11327,227236,136339,215991,151.462,0.09,0.03,0.15,0.12,1
0,0,0,0,0,0,168.771,0.14,0.02,0.17,0.16,0
230400,102335,11250,511748,215991,307047,254.429,0.25,0.00,0.25,0.25,0
230400,204864,25535,511748,307047,486346,348.493,0.28,0.05,0.35,0.33,1
0,0,0,0,0,0,440.182,0.34,0.06,0.44,0.4,0
518528,230399,25380,1152228,486346,691336,569.050,0.56,0.02,0.57,0.5800000000000001,0
518528,460928,57600,1152228,691336,1094635,807.116,0.69,0.08,0.81,0.7699999999999999,1
0,0,0,0,0,0,795.764,0.58,0.19,0.80,0.77,0
675840,518528,60177,1501888,1094635,1501888,1242.447,1.19,0.00,1.24,1.19,0
675840,675839,647141,1501888,1501888,1501887,2138.123,2.08,0.00,2.14,2.08,0
675840,675839,675839,1501888,1501887,1501887,1685.893,1.67,0.00,1.69,1.67,0
675840,675839,675835,1501888,1501887,1501887,2117.242,2.11,0.00,2.12,2.11,0
675840,675839,675839,1501888,1501887,1501887,1686.925,1.66,0.00,1.69,1.66,0
675840,675839,675839,1501888,1501887,1501887,1671.726,1.66,0.00,1.67,1.66,0
675840,675839,675839,1501888,1501887,1501887,1673.520,1.67,0.00,1.67,1.67,0
675840,675839,675838,1501888,1501887,1501887,2105.490,2.08,0.00,2.11,2.08,0
675840,675839,675839,1501888,1501887,1501887,1698.491,1.64,0.00,1.70,1.64,0
