DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,440,1.777,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.328,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,440,959,2.368,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.501,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.306,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,3.248,0.00,0.00,0.00,0.0,0
1536,1408,128,3308,1983,2617,2.071,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.775,0.00,0.00,0.00,0.0,0
2688,1536,0,5768,2617,3460,4.489,0.00,0.00,0.01,0.0,0
2688,2432,256,5768,3460,4512,3.915,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,3.359,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.645,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,9.457,0.00,0.00,0.01,0.0,0
5376,4800,576,11888,7132,9027,5.653,0.00,0.00,0.00,0.0,1
5376,5376,576,11888,9027,11747,6.527,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.651,0.00,0.00,0.00,0.0,0
10880,5376,395,23976,11747,14384,14.041,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18400,12.593,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18400,23921,12.169,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.400,0.00,0.00,0.01,0.0,0
21888,10879,1065,48396,23921,29035,25.644,0.03,0.00,0.03,0.03,0
21888,19520,2367,48396,29035,37662,24.961,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.501,0.00,0.03,0.04,0.03,0
43008,21887,2292,95380,37662,57227,45.272,0.03,0.02,0.05,0.05,0
43008,38272,4735,95380,57227,90739,59.844,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,69.054,0.06,0.00,0.07,0.06,0
96832,43007,828,215080,90739,129047,129.032,0.11,0.00,0.13,0.11,0
96832,86080,10751,215080,129047,204349,153.358,0.09,0.02,0.15,0.11,1
0,0,0,0,0,0,170.697,0.05,0.09,0.17,0.14,0
217920,96831,10674,484128,204349,290476,250.302,0.25,0.00,0.25,0.25,0
217920,193728,24192,484128,290476,459985,334.423,0.30,0.02,0.33,0.32,1
0,0,0,0,0,0,416.559,0.34,0.02,0.42,0.36000000000000004,0
490368,217920,24140,1089556,459985,653731,537.528,0.55,0.00,0.54,0.55,0
490368,435904,54463,1089556,653731,1035146,748.409,0.59,0.12,0.75,0.71,1
0,0,0,0,0,0,706.938,0.52,0.17,0.71,0.6900000000000001,0
1038144,426239,54277,2306808,1035146,1384084,1107.600,1.08,0.00,1.11,1.08,0
1038144,922816,115327,2306808,1384084,2191543,1596.295,1.25,0.33,1.60,1.58,1
0,0,0,0,0,0,1518.678,1.11,0.38,1.52,1.4900000000000002,0
2286720,1038143,53851,5081380,2191543,3048827,3143.404,3.11,0.03,3.14,3.1399999999999997,0
2286720,2032704,254015,5081380,3048827,4827486,3607.342,3.09,0.52,3.61,3.61,1
0,0,0,0,0,0,3510.602,2.92,0.55,3.51,3.4699999999999998,0
3870720,2286719,254006,8601600,4827486,6860136,5757.969,5.73,0.03,5.76,5.760000000000001,0
0,0,0,0,0,0,0.168,0.00,0.00,0.00,0.0,0
3870720,3440640,1699145,8601600,6860136,8601599,9400.611,8.81,0.50,9.40,9.31,0
3870720,3157857,3117419,8601600,8601599,8601599,9874.140,9.78,0.03,9.88,9.809999999999999,0
3870720,3117419,2986342,8601600,8601599,8601599,11665.290,11.62,0.00,11.66,11.62,0
