DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,2.336,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.349,0.00,0.00,0.00,0.0,0
1152,1151,41,1600,439,959,2.354,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.657,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.339,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.143,0.00,0.00,0.00,0.0,0
1536,1408,128,3308,1983,2617,1.774,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.755,0.00,0.00,0.00,0.0,0
2688,1536,0,5768,2617,3460,4.335,0.00,0.00,0.01,0.0,0
2688,2431,255,5768,3460,4513,3.399,0.00,0.00,0.00,0.0,1
2688,2687,255,5768,4513,5755,4.737,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.703,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7131,9.678,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7131,9026,4.854,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9026,11746,6.495,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.552,0.00,0.00,0.01,0.0,0
10880,5376,398,23976,11746,14383,15.780,0.02,0.00,0.02,0.02,0
10880,9728,1151,23976,14383,18401,13.899,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18401,23921,12.133,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.776,0.02,0.00,0.01,0.02,0
21888,10879,1065,48396,23921,29035,24.874,0.03,0.00,0.03,0.03,0
21888,18408,2368,48396,29035,43096,33.456,0.03,0.00,0.03,0.03,1
0,0,0,0,0,0,36.015,0.03,0.00,0.04,0.03,0
47040,21888,2350,104340,43096,62604,51.736,0.03,0.00,0.05,0.03,0
47040,41856,5183,104340,62604,99251,66.420,0.08,0.00,0.07,0.08,1
0,0,0,0,0,0,76.362,0.06,0.00,0.08,0.06,0
105984,47039,1210,235340,99251,141203,141.642,0.14,0.00,0.14,0.14,0
105984,94272,11711,235340,141203,223732,167.305,0.14,0.02,0.17,0.16,1
0,0,0,0,0,0,197.066,0.14,0.03,0.20,0.17,0
238592,105983,11654,530056,223732,318031,258.752,0.25,0.00,0.26,0.25,0
238592,212096,26496,530056,318031,503607,373.275,0.31,0.05,0.37,0.36,1
0,0,0,0,0,0,376.196,0.22,0.12,0.38,0.33999999999999997,0
518400,216223,26320,1151908,503607,691143,563.113,0.56,0.00,0.56,0.56,0
518400,460800,57600,1151908,691143,1094313,821.442,0.64,0.17,0.82,0.81,1
0,0,0,0,0,0,754.736,0.61,0.14,0.75,0.75,0
1128128,518400,57509,2506840,1094313,1504103,1219.583,1.17,0.00,1.22,1.17,0
1128128,1002816,125311,2506840,1504103,2381576,1872.745,1.59,0.19,1.87,1.78,1
0,0,0,0,0,0,1761.715,1.39,0.31,1.76,1.7,0
2538368,1128127,31055,5640688,2381576,3384411,3470.753,3.42,0.02,3.47,3.44,0
2538368,2256384,281984,5640688,3384411,5358782,4001.172,3.30,0.52,4.00,3.82,1
0,0,0,0,0,0,3954.150,3.22,0.70,3.95,3.92,0
4608000,2538368,281838,10240000,5358782,7615283,6400.391,6.28,0.00,6.40,6.28,0
0,0,0,0,0,0,10103.246,7.41,2.50,10.11,9.91,0
4608000,4096000,1471256,10240000,7615283,10239999,63696.701,8.88,23.30,63.70,32.18,0
4608000,4607999,4607983,10240000,10239999,10239999,26366.689,10.98,5.70,26.37,16.68,0
4608000,4607999,4214784,10240000,10239999,10239999,27352.531,14.03,4.83,27.35,18.86,0
4608000,4607999,4607999,10240000,10239999,10239999,49794.671,11.08,22.14,49.80,33.22,0
4608000,4607999,4607995,10240000,10239999,10239999,89823.465,13.59,38.55,89.82,52.14,0
4608000,4607999,4607999,10240000,10239999,10239999,39344.789,12.08,15.67,39.35,27.75,0
4608000,4607999,4607999,10240000,10239999,10239999,38721.714,10.62,12.64,38.72,23.259999999999998,0
4608000,4607999,4607999,10240000,10239999,10239999,49672.716,11.30,17.50,49.67,28.8,0
4608000,4607999,4607998,10240000,10239999,10239999,75436.637,13.97,27.16,75.44,41.13,0
4608000,4607999,4607999,10240000,10239999,10239999,58122.061,10.91,23.50,58.12,34.41,0
