DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.937,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.229,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.259,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.647,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.309,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,3.099,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.941,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.071,0.00,0.00,0.00,0.0,0
2688,1535,0,5772,2617,3460,4.560,0.00,0.00,0.00,0.0,0
2688,2431,255,5772,3460,4512,3.188,0.00,0.00,0.00,0.0,1
2688,2687,255,5772,4512,5755,3.500,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.286,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,9.086,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,5.404,0.00,0.00,0.00,0.0,1
5376,5375,575,11888,9027,11747,6.222,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.480,0.00,0.00,0.01,0.0,0
10880,5370,384,23976,11747,14384,13.578,0.02,0.00,0.01,0.02,0
10880,9728,1152,23976,14384,18414,13.476,0.00,0.00,0.01,0.0,1
10880,10880,1152,23976,18414,23934,11.528,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.026,0.00,0.00,0.01,0.0,0
21888,10880,1078,48396,23934,29035,25.373,0.03,0.00,0.02,0.03,0
21888,19520,2368,48396,29035,39347,29.592,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.722,0.03,0.00,0.04,0.03,0
44288,21888,2247,98260,39347,58955,46.481,0.05,0.00,0.05,0.05,0
44288,39424,4863,98260,58955,93487,61.533,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,70.827,0.06,0.00,0.07,0.06,0
99712,44287,1011,221480,93487,132888,130.618,0.11,0.00,0.13,0.11,0
99712,88640,11071,221480,132888,210429,159.752,0.11,0.03,0.16,0.14,1
0,0,0,0,0,0,181.683,0.14,0.02,0.18,0.16,0
224320,99711,11061,498416,210429,299047,270.543,0.25,0.00,0.27,0.25,0
224320,199424,24895,498416,299047,473548,341.205,0.25,0.06,0.34,0.31,1
0,0,0,0,0,0,393.272,0.28,0.09,0.39,0.37,0
504832,224319,24827,1121688,473548,673011,558.527,0.56,0.00,0.56,0.56,0
504832,448768,56063,1121688,673011,1065689,773.951,0.64,0.09,0.77,0.73,1
0,0,0,0,0,0,705.963,0.59,0.09,0.71,0.6799999999999999,0
1095104,504831,56034,2433436,1065689,1460059,1125.707,1.12,0.00,1.12,1.12,0
1095104,973440,121663,2433436,1460059,2311804,1690.549,1.47,0.20,1.69,1.67,1
0,0,0,0,0,0,0.155,0.00,0.00,0.00,0.0,0
1290240,1095103,879232,2867200,2311804,2433435,3290.529,3.27,0.02,3.29,3.29,0
1290240,1290239,1290231,2867200,2867199,2867199,3318.127,3.28,0.00,3.32,3.28,0
1290240,1290239,1290239,2867200,2867199,2867199,3202.597,3.19,0.00,3.20,3.19,0
1290240,1290239,1290235,2867200,2867199,2867200,4039.131,4.03,0.00,4.04,4.03,0
1290240,1290239,1290239,2867200,2867200,2867200,3244.610,3.22,0.00,3.25,3.22,0
1290240,1290239,1290239,2867200,2867200,2867200,3248.131,3.22,0.00,3.25,3.22,0
1290240,1290239,1290239,2867200,2867200,2867200,3236.390,3.22,0.00,3.24,3.22,0
1290240,1290239,1290238,2867200,2867200,2867199,4081.311,4.05,0.00,4.08,4.05,0
1290240,1290239,1290237,2867200,2867199,2867199,4036.520,4.02,0.00,4.04,4.02,0
