DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1024,127,768,0,440,1.504,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.458,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,440,959,2.063,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.525,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.272,0.00,0.00,0.00,0.0,0
1536,1152,34,3308,1375,1983,3.288,0.00,0.00,0.00,0.0,0
1536,1408,128,3308,1983,2617,2.147,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.722,0.00,0.00,0.00,0.0,0
2688,1536,0,5768,2617,3460,4.123,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,3.194,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,3.625,0.02,0.00,0.00,0.02,1
0,0,0,0,0,0,3.385,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,8.860,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,6.215,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,7.587,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.659,0.00,0.00,0.01,0.0,0
10880,5376,401,23976,11746,14384,15.293,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18405,14.472,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18405,23927,12.310,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,10.737,0.00,0.00,0.01,0.0,0
21888,10879,1070,48396,23927,29036,24.630,0.03,0.00,0.02,0.03,0
21888,19520,2368,48396,29036,39329,27.246,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.478,0.03,0.00,0.04,0.03,0
44288,21888,2231,98260,39329,58955,48.600,0.02,0.00,0.05,0.02,0
44288,39424,4863,98260,58955,93488,65.794,0.03,0.02,0.07,0.05,1
0,0,0,0,0,0,69.790,0.06,0.00,0.07,0.06,0
99712,44287,1017,221480,93488,132887,138.650,0.12,0.00,0.14,0.12,0
99712,88640,11071,221480,132887,210429,156.018,0.12,0.02,0.16,0.13999999999999999,1
0,0,0,0,0,0,176.846,0.11,0.05,0.18,0.16,0
224448,99711,10932,498636,210429,299179,238.676,0.23,0.00,0.24,0.23,0
224448,199552,24895,498636,299179,473805,346.056,0.30,0.02,0.35,0.32,1
0,0,0,0,0,0,382.419,0.34,0.03,0.38,0.37,0
505152,224447,24798,1122376,473805,673423,549.530,0.52,0.00,0.55,0.52,0
505152,449088,56064,1122376,673423,1066417,785.206,0.66,0.11,0.79,0.77,1
0,0,0,0,0,0,734.254,0.61,0.08,0.73,0.69,0
1098496,505152,55883,2440980,1066417,1464587,1146.852,1.14,0.00,1.15,1.14,0
1098496,976448,122047,2440980,1464587,2318958,1759.636,1.39,0.33,1.76,1.72,1
0,0,0,0,0,0,1711.527,1.30,0.38,1.71,1.6800000000000002,0
2471680,1098495,27702,5492520,2318958,3295511,3497.987,3.47,0.02,3.50,3.49,0
2471680,2197056,274623,5492520,3295511,5217914,5506.127,4.48,0.66,5.51,5.140000000000001,1
0,0,0,0,0,0,0.125,0.00,0.00,0.00,0.0,0
2887680,2471679,2197047,6417088,5217914,5492519,7366.838,7.05,0.03,7.38,7.08,0
2887680,2887679,2887675,6417088,6417087,6417087,7479.519,7.41,0.00,7.48,7.41,0
2887680,2887679,2887679,6417088,6417087,6417087,7129.176,7.08,0.00,7.13,7.08,0
2887680,2887679,2860356,6417088,6417087,6313335,9242.558,8.98,0.00,9.24,8.98,0
2887680,2887679,2887679,6417088,6417087,6417087,7536.697,6.92,0.00,7.54,6.92,0
2887680,2887679,2887679,6417088,6417087,6417087,7218.780,7.14,0.00,7.22,7.14,0
2887680,2887679,2887679,6417088,6417088,6417088,7222.715,7.08,0.00,7.22,7.08,0
2887680,2887679,2887679,6417088,6417088,6417086,8529.339,8.42,0.00,8.53,8.42,0
2887680,2887680,2887679,6417088,6417087,6417087,7184.516,7.17,0.00,7.18,7.17,0
2887680,2887679,2887679,6417088,6417087,6417084,8823.914,8.59,0.00,8.82,8.59,0
