DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.520,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.309,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.141,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.431,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.060,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,2.714,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,2.161,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.222,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.191,0.00,0.00,0.00,0.0,0
2688,2431,255,5768,3460,4512,2.397,0.00,0.00,0.00,0.0,1
2688,2687,255,5768,4512,5755,2.865,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.700,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,9.315,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,4.895,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,6.056,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.201,0.00,0.00,0.01,0.0,0
10880,5376,387,23976,11746,14383,16.217,0.02,0.00,0.02,0.02,0
10880,9728,1151,23976,14383,18415,12.477,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,12.597,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.459,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29035,23.963,0.03,0.00,0.02,0.03,0
21888,19520,2367,48396,29035,39351,28.270,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.388,0.03,0.00,0.04,0.03,0
44288,21887,2252,98260,39351,58955,44.994,0.05,0.00,0.04,0.05,0
44288,39424,4863,98260,58955,93487,62.858,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,68.966,0.05,0.02,0.07,0.07,0
99712,44287,1014,221480,93487,132887,127.139,0.11,0.00,0.13,0.11,0
99712,88640,11071,221480,132887,210430,144.481,0.09,0.03,0.14,0.12,1
0,0,0,0,0,0,159.468,0.09,0.05,0.16,0.14,0
224448,99711,10931,498636,210430,299179,241.375,0.23,0.02,0.24,0.25,0
224448,199552,24895,498636,299179,473810,326.878,0.25,0.06,0.33,0.31,1
0,0,0,0,0,0,368.055,0.31,0.03,0.37,0.33999999999999997,0
460800,224447,24805,1024000,473810,673423,530.489,0.53,0.00,0.53,0.53,0
0,0,0,0,0,0,737.315,0.59,0.12,0.74,0.71,0
460800,409600,58998,1024000,673423,1023999,857.132,0.86,0.00,0.86,0.86,0
460800,441015,406559,1024000,1023999,1003128,1450.613,1.44,0.00,1.45,1.44,0
460800,406559,406559,1024000,1003128,1003124,1314.067,1.31,0.00,1.31,1.31,0
