DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.856,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.212,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,960,2.022,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,960,1375,1.552,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.266,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,2.998,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.948,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.542,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.106,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,3.645,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,3.667,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.079,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,9.090,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,5.564,0.02,0.00,0.01,0.02,1
5376,5375,576,11888,9027,11746,6.589,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.025,0.00,0.00,0.01,0.0,0
10880,5376,411,23976,11746,14383,14.419,0.02,0.00,0.02,0.02,0
10880,9728,1152,23976,14383,18409,12.775,0.00,0.00,0.01,0.0,1
10880,10880,1151,23976,18409,23929,12.058,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.396,0.00,0.00,0.01,0.0,0
21888,10879,1073,48396,23929,29035,24.645,0.03,0.00,0.03,0.03,0
21888,19520,2367,48396,29035,39320,28.953,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.121,0.03,0.02,0.03,0.05,0
44288,21887,2225,98260,39320,58955,49.003,0.02,0.00,0.05,0.02,0
44288,39424,4863,98260,58955,93491,63.581,0.05,0.02,0.06,0.07,1
0,0,0,0,0,0,77.291,0.06,0.00,0.08,0.06,0
99712,44287,1020,221480,93491,132887,130.896,0.14,0.00,0.13,0.14,0
99712,88640,11071,221480,132887,210429,153.086,0.12,0.02,0.15,0.13999999999999999,1
0,0,0,0,0,0,180.679,0.14,0.03,0.18,0.17,0
224448,99711,10928,498636,210429,299179,256.497,0.27,0.00,0.26,0.27,0
224448,199552,24895,498636,299179,473807,339.240,0.31,0.02,0.34,0.33,1
0,0,0,0,0,0,375.636,0.33,0.05,0.38,0.38,0
505152,224447,24801,1122376,473807,673423,539.461,0.53,0.00,0.54,0.53,0
505152,449088,56064,1122376,673423,1066417,771.835,0.61,0.11,0.77,0.72,1
0,0,0,0,0,0,712.423,0.58,0.12,0.71,0.7,0
1097216,505152,55942,2438100,1066417,1462860,1191.851,1.16,0.02,1.19,1.18,0
1097216,975360,121856,2438100,1462860,2316333,1679.002,1.52,0.12,1.68,1.6400000000000001,1
0,0,0,0,0,0,1644.792,1.39,0.25,1.64,1.64,0
1597440,1097216,27641,3549888,2316333,3291671,3196.023,3.16,0.02,3.20,3.18,0
0,0,0,0,0,0,0.119,0.00,0.00,0.00,0.0,0
1597440,1419968,1161722,3549888,3291671,3549887,4032.895,3.95,0.03,4.03,3.98,0
1597440,1597439,1597433,3549888,3549887,3549887,4073.163,4.06,0.00,4.07,4.06,0
1597440,1597439,1597439,3549888,3549887,3549887,3964.495,3.95,0.00,3.96,3.95,0
1597440,1597439,1597435,3549888,3549887,3549887,5014.533,5.02,0.00,5.01,5.02,0
1597440,1597439,1597439,3549888,3549887,3549887,3985.227,3.97,0.00,3.98,3.97,0
1597440,1597439,1597439,3549888,3549887,3549887,3982.112,3.94,0.02,3.98,3.96,0
1597440,1597439,1597439,3549888,3549887,3549887,4000.278,3.94,0.00,4.00,3.94,0
1597440,1597439,1597438,3549888,3549887,3549887,5008.708,5.00,0.00,5.01,5.0,0
1597440,1597439,1597438,3549888,3549887,3549887,4022.013,3.88,0.00,4.02,3.88,0
