DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.596,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.436,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.477,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.956,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.608,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1984,3.115,0.00,0.00,0.00,0.0,0
1536,1408,127,3308,1984,2617,1.972,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.013,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,5.308,0.00,0.00,0.01,0.0,0
2688,2432,255,5768,3460,4512,3.414,0.00,0.00,0.00,0.0,1
2688,2687,255,5768,4512,5755,3.768,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.773,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,11.653,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,5.693,0.02,0.00,0.01,0.02,1
5376,5375,576,11888,9027,11747,7.434,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.986,0.00,0.00,0.01,0.0,0
10816,5376,447,23876,11747,14324,15.246,0.02,0.00,0.02,0.02,0
10816,9664,1151,23876,14324,18352,14.009,0.00,0.00,0.01,0.0,1
10816,10815,1152,23876,18352,23839,12.400,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.446,0.00,0.00,0.01,0.0,0
21760,10816,1048,48228,23839,28935,26.431,0.02,0.00,0.03,0.02,0
21760,19392,2367,48228,28935,38999,27.015,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.334,0.03,0.00,0.03,0.03,0
43776,21759,2367,97268,38999,58358,46.116,0.05,0.00,0.05,0.05,0
43776,38912,4863,97268,58358,90334,59.284,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,71.715,0.05,0.00,0.07,0.05,0
97088,43775,2955,215556,90334,129331,137.982,0.11,0.00,0.14,0.11,0
97088,86336,10751,215556,129331,204886,155.327,0.12,0.02,0.16,0.13999999999999999,1
0,0,0,0,0,0,168.763,0.16,0.00,0.17,0.16,0
218560,97087,10602,485560,204886,291335,230.265,0.25,0.00,0.23,0.25,0
218560,194304,24255,485560,291335,461358,331.386,0.33,0.00,0.33,0.33,1
0,0,0,0,0,0,367.687,0.28,0.06,0.37,0.34,0
491904,218559,24143,1092900,461358,655739,522.698,0.50,0.00,0.52,0.5,0
491904,437312,54591,1092900,655739,1038433,742.538,0.66,0.06,0.74,0.72,1
0,0,0,0,0,0,756.704,0.53,0.09,0.76,0.62,0
1037952,427013,54581,2306300,1038433,1383779,1153.926,1.06,0.00,1.15,1.06,0
1037952,922688,115264,2306300,1383779,2191177,1578.264,1.36,0.19,1.58,1.55,1
0,0,0,0,0,0,1535.269,1.20,0.31,1.54,1.51,0
2286272,1037952,53806,5080536,2191177,3048319,3146.123,3.14,0.02,3.15,3.16,0
2286272,2032256,254015,5080536,3048319,4826526,3497.627,3.02,0.44,3.50,3.46,1
0,0,0,0,0,0,0.122,0.00,0.00,0.00,0.0,0
2365440,2286271,2032236,5256576,4826526,5080535,6133.602,6.05,0.02,6.13,6.069999999999999,0
2365440,2365439,2365438,5256576,5256575,5256575,5911.142,5.89,0.00,5.91,5.89,0
2365440,2365439,2365439,5256576,5256575,5256575,5763.801,5.77,0.00,5.76,5.77,0
2365440,2365439,2234363,5256576,5256575,5256575,7425.072,7.41,0.02,7.43,7.43,0
2365440,2365439,2365439,5256576,5256575,5256575,5866.951,5.84,0.00,5.87,5.84,0
2365440,2365439,2365439,5256576,5256575,5256575,5858.694,5.84,0.00,5.86,5.84,0
2365440,2365439,2365439,5256576,5256575,5256575,5865.494,5.86,0.00,5.87,5.86,0
2365440,2365439,2365438,5256576,5256575,5256575,7375.477,7.39,0.00,7.38,7.39,0
2365440,2365439,2365439,5256576,5256575,5256575,5867.618,5.86,0.00,5.87,5.86,0
