DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,440,1.673,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.244,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,440,959,1.972,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1374,1.658,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.183,0.00,0.00,0.00,0.0,0
1536,1151,34,3308,1374,1983,2.903,0.00,0.00,0.00,0.0,0
1536,1408,127,3308,1983,2617,1.807,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.990,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,3.924,0.00,0.00,0.00,0.0,0
2688,2432,255,5768,3460,4512,3.538,0.00,0.00,0.00,0.0,1
2688,2687,256,5768,4512,5755,3.600,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.820,0.00,0.00,0.00,0.0,0
5376,2688,0,11888,5755,7132,9.649,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,6.322,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,7.507,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.474,0.00,0.00,0.01,0.0,0
10816,5376,458,23876,11746,14323,13.698,0.02,0.00,0.01,0.02,0
10816,9664,1152,23876,14323,18337,11.964,0.00,0.00,0.01,0.0,1
10816,10815,1152,23876,18337,23825,12.027,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,10.843,0.00,0.00,0.01,0.0,0
21760,10815,1036,48228,23825,28935,24.395,0.03,0.00,0.02,0.03,0
21760,19391,2367,48228,28935,38987,27.853,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.106,0.03,0.00,0.04,0.03,0
43776,21759,2367,97256,38987,58353,45.432,0.05,0.00,0.04,0.05,0
43776,38912,4863,97256,58353,90325,58.517,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,68.864,0.06,0.00,0.07,0.06,0
97024,43775,2956,215536,90325,129319,125.801,0.14,0.00,0.13,0.14,0
97024,86272,10752,215536,129319,204813,142.440,0.09,0.03,0.14,0.12,1
0,0,0,0,0,0,162.184,0.11,0.03,0.16,0.14,0
153600,97024,10683,341376,204813,291124,237.316,0.23,0.00,0.24,0.23,0
0,0,0,0,0,0,0.101,0.00,0.00,0.00,0.0,0
153600,136576,86300,341376,291124,341375,411.961,0.38,0.02,0.41,0.4,0
153600,153600,153588,341376,341375,341375,395.358,0.38,0.00,0.39,0.38,0
153600,153599,141311,341376,341375,341375,474.759,0.47,0.00,0.48,0.47,0
153600,153599,153599,341376,341375,341375,393.284,0.39,0.00,0.39,0.39,0
153600,153599,153595,341376,341375,341375,496.920,0.50,0.00,0.50,0.5,0
153600,153599,153599,341376,341375,341375,391.016,0.38,0.00,0.39,0.38,0
153600,153599,153599,341376,341375,341375,398.558,0.41,0.00,0.40,0.41,0
153600,153600,153600,341376,341375,341375,392.000,0.38,0.00,0.39,0.38,0
153600,153600,153598,341376,341375,341375,504.935,0.48,0.00,0.51,0.48,0
153600,153599,153599,341376,341375,341375,398.186,0.39,0.00,0.40,0.39,0
