DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.678,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.492,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.453,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.752,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.567,0.00,0.00,0.00,0.0,0
1536,1151,35,3308,1375,1983,3.272,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.948,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.794,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.726,0.00,0.00,0.01,0.0,0
2688,2431,256,5768,3460,4512,3.254,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,4.088,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,4.117,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,9.440,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,6.795,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,7.835,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.449,0.00,0.00,0.01,0.0,0
10880,5376,387,23976,11746,14384,15.392,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18415,13.337,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,13.377,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,12.270,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29035,26.926,0.03,0.00,0.03,0.03,0
21888,19520,2367,48396,29035,41005,29.627,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,36.314,0.03,0.00,0.04,0.03,0
45568,21887,2178,101140,41005,60683,50.463,0.05,0.00,0.05,0.05,0
45568,40512,5056,101140,60683,96114,71.892,0.05,0.00,0.07,0.05,1
0,0,0,0,0,0,74.884,0.05,0.00,0.07,0.05,0
102592,45568,1084,227880,96114,136727,150.368,0.09,0.00,0.15,0.09,0
102592,91200,11391,227880,136727,216505,159.131,0.11,0.05,0.16,0.16,1
0,0,0,0,0,0,175.639,0.14,0.02,0.17,0.16,0
230848,102591,11376,512820,216505,307692,248.229,0.23,0.00,0.25,0.23,0
230848,205248,25600,512820,307692,487314,359.664,0.31,0.02,0.36,0.33,1
0,0,0,0,0,0,437.130,0.36,0.03,0.44,0.39,0
518976,230848,25508,1153260,487314,691955,575.014,0.55,0.00,0.58,0.55,0
518976,461312,57664,1153260,691955,1095572,798.130,0.59,0.17,0.80,0.76,1
0,0,0,0,0,0,747.533,0.55,0.19,0.75,0.74,0
1126976,518976,57543,2504296,1095572,1502575,1182.623,1.17,0.00,1.18,1.17,0
1126976,1001792,125184,2504296,1502575,2379155,1784.360,1.47,0.28,1.78,1.75,1
0,0,0,0,0,0,1738.675,1.38,0.36,1.74,1.7399999999999998,0
2488320,1126976,30794,5529600,2379155,3381099,3446.674,3.41,0.00,3.45,3.41,0
2488320,2211840,276480,5529600,3381099,5316430,3819.641,3.14,0.66,3.82,3.8000000000000003,1
0,0,0,0,0,0,0.128,0.00,0.00,0.00,0.0,0
2488320,2488320,2314723,5529600,5316430,5490000,6754.591,6.67,0.05,6.75,6.72,0
2488320,2488319,2488319,5529600,5529599,5529599,6090.985,6.06,0.00,6.09,6.06,0
2488320,2488319,2488319,5529600,5529599,5398523,7283.054,7.27,0.00,7.28,7.27,0
2488320,2488319,2488319,5529600,5529599,5529599,6171.605,6.14,0.00,6.17,6.14,0
2488320,2488319,2488319,5529600,5529599,5529599,6140.940,6.11,0.00,6.14,6.11,0
2488320,2488319,2488319,5529600,5529600,5529600,6154.776,6.11,0.00,6.16,6.11,0
2488320,2488319,2488319,5529600,5529600,5529598,7307.017,7.28,0.00,7.31,7.28,0
2488320,2488319,2488319,5529600,5529599,5529596,7349.622,7.33,0.00,7.35,7.33,0
