DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.483,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.218,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,960,2.044,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,960,1375,1.306,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.342,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,2.714,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.701,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.651,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.313,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,2.483,0.00,0.00,0.00,0.0,1
2688,2688,255,5768,4512,5755,2.783,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.894,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,8.528,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,5.288,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,6.255,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.788,0.00,0.00,0.01,0.0,0
10880,5376,387,23976,11746,14383,12.864,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14383,18415,13.313,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,12.705,0.00,0.02,0.01,0.02,1
0,0,0,0,0,0,10.810,0.02,0.00,0.01,0.02,0
21888,10879,1080,48396,23936,29035,24.382,0.03,0.00,0.02,0.03,0
21888,19520,2367,48396,29035,41023,30.276,0.03,0.00,0.03,0.03,1
0,0,0,0,0,0,36.329,0.02,0.00,0.04,0.02,0
45568,21887,2195,101140,41023,60683,46.583,0.05,0.00,0.05,0.05,0
45568,40512,5056,101140,60683,96114,64.300,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,72.495,0.06,0.00,0.07,0.06,0
102592,45568,1079,227880,96114,136727,132.571,0.14,0.00,0.13,0.14,0
102592,91200,11391,227880,136727,216506,153.786,0.12,0.02,0.15,0.13999999999999999,1
0,0,0,0,0,0,170.159,0.12,0.05,0.17,0.16999999999999998,0
230848,102591,11373,512820,216506,307691,255.843,0.23,0.00,0.25,0.23,0
230848,205248,25599,512820,307691,487315,346.831,0.30,0.05,0.35,0.35,1
0,0,0,0,0,0,390.481,0.28,0.09,0.39,0.37,0
518976,230847,25508,1153260,487315,691955,558.739,0.55,0.02,0.56,0.5700000000000001,0
518976,461312,57664,1153260,691955,1095577,794.057,0.70,0.08,0.79,0.7799999999999999,1
0,0,0,0,0,0,744.411,0.58,0.09,0.75,0.6699999999999999,0
1128320,518976,57487,2507176,1095577,1504303,1189.292,1.20,0.00,1.19,1.2,0
1128320,1003008,125311,2507176,1504303,2381971,1776.994,1.48,0.27,1.78,1.75,1
0,0,0,0,0,0,1745.207,1.39,0.34,1.75,1.73,0
2538944,1128319,30922,5641888,2381971,3385131,3441.520,3.44,0.02,3.44,3.46,0
2538944,2256896,282047,5641888,3385131,5359948,3926.227,3.28,0.59,3.93,3.8699999999999997,1
0,0,0,0,0,0,4252.504,3.64,0.58,4.25,4.22,0
3225600,2538943,730865,7168000,5359948,7167999,6880.077,6.84,0.00,6.88,6.84,0
3225600,3225599,3225578,7168000,7167999,7167999,8584.676,8.58,0.00,8.59,8.58,0
3225600,3225599,3225599,7168000,7167999,7167999,7927.091,7.91,0.00,7.93,7.91,0
3225600,3225599,3094523,7168000,7167999,7167999,10241.365,10.20,0.00,10.24,10.2,0
3225600,3225599,3225599,7168000,7167999,7167999,8066.641,8.06,0.00,8.07,8.06,0
3225600,3225599,3225599,7168000,7167999,7167999,8096.036,8.05,0.00,8.10,8.05,0
3225600,3225599,3225599,7168000,7167999,7167999,8024.876,8.02,0.00,8.02,8.02,0
3225600,3225599,3225598,7168000,7167999,7167999,10088.775,10.08,0.00,10.09,10.08,0
3225600,3225599,3225598,7168000,7167999,7167999,8035.443,8.03,0.00,8.04,8.03,0
