DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,2.293,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.954,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,3.565,0.02,0.00,0.00,0.02,0
1152,1024,128,1600,959,1375,2.252,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.556,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,5.230,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,2.993,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.833,0.00,0.00,0.00,0.0,0
2688,1535,0,5772,2617,3460,5.613,0.00,0.00,0.01,0.0,0
2688,2431,255,5772,3460,4512,2.401,0.00,0.00,0.00,0.0,1
2688,2687,255,5772,4512,5755,2.992,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.327,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,8.714,0.00,0.00,0.01,0.0,0
5376,4800,575,11888,7132,9027,5.651,0.00,0.00,0.01,0.0,1
5376,5375,575,11888,9027,11747,5.835,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.525,0.00,0.00,0.01,0.0,0
10880,5375,387,23976,11747,14384,13.021,0.02,0.00,0.01,0.02,0
10880,9728,1152,23976,14384,18415,12.562,0.00,0.00,0.01,0.0,1
10880,10880,1151,23976,18415,23936,11.608,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,10.519,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29035,24.854,0.03,0.00,0.02,0.03,0
21888,19520,2368,48396,29035,41011,30.882,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.792,0.03,0.00,0.04,0.03,0
45568,21888,2184,101140,41011,60683,46.378,0.05,0.00,0.05,0.05,0
45568,40512,5055,101140,60683,96114,63.040,0.05,0.00,0.06,0.05,1
0,0,0,0,0,0,72.663,0.06,0.00,0.07,0.06,0
102592,45567,1083,227880,96114,136727,133.824,0.12,0.00,0.13,0.12,0
102592,91200,11391,227880,136727,216508,150.207,0.11,0.03,0.15,0.14,1
0,0,0,0,0,0,173.542,0.12,0.03,0.17,0.15,0
230848,102591,11378,512820,216508,307692,249.119,0.23,0.00,0.25,0.23,0
230848,205248,25599,512820,307692,487314,346.796,0.30,0.05,0.35,0.35,1
0,0,0,0,0,0,389.151,0.36,0.03,0.39,0.39,0
518976,230847,25508,1153260,487314,691955,563.951,0.56,0.00,0.57,0.56,0
518976,461312,57664,1153260,691955,1095575,844.270,0.64,0.11,0.84,0.75,1
0,0,0,0,0,0,766.215,0.61,0.14,0.77,0.75,0
1129472,518976,57608,2509736,1095575,1505839,1195.542,1.17,0.00,1.19,1.17,0
1129472,1004032,125439,2509736,1505839,2384400,1817.158,1.50,0.25,1.82,1.75,1
0,0,0,0,0,0,1765.533,1.39,0.30,1.77,1.69,0
2541376,1129471,31176,5647436,2384400,3388459,3463.460,3.30,0.00,3.46,3.3,0
2541376,2259008,282368,5647436,3388459,5365069,3948.634,3.38,0.55,3.95,3.9299999999999997,1
0,0,0,0,0,0,4024.204,3.45,0.44,4.03,3.89,0
3440640,2541376,282367,7645888,5365069,7624046,6295.020,6.23,0.00,6.29,6.23,0
3440640,3440639,3440608,7645888,7645887,7645887,9384.454,9.31,0.00,9.38,9.31,0
3440640,3440639,3440639,7645888,7645887,7645887,8434.668,8.38,0.00,8.43,8.38,0
3440640,3440639,3440639,7645888,7645887,7514811,10937.929,10.20,0.02,10.94,10.219999999999999,0
3440640,3440639,3440639,7645888,7645887,7645887,8578.701,8.41,0.02,8.58,8.43,0
3440640,3440639,3440639,7645888,7645887,7645887,8622.353,8.55,0.00,8.62,8.55,0
3440640,3440639,3440639,7645888,7645887,7645887,8485.778,8.45,0.03,8.49,8.479999999999999,0
3440640,3440639,3440639,7645888,7645887,7645886,10135.473,10.11,0.00,10.13,10.11,0
3440640,3440639,3440639,7645888,7645887,7645887,8659.260,8.41,0.00,8.66,8.41,0
3440640,3440639,3440639,7645888,7645887,7645884,13100.665,12.55,0.00,13.10,12.55,0
