DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.573,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.246,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.204,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.355,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.142,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,3.073,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.555,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.514,0.00,0.00,0.00,0.0,0
2688,1535,0,5772,2617,3460,3.568,0.00,0.00,0.00,0.0,0
2688,2431,255,5772,3460,4512,2.782,0.00,0.00,0.00,0.0,1
2688,2687,255,5772,4512,5755,2.617,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.037,0.00,0.00,0.00,0.0,0
5376,2687,0,11888,5755,7132,8.412,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,4.671,0.00,0.00,0.01,0.0,1
5376,5375,575,11888,9027,11747,6.084,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,6.987,0.02,0.00,0.01,0.02,0
10880,5375,387,23976,11747,14384,13.995,0.02,0.00,0.01,0.02,0
10880,9728,1152,23976,14384,18415,12.898,0.00,0.00,0.01,0.0,1
10880,10880,1151,23976,18415,23936,11.963,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,10.890,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29035,24.508,0.03,0.00,0.02,0.03,0
21888,19520,2367,48396,29035,37685,25.826,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,34.909,0.03,0.00,0.03,0.03,0
43008,21887,2314,95380,37685,57228,44.500,0.03,0.00,0.04,0.03,0
43008,38272,4735,95380,57228,90738,60.645,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,68.324,0.06,0.00,0.07,0.06,0
96832,43007,823,215080,90738,129048,124.499,0.11,0.00,0.12,0.11,0
96832,86080,10751,215080,129048,204344,142.711,0.11,0.03,0.14,0.14,1
0,0,0,0,0,0,161.287,0.14,0.02,0.16,0.16,0
217920,96831,10668,484128,204344,290475,232.706,0.20,0.02,0.23,0.22,0
217920,193728,24191,484128,290475,459986,337.032,0.30,0.03,0.34,0.32999999999999996,1
0,0,0,0,0,0,405.659,0.34,0.03,0.41,0.37,0
490368,217919,24144,1089556,459986,653731,539.829,0.48,0.00,0.54,0.48,0
490368,435904,54464,1089556,653731,1035143,764.282,0.64,0.09,0.77,0.73,1
0,0,0,0,0,0,725.501,0.56,0.14,0.73,0.7000000000000001,0
1038144,426236,54277,2306808,1035143,1384083,1191.659,1.17,0.00,1.19,1.17,0
1038144,922816,115327,2306808,1384083,2191543,1642.734,1.25,0.31,1.64,1.56,1
0,0,0,0,0,0,1550.081,1.23,0.25,1.55,1.48,0
2286720,1038143,53855,5081380,2191543,3048827,3150.056,3.08,0.02,3.15,3.1,0
2286720,2032704,254015,5081380,3048827,4827481,3571.021,3.14,0.41,3.57,3.5500000000000003,1
0,0,0,0,0,0,0.126,0.00,0.00,0.00,0.0,0
2286720,2286719,2032761,6007488,4827481,5081379,6354.505,6.14,0.06,6.35,6.199999999999999,0
2286720,2286719,2286719,6007488,6007487,6007487,6535.633,6.47,0.00,6.54,6.47,0
2286720,2286719,2155643,6007488,6007487,6007488,8164.154,8.12,0.00,8.16,8.12,0
2286720,2286719,2286719,6007488,6007488,6007488,6433.767,6.39,0.02,6.43,6.409999999999999,0
2286720,2286719,2286719,6007488,6007488,6007488,6407.916,6.33,0.02,6.41,6.35,0
2286720,2286719,2286719,6007488,6007488,6007488,6433.871,6.44,0.00,6.43,6.44,0
2286720,2286719,2286719,6007488,6007488,6007488,6399.546,6.39,0.00,6.40,6.39,0
2286720,2286719,2286718,6007488,6007488,6007487,8270.418,8.19,0.00,8.27,8.19,0
2286720,2286719,2286718,6007488,6007487,6007487,6523.801,6.38,0.00,6.52,6.38,0
